지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
174,순천,2021-04-28 0:00,11.1,,,,1.6,,270,,94,,12.4,10.1,998.6,,1018.4,,,9,,,,10,5,,63,1519,,,11.6,,,,,
174,순천,2021-04-28 1:00,11.2,,,,0.1,,0,,94,,12.4,10.2,998.4,,1018.2,,,9,,,,10,9,,26,1473,,,12.2,,,,,
174,순천,2021-04-28 2:00,10.9,,,,0.5,,250,,95,,12.4,10.1,998.1,,1017.9,,,9,,,,9,6,,27,1430,,,11.3,,,,,
174,순천,2021-04-28 3:00,11,,,,0.2,,0,,96,,12.5,10.3,997.8,,1017.6,,,9,,,,10,9,,25,1300,,,11.1,,,,,
174,순천,2021-04-28 4:00,10.1,,,,1.4,,110,,98,,12,9.7,997.9,,1017.8,,,9,,,,6,5,,11,1022,,,9.9,,,,,
174,순천,2021-04-28 5:00,10,,,,0,,0,,99,,12.1,9.8,997.5,,1017.4,,,9,,,,9,4,,8,923,,,10.6,,,,,
174,순천,2021-04-28 6:00,9.6,,,,1.3,,250,,99,,11.8,9.4,997.4,,1017.4,,0,,,,,1,1,,,855,,,9.4,,,,,
174,순천,2021-04-28 7:00,10.8,,,,0.5,,90,,96,,12.4,10.1,997.8,,1017.7,,0.3,,,,,2,1,,11,1079,,,10.8,,,,,
174,순천,2021-04-28 8:00,12.6,,,,0,,0,,91,,13.2,11.1,998.4,,1018.1,,0.3,,,,,7,7,,6,1325,,,13.9,,,,,
174,순천,2021-04-28 9:00,16.8,,,,3.6,,290,,69,,13.1,11,997.5,,1016.8,,0.7,,,,,6,3,,8,1445,,,20.4,,,,,
174,순천,2021-04-28 10:00,18.9,,,,3.2,,250,,60,,13,10.9,997.3,,1016.4,,1,,,,,3,0,,,1471,,,27.4,,,,,
174,순천,2021-04-28 11:00,20.8,,,,2.4,,270,,42,,10.3,7.4,997,,1016.1,,1,,,,,6,0,,,1597,,,32.1,,,,,
174,순천,2021-04-28 12:00,22.2,,,,2.4,,290,,33,,8.8,5.1,996.2,,1015.1,,1,,,,,6,0,,,1440,,,36,,,,,
174,순천,2021-04-28 13:00,22.9,,,,3.6,,250,,32,,8.9,5.3,995.7,,1014.5,,1,,,,,7,0,,,1276,,,37.4,,,,,
174,순천,2021-04-28 14:00,22.5,,,,5,,290,,31,,8.4,4.5,995.2,,1014,,0.9,,,,,8,0,,,1363,,,34.7,,,,,
174,순천,2021-04-28 15:00,23.2,,,,3.3,,290,,30,,8.5,4.6,994.5,,1013.3,,0.9,,,,,8,0,,,1368,,,34.9,,,,,
174,순천,2021-04-28 16:00,22.7,,,,1.8,,320,,30,,8.2,4.2,993.9,,1012.7,,0.4,,,,,8,1,,10,1302,,,32.6,,,,,
174,순천,2021-04-28 17:00,21.8,,,,3,,250,,30,,7.8,3.4,993.9,,1012.8,,1,,,,,5,4,,10,1301,,,26.8,,,,,
174,순천,2021-04-28 18:00,20.2,,,,1.7,,340,,30,,7.1,2,993.7,,1012.8,,0,,,,,8,1,,10,1284,,,21.3,,,,,
174,순천,2021-04-28 19:00,18.4,,,,0.9,,320,,37,,7.8,3.4,993.8,,1012.9,,0,,,,,10,2,,10,941,,,18.2,,,,,
174,순천,2021-04-28 20:00,16.2,,,,0.3,,0,,49,,9,5.4,994,,1013.3,,0,,,,,10,3,,38,1103,,,16.3,,,,,
174,순천,2021-04-28 21:00,14.7,,,,1.5,,270,,54,,9,5.4,994.3,,1013.8,,,9,,,,10,8,,38,1214,,,15,,,,,
174,순천,2021-04-28 22:00,13.5,,,,0.3,,0,,62,,9.5,6.3,994.1,,1013.6,,,9,,,,10,3,,,1235,,,14.2,,,,,
174,순천,2021-04-28 23:00,13,,,,1.2,,250,,64,,9.5,6.3,993.8,,1013.4,,,9,,,,10,8,,35,1298,,,13.7,,,,,
174,순천,2021-04-29 0:00,12.8,,,,1.6,,270,,64,,9.4,6.1,993.4,,1013,,,9,,,,10,5,,,1296,,,13.5,,,,,
174,순천,2021-04-29 1:00,12.4,,,,2.1,,340,,69,,9.9,6.8,992.2,,1011.8,,,9,,,,10,4,,23,1284,,,13.1,,,,,
174,순천,2021-04-29 2:00,13.4,,,,3.1,,270,,58,,8.8,5.2,991.8,,1011.3,,,9,,,,10,3,,22,1093,,,12.9,,,,,
174,순천,2021-04-29 3:00,13,,,,1.6,,320,,61,,9.1,5.6,991,,1010.5,,,9,,,,9,4,,24,1165,,,12.6,,,,,
174,순천,2021-04-29 4:00,12.5,,,,1.4,,290,,66,,9.5,6.3,990.6,,1010.1,,,9,,,,10,1,,19,1245,,,12.5,,,,,
174,순천,2021-04-29 5:00,11.9,,,,0.8,,160,,73,,10.2,7.2,989.8,,1009.4,,,9,,,,10,2,,37,1212,,,11.8,,,,,
174,순천,2021-04-29 6:00,12,,,,2.5,,290,,72,,10,7,989.9,,1009.5,,0,,,,,10,1,,18,1248,,,12,,,,,
174,순천,2021-04-29 7:00,11.7,,0,,2.1,,270,,80,,10.9,8.3,988.5,,1008.1,,0,,,,,8,0,,,1086,,,12.3,,,,,
174,순천,2021-04-29 8:00,14.3,,,9,0.9,,110,,71,,11.6,9.1,988.5,,1007.8,,0.5,,,,,6,0,,,978,,,16.2,,,,,
174,순천,2021-04-29 9:00,16.8,,,9,3.6,,290,,56,,10.6,7.9,988.4,,1007.6,,0.7,,,,,7,1,,19,1219,,,19.4,,,,,
174,순천,2021-04-29 10:00,19,,,9,2.3,,290,,46,,10.1,7.1,987.8,,1006.7,,0.6,,,,,3,1,,,1288,,,27.1,,,,,
174,순천,2021-04-29 11:00,20.4,,,9,3.4,,250,,35,,8.4,4.4,987.1,,1006,,1,,,,,0,0,,,1009,,,33,,,,,
174,순천,2021-04-29 12:00,20.5,,,9,7.1,,270,,27,,6.5,0.8,986.5,,1005.4,,1,,,,,1,0,,,1361,,,35.1,,,,,
174,순천,2021-04-29 13:00,21.5,,,9,5.8,,290,,27,,6.9,1.6,986,,1004.8,,0.9,,,,,1,1,,24,1450,,,35.1,,,,,
174,순천,2021-04-29 14:00,21.6,,,9,4.9,,290,,27,,6.9,1.7,985.6,,1004.4,,1,,,,,0,0,,,1647,,,36.6,,,,,
174,순천,2021-04-29 15:00,22,,,9,5.4,,290,,24,,6.3,0.4,984.8,,1003.5,,1,,,,,2,0,,,1781,,,36.1,,,,,
174,순천,2021-04-29 16:00,22.5,,,9,2.7,,270,,26,,7.1,2,984.2,,1002.8,,1,,,,,0,0,,,1659,,,34.1,,,,,
174,순천,2021-04-29 17:00,21.1,,,9,4,,250,,28,,7,1.8,984.3,,1003.1,,1,,,,,0,0,,,1688,,,28.3,,,,,
174,순천,2021-04-29 18:00,20.3,,,9,2.7,,270,,32,,7.6,3,984.4,,1003.3,,1,,,,,0,0,,,1536,,,22.8,,,,,
174,순천,2021-04-29 19:00,17.4,,,9,1.6,,270,,43,,8.5,4.6,984,,1003,,0.3,,,,,0,0,,,1663,,,17.4,,,,,
174,순천,2021-04-29 20:00,14.5,,,9,0.7,,270,,58,,9.5,6.3,984.6,,1003.8,,0,,,,,6,1,,36,1596,,,15.1,,,,,
174,순천,2021-04-29 21:00,14.6,,,9,1.8,,110,,66,,10.9,8.3,984.3,,1003.6,,,9,,,,8,5,,36,1337,,,14.3,,,,,
174,순천,2021-04-29 22:00,15.3,,,9,1.7,,200,,58,,10,7,985.2,,1004.5,,,9,,,,10,8,,30,1333,,,14.2,,,,,
174,순천,2021-04-29 23:00,14,,0,,4.3,,200,,57,,9.1,5.6,987.1,,1006.4,,,9,,,,10,1,,9,1498,,,11.9,,,,,
174,순천,2021-04-28 0:00,11.1,,,,1.6,,270,,94,,12.4,10.1,998.6,,1018.4,,,9,,,,10,5,,63,1519,,,11.6,,,,,
174,순천,2021-04-28 1:00,11.2,,,,0.1,,0,,94,,12.4,10.2,998.4,,1018.2,,,9,,,,10,9,,26,1473,,,12.2,,,,,
174,순천,2021-04-28 2:00,10.9,,,,0.5,,250,,95,,12.4,10.1,998.1,,1017.9,,,9,,,,9,6,,27,1430,,,11.3,,,,,
174,순천,2021-04-28 3:00,11,,,,0.2,,0,,96,,12.5,10.3,997.8,,1017.6,,,9,,,,10,9,,25,1300,,,11.1,,,,,
