date,power
202101300000,0.0
202101300010,0.0
202101300020,0.0
202101300030,0.0
202101300040,0.0
202101300050,0.0
202101300100,0.0
202101300110,0.0
202101300120,0.0
202101300130,0.0
202101300140,0.0
202101300150,0.0
202101300200,0.0
202101300210,0.0
202101300220,0.0
202101300230,0.0
202101300240,0.0
202101300250,0.0
202101300300,0.0
202101300310,0.0
202101300320,0.0
202101300330,0.0
202101300340,0.0
202101300350,0.0
202101300400,0.0
202101300410,0.0
202101300420,0.0
202101300430,0.0
202101300440,0.0
202101300450,0.0
202101300500,0.0
202101300510,0.0
202101300520,0.0
202101300530,0.0
202101300540,0.0
202101300550,0.0
202101300600,0.0
202101300610,0.0
202101300620,0.0
202101300630,0.0
202101300640,0.0
202101300650,0.0
202101300700,0.3
202101300710,0.3
202101300720,0.3
202101300730,0.3
202101300740,0.3
202101300750,0.3
202101300800,8.4
202101300810,8.4
202101300820,8.4
202101300830,8.4
202101300840,8.4
202101300850,8.4
202101300900,33.8
202101300910,33.8
202101300920,33.8
202101300930,33.8
202101300940,33.8
202101300950,33.8
202101301000,50.1
202101301010,50.1
202101301020,50.1
202101301030,50.1
202101301040,50.1
202101301050,50.1
202101301100,55.9
202101301110,55.9
202101301120,55.9
202101301130,55.9
202101301140,55.9
202101301150,55.9
202101301200,31.7
202101301210,31.7
202101301220,31.7
202101301230,31.7
202101301240,31.7
202101301250,31.7
202101301300,24.6
202101301310,24.6
202101301320,24.6
202101301330,24.6
202101301340,24.6
202101301350,24.6
202101301400,23.9
202101301410,23.9
202101301420,23.9
202101301430,23.9
202101301440,23.9
202101301450,23.9
202101301500,11.7
202101301510,11.7
202101301520,11.7
202101301530,11.7
202101301540,11.7
202101301550,11.7
202101301600,14.2
202101301610,14.2
202101301620,14.2
202101301630,14.2
202101301640,14.2
202101301650,14.2
202101301700,1.6
202101301710,1.6
202101301720,1.6
202101301730,1.6
202101301740,1.6
202101301750,1.6
202101301800,0.0
202101301810,0.0
202101301820,0.0
202101301830,0.0
202101301840,0.0
202101301850,0.0
202101301900,0.0
202101301910,0.0
202101301920,0.0
202101301930,0.0
202101301940,0.0
202101301950,0.0
202101302000,0.0
202101302010,0.0
202101302020,0.0
202101302030,0.0
202101302040,0.0
