MODEL,DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2021-08-25,100.0,100.0,100.0,100.0,100.0,100.0,99.5,97.08,91.36,84.08,76.56,79.49,79.53999999999999,74.33,76.5,80.99,87.67,92.58,97.91,100.0,100.0,100.0,100.0,100.0
0,2021-08-26,100.0,100.0,100.0,100.0,100.0,100.0,99.95,98.5,99.17,95.34,95.96,96.71,93.48,91.53,95.24,92.87,92.61,93.09,99.26,99.98,100.0,100.0,100.0,100.0
0,2021-08-27,100.0,100.0,100.0,100.0,100.0,100.0,99.92,98.48,98.57,97.55,89.08,95.15,93.44,82.18,85.19,80.5,91.08,94.18,97.38,100.0,100.0,100.0,100.0,100.0
0,2021-08-28,100.0,100.0,100.0,100.0,100.0,100.0,99.52,98.53,93.53,93.77,85.9,98.54,98.38,90.85,85.5,84.87,93.69,99.95,99.71,100.0,100.0,100.0,100.0,100.0
0,2021-08-29,100.0,100.0,100.0,100.0,100.0,100.0,99.63,98.68,96.52,89.94,85.33,79.07,88.57,93.22,93.71,96.36,88.85,91.85,98.79,99.97,100.0,100.0,100.0,100.0
0,2021-08-30,100.0,100.0,100.0,100.0,100.0,100.0,99.78,99.89,99.52,96.1,96.6,99.17,98.26,98.41,97.07,86.72,88.64,94.44,98.05,100.0,100.0,100.0,100.0,100.0
0,2021-08-31,100.0,100.0,100.0,100.0,100.0,100.0,99.51,97.65,95.51,94.22,89.28999999999999,91.02,92.57,91.94,93.52,99.27,94.63,97.18,98.76,100.0,100.0,100.0,100.0,100.0
1,2021-08-25,99.6,99.93,100.0,100.0,99.96,99.59,98.46,95.66,91.14,87.4,81.68,84.44,84.49,79.27,82.32,86.97,91.34,93.25,95.08,96.99,98.43,99.2,99.6,99.82
1,2021-08-26,99.6,99.93,100.0,100.0,99.96,99.59,99.01,99.92,99.39,98.66,98.92,91.77,88.53,86.59,89.42,86.88,88.94,92.42,97.91,97.01,98.43,99.2,99.6,99.82
1,2021-08-27,99.6,99.93,100.0,100.0,99.96,99.59,98.87,97.06,98.35,99.12,94.2,99.9,98.39,87.12,91.01,86.49,94.74,94.84,94.55,96.98,98.43,99.2,99.6,99.82
1,2021-08-28,99.6,99.93,100.0,100.0,99.96,99.59,98.48,97.11,93.3,97.09,91.03,93.6,93.43,95.79,91.32,90.86,97.35,99.29,96.88,96.98,98.43,99.2,99.6,99.82
1,2021-08-29,99.6,99.93,100.0,100.0,99.96,99.59,98.59,97.26,96.3,93.27,90.45,84.01,93.52,98.16,99.52,97.65,92.51,92.51,95.97,97.01,98.43,99.2,99.6,99.82
1,2021-08-30,99.6,99.93,100.0,100.0,99.96,99.59,98.73,98.69,99.29,99.42,98.28,95.88,93.32,93.47,97.12,92.71,92.31,95.1,95.23,96.98,98.43,99.2,99.6,99.82
1,2021-08-31,99.6,99.93,100.0,100.0,99.96,99.59,98.47,96.23,95.28,97.55,94.41,95.96,87.62,87.0,87.71000000000001,93.29,98.29,97.84,95.93,96.98,98.43,99.2,99.6,99.82
2,2021-08-25,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.05,96.81,94.41,90.81,93.93,89.61,80.4,81.13,81.78,82.58,78.95,77.87,80.56,84.07,87.45,90.47,92.93
