date,temp,humidity,windspeed,windgust,maxdailygust,winddir,hourlyrainin,dailyrainin,weeklyrainin,monthlyrainin,yearlyrainin,solarradiation,uv,feelslike,dewpoint,outside_status
202104292350,11.61,84,1.6,3.3,10.01,257,0,2.28,2.28,99.82,393.19,0,0,11.61,9,200
202104292340,12.27,83,2.19,4.38,10.01,188,0,2.28,2.28,99.82,393.19,0,0,12.27,9.47,200
202104292330,13.38,81,1.6,2.19,10.01,266,7.11,2.28,2.28,99.82,393.19,0,0,13.38,10.19,200
202104292320,14.5,79,1.11,2.19,10.01,231,7.11,1.27,1.27,98.8,392.17,0,0,14.5,10.9,200
202104292310,14.72,62,0,1.11,10.01,81,0,0,0,97.53,390.9,0,0,14.72,7.51,200
202104292300,14.27,50,0,0,10.01,306,0,0,0,97.53,390.9,0,0,14.27,3.99,200
202104292250,14,60,0.89,3.3,10.01,51,0,0,0,97.53,390.9,0,0,14,6.35,200
202104292240,14.22,60,0,1.11,10.01,59,0,0,0,97.53,390.9,0,0,14.22,6.56,200
202104292230,14.38,66,0,0,10.01,309,0,0,0,97.53,390.9,0,0,14.38,8.11,200
202104292220,14.5,62,0,0,10.01,40,0,0,0,97.53,390.9,0,0,14.5,7.3,200
202104292210,14.38,72,1.11,1.11,10.01,241,0,0,0,97.53,390.9,0,0,14.38,9.4,200
202104292200,14.38,76,0,0,10.01,246,0,0,0,97.53,390.9,0,0,14.38,10.21,200
202104292150,14.38,76,0,0,10.01,259,0,0,0,97.53,390.9,0,0,14.38,10.21,200
202104292140,14.11,70,1.29,2.19,10.01,189,0,0,0,97.53,390.9,0,0,14.11,8.72,200
202104292130,13.72,68,0.4,1.11,10.01,251,0,0,0,97.53,390.9,0,0,13.72,7.92,200
202104292120,13.22,66,0,0,10.01,294,0,0,0,97.53,390.9,0,0,13.22,7,200
202104292110,12.77,67,0,0,10.01,170,0,0,0,97.53,390.9,0,0,12.77,6.8,200
202104292100,12.77,73,0,0,10.01,252,0,0,0,97.53,390.9,0,0,12.77,8.06,200
202104292050,13.11,74,0,0,10.01,222,0,0,0,97.53,390.9,0,0,13.11,8.57,200
202104292040,13.61,76,0,0,10.01,74,0,0,0,97.53,390.9,0,0,13.61,9.46,200
202104292030,14,74,0,0,10.01,135,0,0,0,97.53,390.9,0,0,14,9.43,200
202104292020,14.22,69,0,0,10.01,196,0,0,0,97.53,390.9,0,0,14.22,8.61,200
202104292010,14.22,67,0,0,10.01,192,0,0,0,97.53,390.9,0,0,14.22,8.17,200
202104292000,14.27,66,0,0,10.01,187,0,0,0,97.53,390.9,0,0,14.27,8.01,200
202104291950,14.5,70,0,0,10.01,305,0,0,0,97.53,390.9,0,0,14.5,9.09,200
202104291940,14.88,72,0,0,10.01,259,0,0,0,97.53,390.9,0,0,14.88,9.88,200
202104291930,15.27,71,0,0,10.01,244,0,0,0,97.53,390.9,0,0,15.27,10.05,200
202104291920,15.77,72,0,0,10.01,244,0,0,0,97.53,390.9,0,0,15.77,10.73,200
202104291910,16.38,71,0,0,10.01,288,0,0,0,97.53,390.9,1.95,0,16.38,11.11,200
202104291900,17.11,70,0,0,10.01,253,0,0,0,97.53,390.9,13.92,0,17.11,11.59,200
202104291850,17.72,68,0.08,1.11,10.01,209,0,0,0,97.53,390.9,32,0,17.72,11.73,200
202104291840,18.27,64,0.49,1.11,10.01,219,0,0,0,97.53,390.9,52,0,18.27,11.34,200
202104291830,18.77,62,0.89,2.19,10.01,235,0,0,0,97.53,390.9,86.8,1,18.77,11.33,200
202104291820,19.38,58,0,0,10.01,217,0,0,0,97.53,390.9,121.12,1,19.38,10.9,200
202104291810,20.27,57,1.11,2.19,10.01,222,0,0,0,97.53,390.9,155.36,1,19.85,11.47,200
202104291800,21.27,55,0.4,1.11,10.01,238,0,0,0,97.53,390.9,191.61,1,20.89,11.86,200
202104291750,22.22,42,0,1.11,10.01,222,0,0,0,97.53,390.9,230.86,1,21.59,8.68,200
202104291740,22.38,29,1.92,3.3,10.01,264,0,0,0,97.53,390.9,260.62,1,21.43,3.47,200
202104291730,22.38,28,0,0,10.01,217,0,0,0,97.53,390.9,297.81,1,21.41,2.97,200
202104291720,22.5,26,0,0,10.01,326,0,0,0,97.53,390.9,334.59,1,21.48,2.03,200
202104291710,22.5,27,2.5,4.38,10.01,231,0,0,0,97.53,390.9,366.05,1,21.51,2.56,200
202104291700,22.61,27,0.4,2.19,10.01,234,0,0,0,97.53,390.9,390.6,1,21.63,2.65,200
202104291650,22.77,28,0,0,10.01,318,0,0,0,97.53,390.9,418.98,1,21.84,3.31,200
202104291640,23.11,30,0.49,2.19,10.01,284,0,0,0,97.53,390.9,447.52,1,22.26,4.57,200
202104291630,23,30,2.5,3.3,10.01,234,0,0,0,97.53,390.9,471.8,2,22.13,4.48,200
202104291620,22.77,26,1.92,3.3,10.01,323,0,0,0,97.53,390.9,496.7,2,21.78,2.26,200
202104291610,22.77,32,1.6,3.3,10.01,247,0,0,0,97.53,390.9,508.36,2,21.94,5.21,200
202104291600,22.88,30,0.58,1.11,10.01,260,0,0,0,97.53,390.9,523.71,2,22.01,4.38,200
202104291550,22.88,28,1.52,4.38,10.01,253,0,0,0,97.53,390.9,544.52,2,21.96,3.4,200
202104291540,23,26,0.17,1.11,10.01,38,0,0,0,97.53,390.9,554.83,3,22.03,2.45,200
202104291530,23,27,0.08,1.11,10.01,214,0,0,0,97.53,390.9,558.89,3,22.06,2.98,200
202104291520,23.27,27,1.11,3.3,10.01,270,0,0,0,97.53,390.9,576.01,3,22.36,3.22,200
