date,temp,humidity,windspeed,windgust,maxdailygust,winddir,hourlyrainin,dailyrainin,weeklyrainin,monthlyrainin,yearlyrainin,solarradiation,uv,feelslike,dewpoint,outside_status
2021042923,14.72,84,2.19,4.38,10.01,306,7.11,2.28,2.28,99.82,393.19,0.0,0,14.72,10.9,200
2021042922,14.5,76,1.11,3.3,10.01,309,0.0,0.0,0.0,97.53,390.9,0.0,0,14.5,10.21,200
2021042921,14.38,76,1.29,2.19,10.01,294,0.0,0.0,0.0,97.53,390.9,0.0,0,14.38,10.21,200
2021042920,14.27,76,0.0,0.0,10.01,222,0.0,0.0,0.0,97.53,390.9,0.0,0,14.27,9.46,200
2021042919,17.11,72,0.0,0.0,10.01,305,0.0,0.0,0.0,97.53,390.9,13.92,0,17.11,11.59,200
2021042918,21.27,68,1.11,2.19,10.01,238,0.0,0.0,0.0,97.53,390.9,191.61,1,20.89,11.86,200
2021042917,22.61,42,2.5,4.38,10.01,326,0.0,0.0,0.0,97.53,390.9,390.6,1,21.63,8.68,200
2021042916,23.11,32,2.5,3.3,10.01,323,0.0,0.0,0.0,97.53,390.9,523.71,2,22.26,5.21,200
2021042915,23.27,28,4.78,6.7,10.01,270,0.0,0.0,0.0,97.53,390.9,604.04,4,22.36,3.4,200
2021042914,23.22,30,2.5,4.38,10.01,348,0.0,0.0,0.0,97.53,390.9,636.13,5,22.38,4.67,200
2021042913,22.77,33,2.68,4.38,10.01,339,0.0,0.0,0.0,97.53,390.9,642.17,6,21.76,4.88,200
2021042912,21.88,32,4.69,6.7,10.01,347,0.0,0.0,0.0,97.53,390.9,640.33,6,20.88,4.0,200
2021042911,21.38,40,3.3,4.38,6.7,341,0.0,0.0,0.0,97.53,390.9,596.85,6,20.39,6.33,200
2021042910,20.22,52,3.21,5.49,5.49,260,0.0,0.0,0.0,97.53,390.9,566.36,6,19.77,9.37,200
2021042909,18.38,50,1.29,2.19,5.49,301,0.0,0.0,0.0,97.53,390.9,489.92,4,18.38,7.47,200
2021042908,17.0,62,2.01,3.3,5.49,298,0.0,0.0,0.0,97.53,390.9,425.02,3,17.0,8.68,200
2021042907,14.61,83,0.0,0.0,2.19,322,0.0,0.0,0.0,97.53,390.9,287.15,2,14.61,8.11,200
2021042906,10.77,87,0.0,0.0,2.19,222,0.0,0.0,0.0,97.53,390.9,68.92,1,10.77,8.53,200
2021042905,11.0,87,0.0,0.0,2.19,334,0.0,0.0,0.0,97.53,390.9,0.0,0,11.0,8.64,200
2021042904,11.27,87,1.2,2.19,2.19,233,0.0,0.0,0.0,97.53,390.9,0.0,0,11.27,9.19,200
2021042903,11.5,86,0.0,0.0,1.11,245,0.0,0.0,0.0,97.53,390.9,0.0,0,11.5,9.02,200
2021042902,11.77,83,0.0,0.0,0.0,246,0.0,0.0,0.0,97.53,390.9,0.0,0,11.77,8.92,200
2021042901,11.38,85,0.0,0.0,0.0,268,0.0,0.0,0.0,97.53,390.9,0.0,0,11.38,8.85,200
2021042900,11.77,87,0.0,0.0,6.7,152,0.0,0.0,0.0,97.53,390.9,0.0,0,11.77,9.68,200
2021042823,12.5,89,0.0,0.0,6.7,171,0.0,0.0,0.0,97.53,390.9,0.0,0,12.5,10.73,200
2021042822,13.0,90,0.0,0.0,6.7,105,0.0,0.0,0.0,97.53,390.9,0.0,0,13.0,11.39,200
2021042821,14.0,89,0.0,0.0,6.7,111,0.0,0.0,0.0,97.53,390.9,0.0,0,14.0,11.72,200
2021042820,15.38,85,0.0,0.0,6.7,130,0.0,0.0,0.0,97.53,390.9,0.0,0,15.38,12.2,200
2021042819,17.11,81,0.0,0.0,6.7,248,0.0,0.0,0.0,97.53,390.9,3.4,0,17.11,12.63,200
2021042818,19.11,75,0.8,1.11,6.7,233,0.0,0.0,0.0,97.53,390.9,86.28,1,19.11,13.35,200
