,pow,ymdhms,temprt,rain,humdt,sunshine,cloud,visiblt,sample,name,fullday,year,month,season
0,0,2019082000,21.5,0.0,99.0,0.0,5.0,229.0,train,PV,20190820,2019,8,summer
1,0,2019082001,21.5,0.0,98.0,0.0,7.0,225.0,train,PV,20190820,2019,8,summer
2,0,2019082002,21.1,0.0,99.0,0.0,6.0,179.0,train,PV,20190820,2019,8,summer
3,0,2019082003,20.4,0.0,99.0,0.0,3.0,167.0,train,PV,20190820,2019,8,summer
4,0,2019082004,20.2,0.0,99.0,0.0,2.0,179.0,train,PV,20190820,2019,8,summer
5,0,2019082005,20.1,0.0,99.0,0.0,1.0,168.0,train,PV,20190820,2019,8,summer
6,2800,2019082006,19.8,0.0,99.0,0.0,0.0,156.0,train,PV,20190820,2019,8,summer
7,13600,2019082007,20.2,0.0,99.0,0.0,2.0,155.0,train,PV,20190820,2019,8,summer
8,33700,2019082008,23.2,0.0,90.0,0.4,3.0,239.0,train,PV,20190820,2019,8,summer
9,42400,2019082009,26.0,0.0,78.0,0.7,0.0,509.0,train,PV,20190820,2019,8,summer
10,30200,2019082010,28.1,0.0,66.0,1.0,2.0,759.0,train,PV,20190820,2019,8,summer
11,42500,2019082011,28.3,0.0,64.0,0.9,6.0,783.0,train,PV,20190820,2019,8,summer
12,62400,2019082012,29.4,0.0,63.0,1.0,7.0,867.0,train,PV,20190820,2019,8,summer
13,37700,2019082013,29.9,0.0,63.0,0.7,8.0,795.0,train,PV,20190820,2019,8,summer
14,33000,2019082014,30.0,0.0,62.0,0.5,9.0,784.0,train,PV,20190820,2019,8,summer
15,42900,2019082015,28.5,0.0,65.0,0.3,10.0,7220.0,train,PV,20190820,2019,8,summer
16,33400,2019082016,28.7,0.0,63.0,0.3,8.0,749.0,train,PV,20190820,2019,8,summer
17,12900,2019082017,29.1,0.0,64.0,0.9,4.0,773.0,train,PV,20190820,2019,8,summer
18,2200,2019082018,28.1,0.0,68.0,0.8,4.0,802.0,train,PV,20190820,2019,8,summer
