지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
174,순천,2019-08-20 00:00,21.5,,,,.2,,0,,99,,25.3,21.3,991.2,,1010.1,,,9,,,,5,4,,12,229,,,23.1,,,,,
174,순천,2019-08-20 01:00,21.5,,,,.1,,0,,98,,25,21.1,991.1,,1010,,,9,,,,7,7,,14,225,,,22.9,,,,,
174,순천,2019-08-20 02:00,21.1,,,,.4,,0,,99,,24.7,20.9,990.8,,1009.7,,,9,,,,6,2,,14,179,,,22.2,,,,,
174,순천,2019-08-20 03:00,20.4,,,,.3,,0,,99,,23.7,20.2,990.6,,1009.6,,,9,,,,3,0,,,167,,,21.6,,,,,
174,순천,2019-08-20 04:00,20.2,,,,0,,0,,99,,23.4,20,990.9,,1009.9,,,9,,,,2,0,,,179,,,21.2,,,,,
174,순천,2019-08-20 05:00,20.1,,,,.3,,0,,99,,23.2,19.9,991,,1010,,,9,,,,1,1,,13,168,,,21.2,,,,,
174,순천,2019-08-20 06:00,19.8,,,,.3,,0,,99,,22.8,19.6,990.8,,1009.9,,0,,,,,0,0,,,156,,,21.2,,,,,
174,순천,2019-08-20 07:00,20.2,,,,.9,,290,,99,,23.4,20,991.1,,1010.1,,0,,,,,2,2,,,155,,,22.7,,,,,
174,순천,2019-08-20 08:00,23.2,,,,.4,,0,,90,,25.5,21.4,990.9,,1009.6,,.4,,,,,3,2,,11,239,,,26.2,,,,,
174,순천,2019-08-20 09:00,26,,,,.8,,110,,78,,26.1,21.8,990.9,,1009.5,,.7,,,,,0,0,,,509,,,34.2,,,,,
