fullday,Unnamed: 0,연료원,지역세부구분,거래일,시간,전력거래량,YMDH,month,fullday,season,year,지점,지점명,기온(°C),강수량(mm),강수량 QC플래그,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
20140101,23,태양광,제주도,2014-01-01,23,7.310385,2014010123,1,20140101,winter,2014,184.0,제주,12.5,0.0,0.0,7.1,290.0,57.0,7.1,2.0,1016.8,1019.3,1.0,1.82,0.0,0.0,2.0,2.0,Sc,10.0,2000.0,0.0,42.0,11.8,10.9,9.3,9.0,9.2
20140102,47,태양광,제주도,2014-01-02,23,6.731969,2014010223,1,20140102,winter,2014,184.0,제주,12.4,0.0,0.0,4.2,340.0,71.0,8.5,4.7,1020.2,1022.7,1.0,1.8,0.0,0.0,3.0,3.0,Sc,10.0,2500.0,0.0,42.0,12.1,11.4,9.8,9.3,9.4
20140103,71,태양광,제주도,2014-01-03,23,4.05903,2014010323,1,20140103,winter,2014,184.0,제주,15.2,0.0,0.0,4.4,360.0,69.0,9.5,6.3,1017.4,1019.9,1.0,1.34,0.0,0.0,6.0,1.0,ScCi,10.0,2500.0,0.0,0.0,15.4,11.1,9.7,9.3,9.5
20140104,95,태양광,제주도,2014-01-04,23,8.391329,2014010423,1,20140104,winter,2014,184.0,제주,11.0,0.0,0.0,4.5,360.0,72.0,8.4,4.5,1018.0,1020.5,1.0,1.87,0.0,0.0,10.0,7.0,ScCi,10.0,2500.0,0.0,40.0,11.3,11.8,10.2,9.8,9.8
20140105,119,태양광,제주도,2014-01-05,23,8.457214,2014010523,1,20140105,winter,2014,184.0,제주,9.3,0.0,0.0,6.3,360.0,67.0,5.4,-1.8,1022.9,1025.4,1.0,1.96,0.0,0.0,1.0,1.0,Sc,10.0,3000.0,0.0,0.0,10.3,10.9,9.4,9.6,9.8
20140106,143,태양광,제주도,2014-01-06,23,6.71207,2014010623,1,20140106,winter,2014,184.0,제주,10.3,0.0,0.0,4.1,340.0,58.0,5.8,-0.8,1026.3,1028.8,1.0,1.76,0.0,0.0,4.0,1.0,Sc,10.0,2500.0,0.0,0.0,11.6,10.7,9.0,9.1,9.2
20140107,167,태양광,제주도,2014-01-07,23,5.395507,2014010723,1,20140107,winter,2014,184.0,제주,12.1,0.0,9.0,4.8,160.0,83.0,10.8,8.1,1023.8,1026.4,1.0,1.66,0.0,0.0,10.0,6.0,StNs,10.0,2500.0,0.0,1.0,13.6,10.3,8.9,8.9,9.0
20140108,191,태양광,제주도,2014-01-08,23,0.672412,2014010823,1,20140108,winter,2014,184.0,제주,10.7,13.2,9.0,8.3,360.0,93.0,11.5,9.0,1021.2,1023.8,0.0,0.13,0.0,0.0,10.0,8.0,StNs,10.0,2000.0,2.0,1901.0,9.4,9.5,8.9,9.1,9.2
20140109,215,태양광,제주도,2014-01-09,23,1.953657,2014010923,1,20140109,winter,2014,184.0,제주,4.2,0.1,9.0,9.1,360.0,75.0,5.4,0.0,1029.0,1031.6,0.0,0.53,0.0,0.0,10.0,9.0,StNs,10.0,2000.0,1.0,908.0,4.4,6.4,7.1,8.4,8.8
20140110,239,태양광,제주도,2014-01-10,23,4.330255,2014011023,1,20140110,winter,2014,184.0,제주,5.9,0.1,9.0,5.2,360.0,81.0,6.7,1.2,1031.4,1034.0,0.5,1.35,0.0,0.0,9.0,9.0,Sc,10.0,2000.0,1.0,1908.0,9.6,7.2,6.4,6.9,7.6
