fullday,Unnamed: 0,연료원,지역세부구분,거래일,시간,전력거래량,YMDH,month,fullday,season,year,지점,지점명,기온(°C),강수량(mm),강수량 QC플래그,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
20140101,23,태양광,경상남도,2014-01-01,23,30.924377,2014010123,1,20140101,winter,2014,159,부산,9.7,0.0,0.0,8.3,290.0,51.0,5.0,-2.8,1008.6,1017.1,1.0,1.72,0.0,0.0,0.0,0.0,0,0.0,2000.0,0.0,4240.0,15.8,7.8,7.1,6.4,6.4
20140102,47,태양광,경상남도,2014-01-02,23,28.348646,2014010223,1,20140102,winter,2014,159,부산,11.7,0.0,0.0,5.4,360.0,53.0,4.4,-4.4,1014.2,1022.7,1.0,1.61,0.0,0.0,8.0,0.0,Ci,0.0,2000.0,0.0,42.0,16.7,7.9,7.2,6.5,6.5
20140103,71,태양광,경상남도,2014-01-03,23,24.81715,2014010323,1,20140103,winter,2014,159,부산,12.8,0.0,0.0,4.9,360.0,32.0,3.2,-8.5,1012.0,1020.6,1.0,1.42,0.0,0.0,8.0,4.0,Ci,38.0,2000.0,0.0,0.0,16.0,7.9,7.1,6.6,6.5
20140104,95,태양광,경상남도,2014-01-04,23,32.516476,2014010423,1,20140104,winter,2014,159,부산,12.0,0.0,0.0,4.5,360.0,72.0,6.5,0.8,1010.0,1018.6,1.0,1.65,0.0,0.0,9.0,9.0,Sc,10.0,2000.0,0.0,0.0,18.0,8.6,7.8,6.9,6.8
20140105,119,태양광,경상남도,2014-01-05,23,32.527601,2014010523,1,20140105,winter,2014,159,부산,11.1,0.0,0.0,5.4,360.0,72.0,6.3,0.5,1015.2,1023.9,1.0,1.78,0.0,0.0,9.0,9.0,Sc,10.0,2000.0,0.0,0.0,18.6,9.3,8.4,7.4,7.2
20140106,143,태양광,경상남도,2014-01-06,23,33.147029,2014010623,1,20140106,winter,2014,159,부산,10.5,0.0,0.0,6.6,360.0,43.0,4.0,-5.7,1019.7,1028.4,1.0,1.74,0.0,0.0,0.0,0.0,0,0.0,1800.0,0.0,0.0,17.0,8.3,7.5,7.0,7.2
20140107,167,태양광,경상남도,2014-01-07,23,29.341669,2014010723,1,20140107,winter,2014,159,부산,10.2,0.0,0.0,4.9,360.0,38.0,3.8,-6.4,1018.1,1026.8,1.0,1.79,0.0,0.0,10.0,10.0,Ci,28.0,1700.0,0.0,0.0,16.2,8.2,7.5,6.9,6.9
20140108,191,태양광,경상남도,2014-01-08,23,5.280068,2014010823,1,20140108,winter,2014,159,부산,6.7,3.5,9.0,6.7,360.0,93.0,7.3,0.0,1013.5,1022.1,0.0,0.2,0.0,0.0,10.0,10.0,StNs,28.0,1500.0,1.0,401901.0,5.5,6.1,6.3,6.8,6.9
20140109,215,태양광,경상남도,2014-01-09,23,39.546656,2014010923,1,20140109,winter,2014,159,부산,2.9,0.0,9.0,8.8,360.0,59.0,4.4,0.0,1019.4,1028.4,1.0,2.06,0.0,0.0,2.0,2.0,Sc,10.0,2500.0,4.0,40.0,8.7,4.5,4.8,6.0,6.5
20140110,239,태양광,경상남도,2014-01-10,23,35.077437,2014011023,1,20140110,winter,2014,159,부산,4.5,0.0,0.0,6.4,360.0,46.0,3.0,0.0,1023.3,1032.2,1.0,1.93,0.0,0.0,3.0,0.0,Ci,0.0,2300.0,4.0,0.0,6.5,2.7,2.9,4.7,5.5
