index,affairs,yearsmarried,rating
1,0,10,4
2,0,4,4
3,0,15,4
4,0,15,5
5,0,0.75,3
6,0,1.5,5
7,0,0.75,3
8,0,15,4
9,0,15,2
10,0,1.5,5
11,0,15,2
12,0,4,4
13,0,15,4
14,0,1.5,4
15,0,4,4
16,0,15,5
17,0,15,3
18,0,0.75,4
19,0,1.5,5
20,0,10,5
21,0,1.5,5
22,0,1.5,5
23,0,10,4
24,0,10,5
25,0,4,4
26,0,1.5,5
27,0,7,5
28,0,15,4
29,0,4,5
30,0,4,4
31,0,15,3
32,0,1.5,5
33,0,0.417,4
34,0,15,4
35,0,4,4
36,0,1.5,3
37,0,15,4
38,0,4,5
39,0,1.5,5
40,0,0.75,5
41,0,10,5
42,0,15,3
43,0,0.417,4
44,0,4,1
45,0,7,3
46,0,4,5
47,0,7,5
48,0,15,4
49,0,1.5,5
50,0,15,4
51,0,0.75,5
52,0,7,4
53,0,4,5
54,0,10,4
55,0,4,5
56,0,15,1
57,0,1.5,4
58,0,15,5
59,0,0.75,4
60,0,10,4
61,0,15,2
62,0,10,4
63,0,0.75,5
64,0,4,5
65,0,7,4
66,0,15,5
67,0,10,4
68,0,15,5
69,0,1.5,5
70,0,1.5,4
71,0,4,5
72,0,10,5
73,0,0.125,5
74,0,15,3
75,0,15,5
76,0,7,5
77,0,1.5,5
78,0,4,5
79,0,1.5,5
80,0,15,2
81,0,1.5,5
82,0,15,5
83,0,0.75,4
84,0,4,3
85,0,1.5,5
86,0,0.417,4
87,0,15,5
88,0,1.5,2
89,0,1.5,5
90,0,15,4
91,0,15,4
92,0,10,3
93,0,10,4
94,0,15,3
95,0,0.417,4
96,0,15,5
97,0,15,1
98,0,10,4
99,0,15,5
100,0,15,5
101,0,10,5
102,0,10,4
103,0,0.125,5
104,0,15,5
105,0,15,4
106,0,4,4
107,0,7,4
108,0,15,4
109,0,15,3
110,0,1.5,4
111,0,7,5
112,0,15,5
113,0,1.5,5
114,0,10,4
115,0,7,4
116,0,15,5
117,0,15,2
118,0,10,4
119,0,0.75,5
120,0,7,4
121,0,7,5
122,0,15,4
123,0,15,3
124,0,7,2
125,0,1.5,5
126,0,15,5
127,0,0.125,5
128,0,1.5,5
129,0,1.5,5
130,0,1.5,5
131,0,10,3
132,0,15,5
133,0,1.5,5
134,0,4,3
135,0,10,3
136,0,15,4
137,0,0.75,5
138,0,15,4
139,0,4,5
140,0,4,4
141,0,10,4
142,0,15,4
143,0,7,3
144,0,15,4
145,0,4,3
146,0,4,4
147,0,4,4
148,0,15,3
149,0,15,4
150,0,7,4
151,0,7,3
152,0,0.75,3
153,0,4,3
154,0,15,3
155,0,0.75,3
156,0,15,3
157,0,15,1
158,0,15,2
159,0,7,3
160,0,4,5
161,0,4,5
162,0,4,5
163,0,15,5
164,0,15,4
165,0,10,4
166,0,1.5,2
167,0,15,2
168,0,1.5,4
169,0,15,4
170,0,15,2
171,0,15,5
172,0,0.125,5
173,0,10,5
174,0,15,4
175,0,1.5,5
176,0,0.125,2
177,0,4,4
178,0,10,4
179,0,7,3
180,0,15,4
181,0,15,2
182,0,1.5,5
183,0,4,3
184,0,7,5
185,0,0.417,5
186,0,7,5
187,0,0.75,5
188,0,4,5
189,0,10,5
190,0,15,5
191,0,0.75,5
192,0,7,4
193,0,0.417,4
194,0,15,4
195,0,15,3
196,0,4,4
197,0,15,3
198,0,1.5,5
199,0,15,2
200,0,1.5,5
201,0,4,5
202,0,4,5
203,0,1.5,5
204,0,0.75,3
205,0,7,2
206,0,0.75,3
207,0,15,2
208,0,1.5,5
209,0,10,4
210,0,15,3
211,0,15,3
212,0,4,5
213,0,7,2
214,0,0.75,5
215,0,4,5
216,0,1.5,5
217,0,1.5,5
218,0,4,3
219,0,4,4
220,0,15,5
221,0,10,3
222,0,15,5
223,0,15,5
224,0,1.5,4
225,0,10,4
226,0,7,5
227,0,10,4
228,0,1.5,4
229,0,15,5
230,0,4,5
231,0,15,4
232,0,7,5
233,0,15,5
234,0,4,4
235,0,0.75,5
236,0,4,3
237,0,0.75,5
238,0,15,5
239,0,10,5
240,0,15,4
241,0,7,4
242,0,15,4
243,0,15,5
244,0,4,5
245,0,15,4
246,0,0.75,4
247,0,1.5,3
248,0,15,5
249,0,15,4
250,0,15,4
251,0,15,3
252,0,15,4
253,0,7,5
254,0,7,4
255,0,1.5,5
256,0,4,4
257,0,1.5,5
258,0,15,4
259,0,15,4
260,0,7,5
261,0,4,5
262,0,15,3
263,0,7,4
264,0,1.5,5
265,0,1.5,3
266,0,15,5
267,0,15,1
268,0,10,5
269,0,15,5
270,0,4,5
271,0,15,5
272,0,1.5,5
273,0,0.125,3
274,0,10,3
275,0,4,4
276,0,7,1
277,0,4,3
278,0,15,5
279,0,15,4
280,0,1.5,5
281,0,15,4
282,0,15,4
283,0,7,4
284,0,15,3
285,0,7,4
286,0,1.5,2
287,0,1.5,5
288,0,4,2
289,0,7,2
290,0,15,4
291,0,7,4
292,0,1.5,5
293,0,15,4
294,0,1.5,3
295,0,10,5
296,0,4,3
297,0,0.417,5
298,0,4,5
299,0,15,3
300,0,10,4
301,0,7,2
302,0,4,5
303,0,4,4
304,0,1.5,5
305,0,4,4
306,0,0.75,4
307,0,10,5
308,0,0.75,3
309,0,15,3
310,0,4,5
311,0,1.5,2
312,0,7,5
313,0,15,5
314,0,4,4
315,0,15,3
316,0,4,5
317,0,4,5
318,0,15,4
319,0,1.5,4
320,0,15,4
321,0,0.417,5
322,0,1.5,5
323,0,4,4
324,0,15,5
325,0,1.5,5
326,0,4,5
327,0,15,4
328,0,10,5
329,0,10,5
