southern,rate,time,lfp
yes,19.25,47,51.2
yes,7.53,58,48.5
no,5.66,82,50.8
no,3.21,100,54.4
no,2.8,222,52.4
no,1.41,164,56.7
yes,6.18,161,54.6
yes,12.15,70,52.7
no,1.34,219,52.3
no,3.71,81,53
no,5.35,209,55.4
no,4.72,182,53.5
no,3.81,185,51.6
yes,10.44,104,48.5
yes,9.58,126,49.3
no,1.02,192,53.9
yes,7.52,95,55.7
no,1.31,245,51.2
no,1.67,97,54
no,7.07,177,52.2
yes,11.79,125,51.1
no,2.71,56,54
yes,13.21,85,55
no,3.48,199,52.9
no,0.81,298,53.7
no,2.32,145,55.8
no,3.47,78,50.4
no,8.31,144,58.8
no,1.57,178,54.5
no,4.13,146,53.5
yes,3.84,132,48.8
no,1.83,98,54.5
no,3.54,120,52.1
no,1.11,148,56
yes,8.9,123,56.2
no,1.27,282,53.3
yes,15.26,79,50.9
yes,11.15,34,53.2
no,1.74,104,51.7
yes,11.98,91,54.3
no,3.04,199,53.7
no,0.85,101,54.7
yes,2.83,109,47
no,2.89,117,56.9
