state,heating,income
NY,6262,10903.75
NY,6125,11370.02
NY,6040,11578.68
NY,6085,11586.77
NY,5907,11657.42
NY,6248,11860.8
NY,5450,11943.15
NY,5858,11951.04
NY,5583,11653.49
NY,6238,11689.96
NY,6022,11806.46
NY,6444,12001.86
NY,5951,12134.59
NY,6272,12466.71
NY,6046,12664.78
NY,6004,12701.17
NY,5763,13008.04
NY,5839,13739.73
NY,5810,14134.09
NY,5752,14534.71
NY,5765,15047.09
NY,6134,15946.92
NY,6258,16425.33
FL,569,8143.32
FL,954,8651.26
FL,937,9117.02
FL,871,9410.66
FL,596,9548.78
FL,507,9956.45
FL,696,10354.19
FL,524,10251.8
FL,544,9835.75
FL,834,9941.16
FL,930,10217.12
FL,895,10739.32
FL,803,10993.34
FL,840,11353.53
FL,973,11557.21
FL,481,11313.39
FL,828,11630.76
FL,675,12034.63
FL,754,12486.43
FL,579,12718.54
FL,698,13057.23
FL,749,13394.58
FL,642,13754.75
MI,7004,9600.39
MI,6708,10034.59
MI,6911,10266.57
MI,6882,9862.3
MI,6652,10082.84
MI,7273,10577.12
MI,6203,11032.17
MI,6824,10856.7
MI,6585,10440.63
MI,7203,11060.86
MI,6857,11636.58
MI,7440,12002.36
MI,7219,12073.69
MI,7263,11818.82
MI,6931,11608.45
MI,6944,11099.51
MI,6802,11364.9
MI,6834,12042.05
MI,6855,12545.18
MI,6643,12927.16
MI,6188,13001.78
MI,6912,13293.04
MI,7240,13596.79
TX,1859,7930.66
TX,2258,8240.34
TX,2032,8517.22
TX,2119,8660.2
TX,1689,8655.35
TX,2021,8940.77
TX,2057,9343.46
TX,1888,9542.15
TX,1982,9619.9
TX,2255,9988.11
TX,2105,10303.66
TX,2525,10823.19
TX,2450,11139.64
TX,2145,11393.46
TX,1891,11883
TX,2005,11685.3
TX,2393,11439.51
TX,1931,11812.37
TX,2220,12075.33
TX,1829,11718.34
TX,2089,11541.24
TX,2079,11964.96
TX,2199,12238.59
UT,6530,7465.34
UT,6790,7560.08
UT,6510,7661.95
UT,6658,7865.5
UT,6969,8021.98
UT,6505,8299.55
UT,6923,8465.51
UT,6499,8540.47
UT,7259,8411.71
UT,6811,8724.93
UT,6349,8978.58
UT,6471,9295.23
UT,6888,9341.55
UT,6354,9244.02
UT,5891,9249.41
UT,7098,9038.57
UT,6412,9001.02
UT,7389,9353.67
UT,7198,9544.96
UT,6052,9602.47
UT,6116,9688.96
UT,6408,9915.62
UT,6495,10194.32
CA,2805,10749.59
CA,2591,11088.94
CA,2760,11354
CA,2621,11328.17
CA,3094,11216.07
CA,2714,11527.43
CA,2813,11718.72
CA,2718,11911.96
CA,3002,11721.46
CA,2430,12097.57
CA,2457,12385.88
CA,2515,12927.19
CA,2590,13273.28
CA,2308,13491.37
CA,2224,13593.27
CA,2832,13236.2
CA,2487,13339.57
CA,2486,13953.85
CA,2694,14368.46
CA,2192,14580.77
CA,2502,14915.05
CA,2366,15340.38
CA,2420,15532.93
