kids,prestige,mentor
0,2.519999981,7
0,2.049999952,6
0,3.75,6
1,1.179999948,3
0,3.75,26
2,3.589999914,2
0,3.190000057,3
2,2.960000038,4
0,4.619999886,6
0,1.25,0
0,2.960000038,14
0,0.754999995,13
1,3.690000057,3
0,3.400000095,4
0,1.789999962,0
0,3.089999914,1
0,2,7
2,4.289999962,13
0,3.359999895,7
0,4.289999962,9
0,2.25999999,6
3,2.960000038,3
1,4.289999962,5
1,2.859999895,4
3,2.75999999,1
0,1.519999981,3
1,3.539999962,8
1,4.289999962,3
0,3.089999914,0
0,2.319999933,3
0,2.390000105,0
0,4.289999962,8
0,1.504999995,13
0,2.099999905,0
1,1.519999981,0
0,2,0
0,1.75,0
0,4.289999962,9
1,1.220000029,2
0,3.75,5
0,4.289999962,9
1,2.859999895,3
0,3.920000076,5
1,3.359999895,3
0,2.099999905,6
1,1.179999948,0
0,2.5,1
0,3.359999895,25
0,4.539999962,14
0,3.920000076,8
0,4.539999962,5
2,1.970000029,0
2,2.960000038,12
0,4.289999962,8
1,2.25999999,2
0,2.119999886,11
0,3.210000038,2
1,3.150000095,1
1,3.920000076,1
0,2.960000038,0
0,2.859999895,6
1,2.099999905,0
0,3.75,4
0,3.539999962,2
0,2.539999962,1
1,2.75999999,3
0,4.539999962,10
0,1.679999948,6
1,2.200000048,0
0,1.004999995,0
0,2.119999886,2
2,2.579999924,0
0,1.789999962,1
0,4.289999962,2
0,1.279999971,4
2,2.579999924,5
2,2.119999886,0
1,2.210000038,1
1,2.25999999,5
0,3.210000038,5
0,2.099999905,2
1,3.539999962,1
1,3.400000095,18
0,2.210000038,6
0,2.210000038,19
2,0.920000017,1
0,4.289999962,35
2,3.150000095,6
0,4.289999962,19
1,2.50999999,8
1,4.289999962,1
0,2.75999999,0
0,1.419999957,3
0,2.210000038,19
0,4.139999866,5
0,1.519999981,7
0,4.619999886,8
0,3.619999886,7
2,3.75,4
0,4.289999962,8
0,3.75,5
1,2.099999905,0
2,1.399999976,7
0,3.190000057,4
2,1.809999943,1
1,3.150000095,2
0,3.75,7
0,2.049999952,6
3,2.210000038,3
2,3.359999895,2
0,3.470000029,11
0,2.119999886,0
1,3.359999895,2
0,2.539999962,5
2,2.150000095,4
1,4.539999962,3
0,1.679999948,4
1,2.549999952,0
0,2.119999886,11
1,3.470000029,2
0,3.470000029,1
0,3.359999895,9
1,2.119999886,10
0,2.099999905,1
0,4.289999962,1
1,2.859999895,13
1,4.289999962,9
0,3.210000038,2
0,2.099999905,0
0,1.809999943,5
0,2.519999981,2
1,3.359999895,23
0,4.539999962,4
1,4.289999962,4
0,2.119999886,9
2,4.619999886,30
1,3.589999914,14
0,3.589999914,4
3,2.859999895,1
0,1.504999995,3
1,2.5,0
0,4.619999886,0
0,2.5,0
1,3.359999895,3
0,2,2
2,3.410000086,5
0,2.099999905,0
0,2,2
0,3.359999895,2
3,3.589999914,7
0,2.140000105,2
0,3.589999914,12
0,2.390000105,10
3,4.539999962,11
0,2.960000038,2
1,2.210000038,5
2,3.690000057,5
0,1.779999971,1
0,2.859999895,11
0,2.859999895,8
0,2.579999924,3
0,3.75,1
1,1.220000029,11
0,2.099999905,9
0,3.589999914,18
0,3.539999962,5
0,2.859999895,16
0,1.860000014,6
0,2.960000038,0
0,3.690000057,7
0,3.690000057,2
0,4.289999962,1
0,2.519999981,1
0,1.75999999,10
2,2.319999933,2
0,3.690000057,2
0,3.75,14
0,4.289999962,5
2,4.539999962,6
1,2.099999905,0
1,2.539999962,0
1,2.210000038,19
0,4.539999962,8
1,2.099999905,12
0,2.25999999,5
1,4.619999886,15
0,2.75999999,4
0,4.289999962,12
0,0.754999995,0
0,1.830000043,2
0,1.789999962,0
1,4.289999962,6
0,2.5,0
0,2.140000105,1
2,3.400000095,13
0,2.869999886,15
0,2.960000038,0
2,3.190000057,0
1,3.690000057,16
2,1.254999995,0
2,4.139999866,12
1,2.390000105,5
2,3.920000076,2
0,2.960000038,4
0,2.119999886,2
2,2.119999886,1
0,2.609999895,3
0,4.289999962,0
3,2.859999895,7
0,2.390000105,0
2,3.339999914,1
0,3.619999886,8
1,3.589999914,8
2,4.539999962,1
0,3.589999914,1
0,4.289999962,9
0,1.519999981,4
0,4.289999962,6
0,4.619999886,5
1,4.289999962,13
0,2.50999999,3
0,2.859999895,3
0,2.960000038,8
0,3.690000057,3
0,3.470000029,2
2,4.289999962,15
0,4.289999962,0
0,3.920000076,1
0,2,6
0,2.319999933,4
