grade,average,testscore
decrease,2.66,20
decrease,2.89,22
decrease,3.28,24
decrease,2.92,12
increase,4,21
decrease,2.86,17
decrease,2.76,17
decrease,2.87,21
decrease,3.03,25
increase,3.92,29
decrease,2.63,20
decrease,3.32,23
decrease,3.57,23
increase,3.26,25
decrease,3.53,26
decrease,2.74,19
decrease,2.75,25
decrease,2.83,19
decrease,3.12,23
increase,3.16,25
decrease,2.06,22
increase,3.62,28
decrease,2.89,14
decrease,3.51,26
increase,3.54,24
increase,2.83,27
increase,3.39,17
decrease,2.67,24
increase,3.65,21
increase,4,23
decrease,3.1,21
increase,2.39,19
