day,highT,lowT,hi,lo,clouds
Tuesday,62,39,62,39,0.8
Wednesday,75,43,75,43,6.3
Thursday,70,47,70,47,9.9
Friday,65,48,65,48,7.2
Saturday,66,38,66,38,0
Sunday,74,33,74,33,2.5
Monday,56,38,56,38,0
Tuesday,54,32,54,32,3.6
Wednesday,59,34,59,34,2.4
Thursday,64,41,64,41,3.4
Friday,62,36,62,36,0
Saturday,70,30,70,30,0
Sunday,80,33,80,33,0.7
Monday,76,44,76,44,1.8
Tuesday,81,39,81,39,0
Wednesday,86,50,86,50,6.2
Thursday,67,43,67,43,0.4
Friday,63,35,63,35,8.6
Sunday,63,46,63,46,6.9
Monday,52,43,52,43,5.8
Tuesday,70,41,70,41,5.1
Wednesday,58,51,58,51,10
Thursday,61,42,61,42,6.4
Friday,66,38,66,38,3.9
Tuesday,57,36,57,36,6.5
Wednesday,57,48,57,48,6.8
Thursday,65,30,65,30,4.3
Friday,60,34,60,34,10
Saturday,49,43,49,43,9.7
Sunday,55,43,55,43,9
Monday,72,47,72,47,4.1
Tuesday,77,43,77,43,0.4
Wednesday,75,47,75,47,6.8
Thursday,61,35,61,35,4.4
Friday,66,39,66,39,2.4
Saturday,70,49,70,49,7.9
Sunday,65,20,65,20,9.4
Monday,69,54,69,54,6.6
Tuesday,70,62,70,62,3
Wednesday,67,43,67,43,6.7
Thursday,71,39,71,39,5.2
Friday,56,41,56,41,7
Saturday,67,39,67,39,6.8
Sunday,55,45,55,45,9.6
Monday,59,40,59,40,9.4
Tuesday,51,39,51,39,10
Wednesday,51,49,51,49,10
Thursday,55,52,55,52,10
Friday,74,50,74,50,8
Saturday,79,47,79,47,7
Sunday,74,55,74,55,7.8
Monday,77,52,77,52,5
Tuesday,74,52,74,52,7.5
Wednesday,72,53,72,53,7.9
Thursday,74,55,74,55,4.6
Friday,78,55,78,55,8.5
Sunday,89,57,89,57,1.9
Wednesday,73,49,73,49,6.3
Thursday,79,45,79,45,4.1
Friday,88,54,88,54,6.2
Saturday,95,61,95,61,2.6
Sunday,95,66,95,66,4.1
Monday,90,66,90,66,6.6
Tuesday,76,72,76,72,9.7
Wednesday,84,70,84,70,9.9
Thursday,84,69,84,69,8.9
Friday,83,60,83,60,8.2
Saturday,80,55,80,55,3.8
Sunday,80,53,80,53,3.8
Monday,83,54,83,54,1.2
Tuesday,83,50,83,50,7.6
Wednesday,81,65,81,65,10
Thursday,70,63,70,63,9.9
Friday,64,58,64,58,10
Thursday,92,66,92,66,7.9
Friday,90,65,90,65,8.4
Saturday,97,71,97,71,6.1
Sunday,89,69,89,69,9
Friday,69,41,69,41,6.4
Saturday,71,42,71,42,4
Sunday,59,46,59,46,10
Monday,59,35,59,35,1.7
Tuesday,59,35,59,35,7.7
Wednesday,46,30,46,30,9.7
Thursday,50,35,50,35,5.8
Friday,41,25,41,25,0
Saturday,51,19,51,19,0
Sunday,62,28,62,28,5.7
Monday,60,32,60,32,1.2
Tuesday,42,37,42,37,10
