unemp,hours,income,age,education
7,2000,350,26,12
4,390,241,29,8
7,1900,160,33,10
7,0,80,20,9
7,3177,456,33,12
7,0,390,22,12
7,0,181,41,9
3,1040,726,31,16
4,2040,-5,33,12
5,0,78,30,11
7,1432,195,41,12
3,1544,95,23,14
7,877,351,32,16
12,0,303,56,12
12,0,513,35,12
7,1204,133,30,14
7,336,185,20,12
6,2500,270,26,10
7,0,100,24,12
4,1250,131,20,12
5,632,325,33,12
5,1062,226,30,12
5,2104,246,37,17
5,352,364,39,12
5,2008,142,54,12
5,0,114,34,12
5,1780,96,29,12
5,2244,510,37,15
3,1009,453,40,16
4,2420,70,19,12
7,764,303,26,12
7,1676,141,25,8
6,2026,679,33,12
6,2060,50,31,8
3,2750,172,26,15
3,1464,127,25,16
6,1632,410,25,17
4,1932,260,46,12
4,1680,175,44,12
4,0,120,28,12
8,0,159,32,12
8,2290,80,48,13
5,444,60,23,13
4,3050,103,35,16
10,1850,180,27,12
8,1293,290,20,12
9,543,146,27,12
5,1225,169,20,11
3,0,156,50,11
4,2056,210,22,12
6,1952,485,35,12
6,0,190,40,12
3,1980,483,43,15
3,870,119,61,12
9,1495,230,30,17
3,2133,290,35,17
2,0,325,53,10
8,0,175,60,16
6,1326,386,29,12
6,0,384,51,9
4,0,330,29,12
6,1560,503,36,14
6,996,800,36,14
6,1800,334,47,12
4,0,553,34,16
4,1920,810,56,13
4,0,306,35,10
4,1352,260,23,12
3,0,584,55,12
3,1944,83,33,12
3,2184,190,25,16
8,1770,475,45,17
8,1432,150,23,16
8,555,366,48,16
3,24,311,28,12
3,760,714,54,12
3,1634,37,40,16
3,1344,174,39,14
7,0,341,56,12
3,0,645,41,13
3,0,360,34,13
3,0,380,31,12
8,158,182,38,10
4,920,304,30,16
7,0,293,24,13
4,1968,775,60,13
7,0,408,27,17
5,1667,217,37,15
6,2080,317,42,10
4,1655,293,37,12
4,1208,430,32,12
4,1530,306,23,11
4,0,485,53,15
7,0,142,60,0
7,2220,248,51,10
4,0,545,42,12
4,1648,250,49,16
4,1000,290,21,13
6,1960,346,57,16
6,0,1100,32,16
3,0,1320,40,16
4,1750,313,44,12
4,988,337,55,12
5,0,383,37,17
5,2000,569,41,12
6,0,557,36,16
3,0,180,32,12
3,1930,450,30,16
3,1584,380,38,17
2,2070,343,38,17
8,888,146,23,12
3,0,75,57,12
3,2120,230,29,15
3,212,231,26,12
3,856,199,27,14
7,1750,358,48,12
7,1897,126,20,12
4,0,290,25,12
8,0,381,28,10
4,0,450,37,17
4,2810,1021,48,17
6,2000,220,36,14
4,1896,460,40,16
6,0,67,26,14
6,1813,280,53,16
5,759,98,38,17
3,0,1000,55,12
3,1575,811,32,14
3,1653,271,27,14
5,0,504,30,16
3,1793,396,41,12
4,1980,225,38,12
7,180,178,60,12
5,38,301,32,12
8,2083,82,37,15
7,258,615,38,17
3,2084,851,50,14
3,1512,332,60,12
2,0,603,34,14
4,2000,350,32,16
3,1440,80,41,16
3,1560,1150,47,17
7,0,237,28,13
3,1944,430,38,16
6,1560,602,34,17
3,0,282,22,12
3,2024,584,41,12
2,1815,550,32,16
3,1920,470,57,12
5,1560,141,36,12
8,1757,65,40,12
5,2112,295,43,13
5,0,380,27,12
4,1964,137,24,14
4,1755,271,40,17
5,2320,44,24,12
11,0,110,25,12
11,1200,238,34,14
11,1960,465,60,12
5,2940,902,52,13
6,1336,320,32,12
5,1822,356,35,13
5,1968,140,38,17
6,563,47,26,12
9,1174,73,55,8
9,624,335,28,8
9,0,122,24,12
9,644,146,32,8
9,696,97,24,9
2,57,242,32,12
1,0,350,59,10
2,585,335,36,11
2,492,558,35,12
7,0,555,30,15
6,2222,825,34,17
7,1360,691,38,16
7,1555,870,61,14
5,0,197,35,12
5,0,1000,36,14
5,1880,320,52,14
5,0,161,28,13
5,1900,269,33,13
6,2074,400,27,14
6,0,270,55,12
8,520,120,63,9
8,0,460,35,12
8,344,388,41,15
8,1968,319,27,16
8,0,454,64,12
6,1965,262,37,16
7,1000,530,45,12
6,0,209,26,13
7,2008,498,55,17
2,0,571,33,17
5,1924,383,49,12
8,0,3275,60,12
3,2070,871,63,15
3,872,100,27,10
5,3568,919,36,14
6,714,333,58,16
11,276,131,44,14
8,2016,85,25,16
5,0,166,22,9
3,1040,705,45,13
3,0,393,51,12
3,1936,117,30,10
5,4,484,41,12
5,2495,121,28,12
5,1885,236,28,16
6,894,630,55,14
8,1860,282,33,15
4,1874,460,38,11
7,2268,330,48,7
7,0,165,33,11
5,0,535,47,9
6,103,237,48,11
4,130,859,55,17
4,1880,500,53,16
4,1650,620,52,16
4,0,225,34,12
3,698,497,32,14
3,744,450,34,16
3,1200,2000,58,12
9,0,72,63,12
10,588,237,49,10
10,1216,200,27,12
5,0,456,34,13
5,784,291,29,14
3,0,244,34,16
4,0,180,35,16
3,2050,210,60,12
3,2054,279,46,12
3,2122,270,24,12
3,1880,270,46,12
3,0,100,34,11
3,1972,181,29,13
6,0,114,57,12
3,1960,206,30,12
3,0,168,57,12
3,0,72,62,10
3,1568,291,38,14
6,0,540,32,16
4,1632,386,43,12
3,1960,150,35,12
4,0,211,62,12
3,1880,303,39,12
4,1224,410,55,12
4,1296,70,26,12
4,0,160,24,12
5,775,373,36,16
7,0,607,32,15
5,0,456,39,14
4,2022,429,39,12
6,1729,159,34,12
3,1504,332,39,16
3,1436,274,43,17
6,0,380,43,13
6,1952,161,35,11
6,0,77,28,12
8,1692,100,41,17
10,0,94,50,12
10,0,150,45,10
2,432,122,40,14
3,534,146,36,13
4,2040,75,31,12
2,2277,355,34,17
3,0,264,40,12
4,1050,155,35,12
4,1644,160,21,12
1,0,482,39,12
3,2016,266,39,9
7,200,212,53,12
7,1890,240,23,14
4,2205,262,29,16
7,2808,235,36,10
5,1056,420,37,12
5,2340,197,59,12
4,25,123,24,12
7,1975,0,46,12
3,2000,402,52,12
3,1752,343,24,14
11,1865,121,27,12
11,328,426,49,12
12,0,72,28,12
12,1288,107,43,10
12,0,147,26,12
4,2450,250,51,10
3,750,501,37,12
9,1290,186,41,8
9,0,107,22,11
6,2061,335,38,14
5,1523,270,44,12
3,1900,839,37,12
7,1656,262,37,12
4,2450,309,45,12
4,785,171,21,15
3,1800,123,60,14
2,2100,647,55,13
6,1759,269,36,14
4,0,228,53,12
8,1896,326,33,12
8,0,236,37,13
11,882,310,37,12
6,1596,194,36,9
6,1834,123,35,11
4,727,418,46,16
7,1936,160,26,14
7,0,157,63,8
8,0,245,62,12
8,1214,215,22,15
8,0,432,33,12
6,0,320,28,14
8,0,800,26,13
6,0,240,62,12
5,0,274,54,10
8,0,237,31,12
9,1764,370,33,13
5,2008,240,23,8
5,1880,190,35,11
5,1715,110,32,10
5,0,99,26,10
3,1312,431,36,12
5,1720,336,25,16
5,1790,100,21,13
5,1920,218,29,12
6,2046,220,38,12
6,2390,70,28,13
3,1920,380,32,12
5,0,141,56,15
7,1516,534,26,17
8,4742,230,31,17
8,1720,232,28,12
9,0,208,57,15
9,2000,104,25,12
4,1709,121,61,7
3,2540,280,32,12
6,1250,500,31,16
4,0,166,62,12
3,1760,108,44,13
3,1778,302,44,13
7,2338,378,26,17
6,973,880,48,16
3,1764,222,42,15
3,0,384,64,17
3,353,546,36,16
2,36,2345,35,17
3,741,500,37,16
4,0,264,35,10
4,1656,190,21,13
6,1628,685,35,15
8,0,144,40,12
3,1682,741,55,13
3,2250,360,27,16
3,0,432,33,14
6,2167,420,34,12
3,2510,432,28,14
5,1843,628,58,12
5,0,470,35,13
5,2080,481,24,12
5,2100,280,36,14
5,1777,240,31,12
4,1568,100,33,17
5,1800,563,51,14
4,1837,322,27,17
3,492,591,40,15
5,214,855,31,16
5,1636,190,28,15
2,2023,280,26,16
5,1616,363,35,12
5,1992,194,34,16
6,1200,123,57,12
4,759,188,29,12
4,1000,175,62,12
5,0,685,40,12
14,0,754,52,12
5,132,530,37,17
5,657,220,36,17
4,2000,482,40,12
7,431,282,28,12
5,2226,93,27,12
5,1832,269,29,16
5,2684,528,43,12
9,1008,288,31,14
5,396,197,58,12
7,593,240,28,13
7,2064,212,55,14
5,1791,430,35,16
5,1912,264,26,12
6,0,186,32,10
5,0,76,60,7
5,2196,307,31,13
5,0,332,35,14
5,0,50,60,7
9,780,380,40,12
5,0,1860,61,12
5,1482,184,25,12
5,436,170,23,12
5,700,520,53,12
6,1365,2680,48,16
6,960,265,29,16
6,258,350,31,12
6,1800,160,24,14
3,1687,374,35,12
3,58,395,44,10
3,2096,564,42,12
9,648,46,23,17
3,1750,505,60,12
7,1470,322,29,13
3,1224,237,36,14
5,2000,0,29,12
3,1306,485,32,16
3,892,355,27,12
3,2064,461,43,12
5,1920,319,45,15
3,1164,300,38,17
6,1800,137,38,12
5,2034,450,43,12
2,2072,40,22,13
4,1920,564,35,12
1,1040,106,54,11
1,768,158,28,14
1,1896,130,26,11
5,1043,379,56,16
11,0,240,42,12
4,0,294,46,7
4,1985,133,35,11
4,1752,250,28,14
4,1775,100,24,12
7,942,120,24,14
4,1992,112,26,12
4,394,278,30,12
4,0,476,27,12
4,0,562,51,12
7,1976,24,22,12
7,2205,90,48,11
7,1920,200,25,11
7,1974,276,41,12
4,2064,182,24,14
6,0,70,22,12
8,1800,97,41,13
5,784,180,39,10
5,2470,424,39,17
4,1940,198,27,17
5,0,170,56,14
5,0,80,24,13
4,0,624,50,10
5,0,286,30,10
9,793,79,24,10
3,864,136,26,14
3,1750,342,58,12
3,1976,80,30,12
3,1887,329,53,12
8,1970,366,29,12
3,1896,83,63,12
6,2055,174,24,12
3,2026,194,26,14
3,1452,237,26,11
11,1656,180,38,17
2,2000,650,33,16
3,2168,356,39,17
7,2000,116,48,12
7,0,292,63,13
4,0,77,60,12
4,2592,280,35,10
5,1215,680,60,17
4,0,985,28,13
5,972,138,18,11
5,0,261,34,12
5,1936,267,45,11
5,1242,180,29,12
7,2295,440,41,16
6,1644,354,57,12
6,2350,156,29,12
6,2160,730,48,14
5,1190,315,23,14
3,1000,202,35,12
6,436,360,31,17
2,0,283,44,12
5,1331,397,51,12
7,2184,675,32,16
5,1263,115,39,12
5,1568,279,26,13
5,0,473,49,11
5,1606,312,29,15
4,1372,291,24,14
2,2205,810,33,14
6,490,417,36,16
8,0,471,47,9
5,1035,220,21,14
8,294,497,42,13
8,1904,198,22,13
9,1901,445,40,12
2,1386,184,23,10
2,2006,265,45,10
6,696,347,63,17
5,0,95,25,12
8,0,233,63,12
6,1908,348,29,14
4,691,410,36,12
3,0,383,57,14
3,243,496,42,16
5,1225,270,39,16
3,0,412,42,12
3,0,4566,46,17
6,0,473,58,12
5,0,290,33,12
4,1680,520,33,16
5,0,1123,47,15
3,1536,348,51,12
3,2000,694,27,12
4,936,210,26,12
3,1518,242,29,12
6,1544,290,37,17
3,2032,522,41,14
7,0,1578,48,13
4,298,181,62,5
4,735,500,32,15
6,1888,337,34,12
4,0,582,55,10
4,0,383,30,16
3,1200,415,31,12
7,958,459,43,9
7,1365,463,41,14
6,1080,90,44,12
5,2056,273,34,14
4,0,477,59,12
4,1733,697,36,12
4,2232,178,26,12
4,2056,271,23,10
4,325,313,32,12
9,2070,396,26,16
5,2500,400,51,12
7,1694,403,41,13
3,2178,280,48,17
3,0,110,38,9
3,0,140,32,12
6,1976,293,45,15
6,682,430,39,12
10,2048,100,23,16
10,1872,350,33,17
5,2080,80,31,11
7,2360,287,50,17
7,1414,353,48,13
3,1916,267,40,12
6,2000,460,35,16
4,1880,1000,61,12
6,0,600,37,17
5,2156,156,27,14
5,2726,185,31,14
6,3792,70,31,17
6,1932,110,32,13
9,1920,313,38,14
3,0,360,30,12
5,1109,433,56,12
5,2250,259,21,14
3,2142,233,34,12
6,0,270,26,13
3,1750,446,55,11
3,0,752,43,16
3,0,406,39,11
3,2040,189,25,12
5,2208,51,24,15
3,1960,300,62,12
3,0,219,47,9
2,2322,473,40,12
