agegp,ncases,ncontrols
25-34,0,40
25-34,0,10
25-34,0,6
25-34,0,5
25-34,0,27
25-34,0,7
25-34,0,4
25-34,0,7
25-34,0,2
25-34,0,1
25-34,0,2
25-34,0,1
25-34,1,0
25-34,0,1
25-34,0,2
35-44,0,60
35-44,1,13
35-44,0,7
35-44,0,8
35-44,0,35
35-44,3,20
35-44,1,13
35-44,0,8
35-44,0,11
35-44,0,6
35-44,0,2
35-44,0,1
35-44,2,1
35-44,0,3
35-44,2,2
45-54,1,45
45-54,0,18
45-54,0,10
45-54,0,4
45-54,6,32
45-54,4,17
45-54,5,10
45-54,5,2
45-54,3,13
45-54,6,8
45-54,1,4
45-54,2,2
45-54,4,0
45-54,3,1
45-54,2,1
45-54,4,0
55-64,2,47
55-64,3,19
55-64,3,9
55-64,4,2
55-64,9,31
55-64,6,15
55-64,4,13
55-64,3,3
55-64,9,9
55-64,8,7
55-64,3,3
55-64,4,0
55-64,5,5
55-64,6,1
55-64,2,1
55-64,5,1
65-74,5,43
65-74,4,10
65-74,2,5
65-74,0,2
65-74,17,17
65-74,3,7
65-74,5,4
65-74,6,7
65-74,4,8
65-74,2,1
65-74,1,0
65-74,3,1
65-74,1,1
65-74,1,0
65-74,1,0
75+,1,17
75+,2,4
75+,1,2
75+,2,3
75+,1,2
75+,0,3
75+,1,0
75+,1,0
75+,1,0
75+,2,0
75+,1,0
