Country,Beer,Wine,Spirit
A,5.24,2.86,1.81
B,5.15,2.87,1.77
C,5.06,2.94,1.88
D,5.07,2.95,2.07
E,4.8,2.91,1.81
F,4.97,3.01,1.86
G,4.68,3.07,2.06
H,4.58,3.13,2.12
I,4.57,3.11,2.15
J,4.49995484,2.592596499,1.77144866
K,4.283794331,2.65169388,1.640511789
L,4.387808621,2.746679961,1.802511417
M,4.250763644,2.629686842,2.043549514
N,4.231345949,2.773365295,1.885288756
O,4.217865621,2.878332042,2.044802337
P,4.199606615,2.879048026,2.008345359
Q,4.162325798,2.999340819,2.222333383
R,3.959409329,3.089422542,2.201168128
