danger,body_wt,brain_wt,gestation
3,6654,5712,645
3,1,6.6,42
1,3.385,44.5,60
3,0.92,5.7,25
4,2547,4603,624
4,10.55,179.5,180
1,0.023,0.3,35
4,160,169,392
1,3.3,25.6,63
1,52.16,440,230
4,0.425,6.4,112
5,465,423,281
2,0.55,2.4,301
5,187.1,419,365
1,0.075,1.2,42
2,3,25,28
2,0.785,3.5,42
2,0.2,5,120
1,1.41,17.5,52
1,60,81,35
5,529,680,400
5,27.66,115,148
2,0.12,1,16
1,207,406,252
1,85,325,310
1,36.33,119.5,63
3,0.101,4,28
4,1.04,5.5,68
5,521,655,336
1,100,157,100
4,35,56,33
4,0.005,0.14,21.5
1,0.01,0.25,50
1,62,1320,267
1,0.122,3,30
3,1.35,8.1,45
3,0.023,0.4,19
3,0.048,0.33,30
1,1.7,6.3,12
1,3.5,10.8,120
5,250,490,440
2,0.48,15.5,140
4,10,115,170
2,1.62,11.4,17
4,192,180,115
5,2.5,12.1,31
2,4.288,39.2,63
3,0.28,1.9,21
1,4.235,50.4,52
2,6.8,179,164
2,0.75,12.3,225
3,3.6,21,225
5,14.83,98.2,150
5,55.5,175,151
2,1.4,12.5,90
2,0.06,1,27
2,0.9,2.6,60
3,2,12.3,200
2,0.104,2.5,46
4,4.19,58,210
1,3.5,3.9,14
1,4.05,17,38
