wheels,duration,n_bids,ship_pr
0,3,19,4
1,3,20,4
1,7,13,3.99
1,3,16,3.5
1,3,18,0
2,1,20,0
0,1,13,0
2,1,15,2.99
1,3,29,4
1,7,8,4
2,1,15,2.99
2,1,15,0
2,1,13,2.99
2,1,16,0
1,7,6,4
0,7,22,4
1,3,14,8.7
1,3,23,0
2,1,10,2.99
2,7,22,25.51
0,1,7,0
2,1,16,2.99
2,1,1,0
2,1,18,2.99
1,3,12,4
2,1,19,0
0,3,5,3.5
0,3,5,0
0,1,13,4
1,7,15,4
0,1,11,4
0,7,14,0
1,5,13,4
2,5,24,3.99
1,3,10,0
1,3,15,8.7
0,3,16,4
1,7,17,4
2,1,9,2.99
2,1,14,2.99
1,7,5,0
1,3,13,0
2,1,14,4
2,1,29,2.99
2,1,17,2.99
1,3,8,3.99
2,1,12,2.99
0,7,20,0
0,7,21,3
1,7,16,0
2,1,10,2.99
0,1,17,0
1,3,16,0
0,3,2,0
0,7,16,2.95
0,1,14,0
1,7,10,4
1,5,7,2.99
0,7,16,4
0,10,3,0
2,1,23,2.99
0,1,12,0
2,1,9,2.99
0,5,18,3.59
0,3,27,4
2,7,12,0
2,1,13,2.99
1,7,14,3
3,7,12,4
2,7,16,4
1,3,9,4
1,3,17,0
1,7,16,3.5
2,1,20,0
2,1,1,0
2,1,13,8.02
1,3,4,4
0,5,21,4
0,3,14,4
0,5,18,2.95
1,10,15,6
2,1,8,2.99
1,3,19,4
4,7,2,9.02
1,7,14,3.75
2,3,14,4
0,7,7,3
1,7,7,8.7
1,5,5,4
0,3,16,4
1,7,13,0
0,5,10,1.99
2,1,11,3.99
1,7,15,0
0,1,16,0
2,3,15,0
0,3,23,4
2,1,20,2.99
2,7,9,4
1,5,14,9.26
2,5,11,4
2,1,13,2.99
2,1,1,11.45
2,1,22,0
0,5,7,4
1,7,18,4
2,5,17,4
1,7,9,3
2,1,16,2.99
1,5,20,0
0,3,16,4
1,3,5,0
2,7,5,0
2,1,25,2.99
3,1,3,0
1,7,7,11.42
1,7,18,4
1,7,10,4
1,1,13,0
2,3,8,4
0,7,16,9.69
1,7,3,4
2,1,17,2.99
1,1,11,0
1,3,9,0
1,7,10,3.99
2,1,23,0
2,1,19,0
2,1,14,0
1,3,11,4
2,1,1,0
0,7,14,3.99
1,7,14,4
1,5,17,10.35
0,7,11,3
2,1,18,2.99
0,5,20,4
1,7,6,8.7
0,1,20,0
2,7,9,0
1,3,14,8.7
0,7,13,4.9
2,1,13,2.99
