habitat,A,P
NWsoak,9,8
SWsoak,3,20
Lowerside,7,9
Lowerside,0,2
Upperside,9,1
Disturbed,3,18
Disturbed,0,5
Disturbed,0,5
Disturbed,0,2
NWsoak,39,5
SWsoak,7,16
Lowerside,12,0
Lowerside,6,0
Lowerside,2,0
Lowerside,1,0
Upperside,5,1
NEsoak,2,4
Disturbed,2,0
NWsoak,23,6
SWsoak,10,12
Lowerside,5,0
Lowerside,6,5
Lowerside,2,1
Upperside,4,1
NEsoak,2,0
Disturbed,3,1
Upperside,4,2
NEsoak,3,3
SEsoak,3,4
SEsoak,1,0
SEsoak,3,1
Upperside,6,3
NEsoak,1,1
SEsoak,9,0
SEsoak,10,0
SEsoak,2,0
Disturbed,0,2
NEsoak,6,2
NEsoak,0,4
Bank,0,4
SEsoak,9,1
