conc,brood1,brood2,brood3
0,3,14,10
0,5,12,15
0,6,11,17
0,6,12,15
0,6,15,15
0,5,14,15
0,6,12,15
0,5,13,12
0,3,10,11
0,6,11,14
80,6,11,16
80,5,12,16
80,6,11,18
80,5,12,16
80,8,13,15
80,3,9,14
80,5,9,13
80,7,12,12
80,5,13,14
80,3,12,14
160,6,12,11
160,6,12,11
160,2,8,13
160,6,10,11
160,6,11,13
160,6,13,12
160,6,12,12
160,5,10,11
160,6,13,10
160,6,12,11
235,4,13,6
235,6,10,5
235,2,5,0
235,6,0,6
235,6,13,8
235,6,0,10
235,7,0,6
235,4,2,9
235,6,8,7
235,7,0,10
310,6,0,0
310,6,0,0
310,7,0,0
310,0,0,0
310,5,10,0
310,5,0,0
310,6,0,0
310,4,0,0
310,6,0,0
310,5,0,0
