index,violent,robbery,prisoners
1,414.4,96.8,83
2,419.1,99.1,94
3,413.3,109.5,144
4,448.5,132.1,141
5,470.5,126.5,149
6,447.7,112,183
7,416,98.4,215
8,431.2,96.1,243
9,457.5,105.4,256
10,558,111.6,267
11,559.2,112.2,283
12,558.6,117.8,307
13,590.8,133.9,300
14,708.6,143.7,328
15,844.2,152.8,370
16,871.7,164.9,394
17,780.4,159.5,407
18,683.7,171.2,431
19,632.4,185.8,450
20,565.4,167,471
21,564.5,160.5,492
22,512.1,130.9,500
23,490.2,121.2,519
24,443.2,96.8,63
25,441.9,91.3,75
26,491.1,109.6,127
27,436,81.8,133
28,615.8,114.6,143
29,623.7,133.8,170
30,613.8,97.1,194
31,621.6,109.4,219
32,581.8,92.9,252
33,570.4,88,288
34,455.4,73.1,306
35,522.8,72.9,339
36,497.7,67.6,355
37,524.5,76.7,361
38,613.9,113.2,348
39,660.5,109,345
40,760.8,122.4,327
41,766.3,146.2,446
42,770.9,155.1,317
43,727.7,117,338
44,701.1,106.4,383
45,653.9,86.6,420
46,631.5,91.4,413
47,494.2,138.2,125
48,552.1,162.9,129
49,593,175.7,146
50,650.9,193.6,139
51,575.8,177.6,160
52,517,158.6,184
53,494.2,132.4,209
54,516.1,131.1,223
55,602.5,146.5,247
56,658.3,169.2,256
57,612.6,138.4,268
58,610.1,137,307
59,599.6,139,328
60,652.4,160.9,350
61,670.7,165.7,375
62,670.8,153.1,396
63,715,162.9,409
64,703.1,162,430
65,713.5,173.8,459
66,631.5,167.8,473
67,623.7,165.7,479
68,577.9,165.2,484
69,551.2,152.5,507
70,322.9,83.2,115
71,344.1,80,111
72,366.2,74.6,115
73,335.2,80.9,132
74,310.3,77.4,128
75,324.7,78.8,143
76,297.7,69.3,166
77,321.4,67.6,179
78,347.6,68.5,188
79,394.8,79.7,195
80,412,79.1,198
81,422.7,84.1,227
82,473.7,110.6,230
83,532.2,113.2,261
84,593.3,135.6,277
85,576.5,125.5,317
86,593.3,124.9,340
87,595.1,128.7,327
88,553.2,125.7,345
89,524,114,361
90,526.9,111.5,357
91,490.2,96.2,392
92,425.2,79.3,415
93,706,287,85
94,742.9,306.1,80
95,811.1,333.8,88
96,893.6,384.2,93
97,863,388.2,98
98,814.7,372.1,114
99,772.6,340.9,135
100,763.4,327.5,150
101,765.3,327.7,162
102,920.5,342.9,181
