index,price,lotsize
1,42000,5850
2,38500,4000
3,49500,3060
4,60500,6650
5,61000,6360
6,66000,4160
7,66000,3880
8,69000,4160
9,83800,4800
10,88500,5500
11,90000,7200
12,30500,3000
13,27000,1700
14,36000,2880
15,37000,3600
16,37900,3185
17,40500,3300
18,40750,5200
19,45000,3450
20,45000,3986
21,48500,4785
22,65900,4510
23,37900,4000
24,38000,3934
25,42000,4960
26,42300,3000
27,43500,3800
28,44000,4960
29,44500,3000
30,44900,4500
31,45000,3500
32,48000,3500
33,49000,4000
34,51500,4500
35,61000,6360
36,61000,4500
37,61700,4032
38,67000,5170
39,82000,5400
40,54500,3150
41,66500,3745
42,70000,4520
43,82000,4640
44,92000,8580
45,38000,2000
46,44000,2160
47,41000,3040
48,43000,3090
49,48000,4960
50,54800,3350
51,55000,5300
52,57000,4100
53,68000,9166
54,95000,4040
55,38000,3630
56,25000,3620
57,25245,2400
58,56000,7260
59,35500,4400
60,30000,2400
61,48000,4120
62,48000,4750
63,52000,4280
64,54000,4820
65,56000,5500
66,60000,5500
67,60000,5040
68,67000,6000
69,47000,2500
70,70000,4095
71,45000,4095
72,51000,3150
73,32500,1836
74,34000,2475
75,35000,3210
76,36000,3180
77,45000,1650
78,47000,3180
79,55000,3180
80,63900,6360
81,50000,4240
82,35000,3240
83,50000,3650
84,43000,3240
85,55500,3780
86,57000,6480
87,60000,5850
88,78000,3150
89,35000,3000
90,44000,3090
91,47000,6060
92,58000,5900
93,163000,7420
94,128000,8500
95,123500,8050
96,39000,6800
97,53900,8250
98,59900,8250
99,35000,3500
100,43000,2835
101,57000,4500
102,79000,3300
103,125000,4320
104,132000,3500
105,58000,4992
106,43000,4600
107,48000,3720
108,58500,3680
109,73000,3000
110,63500,3750
111,43000,5076
112,46500,4500
113,92000,5000
114,75000,4260
115,75000,6540
116,85000,3700
117,93000,3760
118,94500,4000
119,106500,4300
120,116000,6840
121,61500,4400
122,80000,10500
123,37000,4400
124,59500,4840
125,70000,4120
126,95000,4260
127,117000,5960
128,122500,8800
129,123500,4560
130,127000,4600
131,35000,4840
132,44500,3850
133,49900,4900
134,50500,3850
135,65000,3760
136,90000,6000
137,46000,4370
138,35000,7700
139,26500,2990
140,43000,3750
141,56000,3000
142,40000,2650
143,51000,4500
144,51000,4500
145,57250,4500
146,44000,4500
147,61000,2175
148,62000,4500
149,80000,4800
150,50000,4600
151,59900,3450
152,35500,3000
153,37000,3600
154,42000,3600
155,48000,3750
156,60000,2610
157,60000,2953
158,60000,2747
