index,r1,r3,r6,r12,r60
1,0.325,0.477,0.577,0.72,1.415
2,0.322,0.485,0.583,0.718,1.386
3,0.326,0.473,0.571,0.715,1.406
4,0.318,0.508,0.61,0.737,1.364
5,0.302,0.521,0.637,0.78,1.416
6,0.288,0.57,0.698,0.83,1.399
7,0.328,0.566,0.683,0.82,1.434
8,0.378,0.673,0.8,0.925,1.432
9,0.528,0.863,0.975,1.045,1.353
10,0.742,0.949,1.023,1.078,1.397
11,0.732,0.999,1.099,1.179,1.54
12,0.814,1.024,1.113,1.197,1.625
13,0.904,0.914,0.975,1.106,1.778
14,0.959,0.913,0.957,1.083,1.78
15,0.968,0.946,0.991,1.108,1.758
16,0.978,0.981,1.03,1.136,1.74
17,0.984,1.005,1.054,1.154,1.716
18,0.987,1.018,1.054,1.12,1.596
19,0.975,1.016,1.065,1.154,1.701
20,0.992,0.99,1.043,1.161,1.765
21,1.063,1.035,1.086,1.212,1.811
22,1.082,1.102,1.161,1.28,1.822
23,1.084,1.093,1.156,1.29,1.861
24,1.101,1.12,1.174,1.281,1.8
25,1.11,1.164,1.207,1.277,1.74
26,1.126,1.169,1.199,1.249,1.681
27,1.139,1.135,1.163,1.231,1.692
28,1.114,1.189,1.221,1.258,1.635
29,1.123,1.151,1.178,1.228,1.638
30,1.092,1.178,1.211,1.243,1.605
31,1.016,1.176,1.199,1.18,1.458
32,0.96,1.084,1.102,1.09,1.427
33,0.982,1.077,1.096,1.096,1.401
34,1.01,1.104,1.112,1.094,1.402
35,0.985,1.099,1.115,1.106,1.418
36,1.011,1.156,1.174,1.151,1.418
37,1.035,1.111,1.122,1.119,1.405
38,1.072,1.15,1.158,1.146,1.469
39,1.1,1.184,1.189,1.167,1.48
40,1.084,1.229,1.242,1.212,1.507
41,1.112,1.253,1.272,1.255,1.555
42,1.136,1.292,1.304,1.265,1.545
43,1.129,1.289,1.308,1.289,1.605
44,1.158,1.36,1.363,1.294,1.562
45,1.246,1.415,1.418,1.364,1.619
46,1.291,1.432,1.447,1.427,1.704
47,1.184,1.445,1.504,1.521,1.801
48,1.307,1.475,1.499,1.488,1.797
49,1.25,1.574,1.606,1.547,1.777
50,1.209,1.537,1.596,1.575,1.774
51,1.21,1.546,1.589,1.545,1.808
52,1.439,1.609,1.683,1.762,2.083
53,1.329,1.634,1.722,1.773,2.075
54,1.344,1.645,1.741,1.808,2.157
55,1.382,1.733,1.805,1.81,2.11
56,1.491,1.654,1.69,1.703,2.022
57,1.538,1.682,1.697,1.683,1.99
58,1.596,1.69,1.746,1.819,2.139
59,1.258,1.647,1.762,1.825,2.173
60,1.388,1.659,1.734,1.782,2.163
