country,employment,gnp
1,616.32,906.6016
2,639.325,919.6007
3,647.9492,934.0129
4,660.511,956.777
5,669.2422,975.4326
6,709.303,979.368
7,722.5496,987.9205
8,728.349,996.656
9,724.9464,997.6997
10,764.2582,1004.202
11,779.602,1016.271
12,795.2882,1027.455
13,794.8602,1036.599
14,823.5362,1055.759
15,834.7284,1068.204
16,847.92578,1071.913
17,848.2104,1084.147
18,888.1856,1088.734
19,894.948,1091.896
20,904.5566,1085.534
21,906.0118,1081.322
22,924.2018,1083.013
23,910.5914,1093.365
24,899.442,1084.596
25,892.594,1111.547
26,928.3962,1116.928
27,940.0806,1125.777
28,946.8858,1135.435
29,981.6394,1157.212
30,1029.126,1178.536
31,1038.3494,1193.117
32,1061.0762,1214.792
33,1090.79224,1246.722
34,1151.6838,1248.305
35,1160.6718,1255.703
36,1172.9768,1266.047
37,1170.7084,1253.342
38,1224.0586,1254.671
39,1223.3952,1246.865
40,1227.5682,1230.32
41,1177.8988,1204.264
42,1212.6524,1218.82
43,1223.0528,1246.053
44,1255.4738,1257.307
45,1263.028,1284.968
46,1317.7906,1293.679
47,1315.5222,1301.076
48,1369.1078,1312.69
49,1384.8582,1341.228
50,1456.4198,1363.283
51,1468.8532,1385.804
52,1520.8124,1388.509
53,1545.3582,1400.014
54,1619.75102,1436.967
55,1626.84298,1448.823
56,1677.17364,1468.4
57,1678.402,1472.573
58,1710.5662,1469.2
59,1737.11504,1486.676
60,1795.23958,1489.378
61,1779.33938,1496.394
62,1806.9518,1461.408
63,1793.17662,1464.214
64,1834.27318,1477.88
65,1840.68462,1510.088
66,1876.62378,1512.516
67,1867.64434,1525.795
68,1877.41344,1506.908
69,1843.40028,1485.74
70,1853.3684,1489.304
71,1811.99364,1485.699
72,1822.48178,1480.762
73,1821.8462,1490.156
74,1873.4095,1525.052
75,1857.64412,1553.41
76,1889.90248,1571.912
