location,old,pop
Kensington,104,136
Paddington,115,111
Fulham,85,174
Chelsea,81,124
St. George. South,113,96
Westminster,105,91
Marylebone,100,97
"St. John, Hampstead",103,141
St. Pancras,101,107
Islington,101,132
Hackney,91,150
St. Giles,97,81
Holborn,95,93
City,113,68
Shoreditch,108,100
Bethnal Green,102,106
Whitechapel,93,93
St. George. East,98,98
Stepney,87,101
Mile End,102,113
Poplar,102,135
St. Saviour,100,111
St. Olave,102,110
Lambeth,99,122
Wandsworth,91,168
Camberwell,83,168
Greenwich,94,131
Lewisham,100,142
Woolwich,119,110
Croydon,101,142
West Ham,86,203
