,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,24.0,63.79228089037231,25.211862447251384,40.39338076683112,52.47396076396169,62.97546731045183,41.35387688061104,77.0,34.82100743661227,32.0,41.30101306709547,32.45696958773825,35.53003376947228,37.536764441257155,39.99627312401831,35.90257968441258,43.0,35.204746797851406,0.9923313735646339,0
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,24.0,74.4116239943109,26.587224593046145,40.89435014001272,58.31366668491093,72.20566515675542,43.00604184568692,79.0,29.49221310836912,24.999999999999996,45.00683026248742,25.952270717290478,29.42803958900145,36.952435981238445,43.237924198229166,32.25715539436383,46.99999999999999,26.49420205659556,0.9952928446538181,0
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,27.999999999999996,73.8586371879409,28.885711923243324,24.000000000000004,56.3402994355242,84.0,46.88288063384743,81.0,37.18792328568448,28.4899944966118,40.63397234034157,28.994750594046465,33.55518104422664,41.0,32.0,33.57470529370025,43.0,30.972323472494935,-0.07401946726305439,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,22.0,74.77036848155032,59.61242176576203,61.75414864949727,66.52135255379865,67.86486212597664,63.04561932782121,82.0,60.36645489310644,29.0,45.365431688669,31.98423251937227,39.47288468134548,43.80364691329552,43.97586558569476,40.013157001830834,48.0,32.98643557271406,0.8324074697326382,0
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,21.999999999999996,64.95297468288622,44.11495302988869,29.0,72.42620625198776,80.0,44.75322457593068,79.0,51.362920724557256,37.08505723476029,43.780116557897784,37.92105214155383,41.93686477897377,33.0,48.0,35.38825473693511,43.89795772463642,39.61376224764432,0.16039954908785137,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,27.0,68.8304604518137,36.363033974060265,41.269715707231214,57.96930431600567,68.14196501520568,55.93389984886504,76.0,37.78463179213876,25.0,39.523532064339435,28.80072681021263,31.741734040370464,36.369361489149455,38.77090606440796,33.751797642662325,42.0,30.98502943882422,0.9846093415519938,0
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,21.999999999999993,68.91873441285213,22.186654113518504,21.0,81.6583453719229,83.0,54.89092659367452,82.0,33.67349830393797,41.77759197909667,34.79766492886396,26.38389094011934,41.70113833282804,41.82084535630423,42.0,34.0,35.462373626452695,26.545474525037175,0.14534024332117695,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,24.999999999999996,71.32084535993289,32.41207481521331,27.0,74.9175243374894,82.0,56.69491726852636,77.0,60.035109976960996,33.482485097797976,43.52144412288811,29.6003597199402,31.408244596571002,41.0,25.1300816388196,25.0,33.22469193747633,37.3581995587573,0.04802375517600903,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,23.0,74.27424453674968,24.825259995405432,23.0,39.145836417407466,81.0,29.265142937415757,83.0,26.10903758028725,37.08512172749214,46.79080098633209,25.411234034962792,38.73693638850749,27.0,41.32446402791572,44.0,42.63525592773194,26.807176434917025,0.12207181345990567,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,29.000000000000004,77.50896390275011,48.6354070053881,29.0,48.97330889711047,84.0,36.071451197521974,79.0,59.05016618166344,40.957487945852805,43.57269893508688,35.82687708361938,40.832449153591746,30.0,44.49247348028649,46.0,36.197186037495555,39.58836412787232,0.11827315606241426,1
