,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,27.999999999999996,31.59801985551104,39.64812447887188,27.0,73.21866474258717,76.65208758343155,82.0,72.26621047722304,84.0,36.54633251547407,29.95392415271015,33.305197629852195,34.24259464729709,40.0,35.62337240122257,29.0,46.01187249771779,35.608984114568656,-0.07289552457362881,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,26.0,40.229954168566856,41.13459618554673,26.0,54.82295858407099,66.52730478816763,82.0,69.22016101423024,75.0,30.5826367789238,30.73617341593498,31.581967578487003,28.000000000000004,42.0,28.9633940856341,31.197859762624226,43.495669018167035,35.22482124641888,0.11470232609466274,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,26.000000000000004,28.816860093031753,34.499881276943896,27.0,32.68676548432522,45.134845482025845,76.0,72.93107508507792,81.0,38.61279631513215,30.109749627262868,32.30035490510495,37.278337707781574,40.0,29.0,39.229835054820725,45.00336631653386,46.42771155157136,0.08026834002077889,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,24.0,26.587224593046145,29.49221310836912,40.89435014001272,43.00604184568692,58.31366668491093,72.20566515675542,74.4116239943109,79.0,24.999999999999996,25.952270717290478,26.49420205659556,29.42803958900145,32.25715539436383,36.952435981238445,43.237924198229166,45.00683026248742,46.99999999999999,0.9952928446538181,0
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,20.0,21.936537845879513,33.03797884666858,21.999999999999996,33.60989332258795,52.03748924187646,77.0,55.65910487030952,80.0,41.0,29.183804902004063,31.219814728487435,31.1135695469266,35.28893271310458,49.0,31.000000000000004,36.02618079553572,33.74960192271729,0.08035578655822836,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,26.0,40.982805871087024,50.18214764608064,24.0,33.208415849142256,50.90383880441282,77.0,77.37341433416918,80.0,33.73299227920876,28.41984861172885,32.023357882792546,34.0,40.0,35.415817540426175,36.078031683676144,40.91885411657165,31.390149260799287,-0.04466359407870955,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,23.000000000000004,47.75787526316432,51.27299179034968,22.000000000000007,55.825138960292605,62.18621528221591,77.00000000000001,75.17249302440895,77.0,33.42575702525085,34.844396374289055,37.89471953239902,39.947493519554016,41.74444607013533,34.0,42.00000000000001,43.5019081876365,32.0,0.008955845353100577,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,29.000000000000004,48.6354070053881,59.05016618166344,29.0,36.071451197521974,48.97330889711047,84.0,77.50896390275011,79.0,40.957487945852805,35.82687708361938,39.58836412787232,40.832449153591746,46.0,30.0,44.49247348028649,43.57269893508688,36.197186037495555,0.11827315606241426,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,21.000000000000004,25.694350847730597,25.914502536217135,27.0,46.62291715416255,55.09071658449179,82.0,78.20555907060225,79.0,44.756093167001964,35.49561702425487,35.56848896625919,42.12701759052953,38.2729215593318,26.000000000000004,44.00000000000001,44.59328601885676,38.57254481013647,0.07104857079812632,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,20.0,28.803236132335552,32.253530262467464,19.999999999999993,50.19140658476904,76.0986792896312,78.0,72.99493909543128,79.0,31.280961975399055,32.14250197220445,32.95925283741003,43.60023164101082,29.000000000000004,37.47605209143007,45.00000000000001,38.18687761906856,45.0,-0.0102382440207823,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,24.0,35.19719164112215,37.510557428947145,29.0,38.72222398306981,67.91281675263716,78.0,68.82845073159257,76.0,26.0,30.861120200632623,31.539568593003345,29.0,45.0,30.398232717736406,38.548700343819405,45.6954636421266,29.633590705676045,0.038515564068645584,1
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,22.0,22.140977229441283,24.306472100958516,29.0,45.04444862272716,55.42985614621872,81.0,71.54309955629601,77.0,39.973390796847006,34.74591884189652,35.51028780922501,44.228783951877396,45.12833260868773,26.0,48.99999999999999,44.28722949907342,37.77053117315307,0.1150494464167028,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,20.0,28.5324889491798,29.107446860834145,39.40193519044756,41.71420152582512,43.401820483231205,50.9706070690369,66.53694049471699,75.0,32.0,33.06068744708783,34.096165224033015,36.25412546936532,37.35294840225546,37.73256085183077,40.131238656653004,43.97141497368318,45.0,0.9943834025640389,0
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,29.0,42.408915533546406,42.81397751511855,20.0,57.38377748041027,58.39144369678825,76.0,58.706973838689926,78.0,33.13494082905889,32.56804325616559,32.77290850043639,37.191126407807076,35.608169414582356,25.0,42.0,38.22719111097244,29.0,0.07385787740532186,1
