,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,59.05016618166344,77.50896390275011,79.0,84.0,48.97330889711047,36.071451197521974,29.0,48.6354070053881,29.000000000000004,39.58836412787232,43.57269893508688,36.197186037495555,44.49247348028649,30.0,46.0,40.832449153591746,35.82687708361938,40.957487945852805,0.11827315606241424,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,37.510557428947145,68.82845073159257,76.0,78.0,67.91281675263716,38.72222398306981,29.0,35.19719164112215,24.0,31.539568593003345,45.6954636421266,29.633590705676045,38.548700343819405,30.398232717736406,45.0,29.0,30.861120200632623,26.0,0.038515564068645584,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,38.44759884318312,64.69917551285447,78.0,62.83743166477027,52.85127328650299,52.71578428265457,45.352691379254786,33.22992889092606,21.000000000000004,33.81943085941542,40.00397794049607,43.0,38.975512021638174,37.028566604216664,36.32877028464917,35.44498978155594,32.47355099329732,29.0,0.9969069411420111,0
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,51.362920724557256,64.95297468288622,79.0,80.0,72.42620625198776,44.75322457593068,29.0,44.11495302988869,21.999999999999996,39.61376224764432,43.780116557897784,43.89795772463642,48.0,33.0,35.38825473693511,41.93686477897377,37.92105214155383,37.08505723476029,0.16039954908785134,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,24.306472100958516,71.54309955629601,77.0,81.0,55.42985614621872,45.04444862272716,29.0,22.140977229441283,22.0,35.51028780922501,44.28722949907342,37.77053117315307,48.99999999999999,26.0,45.12833260868773,44.228783951877396,34.74591884189652,39.973390796847006,0.11504944641670284,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,50.18214764608064,77.37341433416918,80.0,77.0,50.90383880441282,33.208415849142256,24.0,40.982805871087024,26.0,32.023357882792546,40.91885411657165,31.390149260799287,36.078031683676144,35.415817540426175,40.0,34.0,28.41984861172885,33.73299227920876,-0.04466359407870955,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,44.4343580609407,76.45062702807996,79.0,77.0,68.54573458940041,34.69412821722452,21.0,34.19444338719519,27.000000000000004,32.21906014550698,39.44330261775752,31.123680531154967,39.901151097710205,39.70269294666804,32.0,45.0,30.72416796804582,36.97182671119366,-0.0689791273670137,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,36.12898910682085,57.02892927411776,84.0,55.98259436865514,48.90700604811268,42.20542003652775,38.250176901160714,20.211761696640195,20.0,37.76036438619004,45.069250809543576,48.0,44.26818903039312,41.64027453255036,38.26746229494275,38.10595807104803,35.47941768746393,34.0,0.9670038475629525,0
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,26.10903758028725,74.27424453674968,83.0,81.0,39.145836417407466,29.265142937415757,23.0,24.825259995405432,23.0,26.807176434917025,46.79080098633209,42.63525592773194,41.32446402791572,27.0,44.0,38.73693638850749,25.411234034962792,37.08512172749214,0.12207181345990571,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,38.802451442743774,56.490034365726,82.0,84.0,78.74271821375939,77.86951180657448,28.999999999999993,35.72972889523572,24.000000000000004,33.17607760149427,35.7767404412096,30.12190900657499,31.000000000000004,48.0,35.185250205126245,37.759156260523376,31.811661719230823,35.74327156283548,-0.0411555684331785,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,44.61220760382739,66.08225646244546,75.0,65.81839490526174,64.24369320692996,60.31329902099216,59.61262917864214,30.33155841533492,26.0,35.422273902524786,40.91273697321027,42.0,39.98814493085261,39.95260673241539,38.40256068857536,38.396428385943125,31.677928177802517,28.999999999999996,0.991221175018278,0
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,41.02656975700733,78.2125388051409,84.0,77.0,62.465134197673905,39.03027598299188,21.0,35.60390538114336,21.000000000000004,33.14791558690288,43.59148492625986,37.49996928182943,44.761594100770445,26.0,31.61043058662198,45.99999999999999,32.79080259377778,35.56505308562251,-0.17646978783977554,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,25.449580917870716,54.04416210734464,76.0,80.0,58.582780728995274,45.280385099545256,29.000000000000004,24.742728165515224,21.0,30.065922175198725,38.24204267332091,33.37237563719705,34.05561226579918,49.0,41.411418507991485,34.0,29.809685023819107,30.73839810017085,0.05004675778730778,1
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,33.13727720015706,55.83006132005672,77.0,80.0,47.07818810694978,30.813608713637905,28.0,30.526155810622516,20.0,35.26954353080682,41.798118636432285,42.244189916079094,49.0,34.0,48.48684554630016,45.21514899430898,34.8350944832963,32.59744684940259,0.13757820817652572,1
14,KY,Kentucky,-84.7674,37.3915,0.0,1.0,0.0,1.0,29.3345341624499,57.42268655017607,79.0,80.0,72.36026243773328,36.58797875196382,27.999999999999996,28.005188218982642,26.000000000000004,32.08162910766724,38.94609581973926,34.36678826459735,41.29038074214785,31.842925230760564,28.000000000000004,43.0,31.999239543343805,31.0,0.03292926012135994,1
15,LA,Louisiana,-92.2724,30.6181,0.0,1.0,0.0,1.0,42.78272892397847,73.87761032861398,80.0,67.2302845446482,65.02407522254195,60.31549315725384,44.99272187344738,33.378141748964765,29.000000000000004,37.93345270203649,47.252451931244266,49.0,46.521064341183056,44.65923198458114,42.99884724293022,38.10383136528204,34.33938272443093,33.0,0.9966381428681749,0
16,MA,Massachusetts,-71.58,42.3645,1.0,0.0,0.0,1.0,37.062650076623214,62.43310979806367,84.0,83.0,54.861872555818906,28.064615657288535,24.0,21.367563525097125,20.000000000000004,36.1088271465318,39.216070062364565,34.704969154861296,31.048752184710946,45.00000000000001,25.000000000000004,35.28162907387572,34.12670793198537,35.436169003216506,0.17530512019365369,1
17,MD,Maryland,-76.6459,39.2778,1.0,0.0,0.0,1.0,37.18792328568448,73.8586371879409,81.0,84.0,56.3402994355242,46.88288063384743,24.000000000000004,28.885711923243324,27.999999999999996,30.972323472494935,40.63397234034157,43.0,32.0,41.0,33.57470529370025,33.55518104422664,28.994750594046465,28.4899944966118,-0.07401946726305438,1
18,ME,Maine,-68.9801,45.6226,1.0,0.0,0.0,1.0,52.009752701588965,72.7892460596818,80.0,75.0,52.99743223356381,25.657813742619776,23.0,36.12905120591465,25.0,36.41288548652779,41.86803706682419,40.0373739019456,41.878095762694045,26.0,36.51634127469304,45.0,30.930864269659295,39.34993412135041,-0.1738892785210841,1
