,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,45.41281272989685,21.999999999999996,24.06017949859073,64.02483528941356,58.195459213923996,30.772294002191927,29.78319145370504,79.0,52.17913240093787,40.207093633976335,46.0,45.56698830875188,34.51602037346928,35.838833075982194,42.450977731199984,45.094256249001816,33.0,38.07338777274083,-0.983295695011622,0
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,53.53461030268619,76.91146419955136,71.74409313368201,38.90980581037491,29.0,78.0,77.82586918354656,42.7212106889111,74.27423767580068,33.61712053542629,29.371312188705343,45.0,38.811936864651095,42.37383217277949,38.39933554597011,32.43968468907778,27.0,39.217445133681366,-0.07234759827080599,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,47.17803606707715,26.0,46.048369142321185,43.383620345724125,63.014893392335765,27.27133709266511,68.64989984500463,55.19745320307721,74.99999999999999,42.12359157707134,26.178630764729647,26.000000000000004,46.0,39.5526377807347,43.31003157640496,36.08595624555221,31.976300188866674,30.57501982990973,-0.08116280865254366,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,78.0,23.0,74.44996088372159,67.42319631212027,68.8775146340198,38.78128174496717,45.94288331679894,34.023011194704225,65.91370342621337,37.478493613525416,35.59183861773024,37.095445960742786,35.33812491275458,35.869660249539145,36.64757960149499,41.0,34.75779673967427,34.0,0.01899339838264481,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,77.0,67.74471929098138,36.061023416817186,51.89987476861272,64.00685312804447,54.78320667489555,19.999999999999996,55.91478568610506,47.019694188041456,32.0,44.0,34.53849828440767,40.551022576157365,36.43367258496927,38.090628024724445,34.7743461270054,33.41699192960972,32.26615428001477,0.19304956478033164,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,81.5143638952515,79.48178151251935,67.35561795251225,26.0,37.3337662766742,60.91117026413372,35.13210264103988,84.0,79.04966015411426,36.06268440600504,40.0,34.0,39.37831513544641,36.00250470905937,35.71503980029963,36.363631610431334,38.96133832005182,37.90173191777894,0.09700691874925614,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,44.49506690385371,32.636418567813166,21.0,64.79458527575994,49.414176710632944,76.0,75.64428095552095,61.32160446725763,49.937519326819185,34.668854334754165,34.23140984821751,33.28707034557431,27.0,34.63437708260227,40.0,31.34632952613128,39.23331777878516,39.35339087690587,0.054173717194523935,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,64.85057568968158,77.0,52.88436210180399,25.0,59.90248373084948,34.841619377653586,49.18116304611201,69.45516982148035,53.83185522098478,33.416292415040886,30.482303072790764,37.61956888647918,30.0,44.0,40.57525302263465,32.17528947557615,36.94045137688947,40.50553467830188,0.013609588817008243,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,27.0,55.53562403714113,41.60324828568801,54.981978223448806,30.49281051615608,82.0,80.43406237772355,80.25318939683282,68.06868316166405,34.14484781916267,35.4265228640089,47.0,29.0,32.67407838649486,30.058832607704108,46.38331442002619,36.13379254286013,40.72951846966159,0.11868814548135322,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,47.70026786475201,54.5119155545177,68.99278192482616,68.99457504370748,47.174839204094006,28.999999999999996,52.50289565580801,75.99999999999999,48.150326124936164,40.350915579968124,33.98721478624657,43.533480247162814,30.999999999999996,44.18500704375507,39.444362947753994,40.671747284315096,45.0,42.91930252175239,-0.019713536071474556,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,59.93582458858164,54.91090447123963,26.161408947909706,26.0,39.9616570286607,44.715148208361825,38.41859153937866,79.0,55.8394279481663,33.11364844053249,39.47712361468532,37.82920964340676,42.8918856074793,31.633618725656824,47.0,32.159427659907735,39.15758147358487,31.0,-0.13038076627936723,1
