,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,55.09365967474093,53.78054436182827,46.45922732685429,28.000000000000004,74.9234104306369,54.77197839341958,52.11094204833274,77.62217582650806,79.0,37.325427320007854,38.68386207606776,47.497155267049045,48.0,36.73079536953319,38.088457518808646,46.7185253176151,35.893569639340306,26.0,-0.8261738564969221,0
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,25.524676194402595,32.78602811466441,26.0,64.81992138076944,78.0,52.60671388008512,74.99999999999999,28.270955282134544,69.04434791310348,42.40286437257062,34.0,33.68308495734807,49.0,30.0,47.57026126718013,34.0,40.38073725246223,42.153456650458175,0.03651119181278462,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,48.900530275939204,65.52526542228337,47.79219289884571,43.45884812467364,80.0,24.0,35.03313343166483,78.17403583126277,25.000000000000004,38.49311803899636,40.402397320887395,37.715629759379375,43.0,35.46833280533098,33.0,42.637323057518856,35.12484353600671,36.81193985540829,0.06272814520207116,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,48.940374259270016,82.0,28.0,42.912732946715636,74.82938591996422,55.26933586597789,59.66604701985031,66.13667256568623,42.727016856182075,35.14927258304017,25.0,41.0,35.82389653759303,28.743411494429864,33.49516331275167,31.268648967267318,28.991193480417618,38.62126305821696,-0.9822090071139075,0
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,75.0,43.29210837583615,61.11920042841137,66.01622200500918,61.51662485048198,45.28440079763226,73.83045315881046,60.60700021050939,27.0,27.0,38.20446002072722,36.08431973658707,31.69331820015539,35.92051768337157,36.422929908245415,30.818821990617067,36.134767548864474,40.0,-0.8671606260503919,0
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,52.13611099255769,48.95731678870418,20.0,75.37563493320488,79.0,36.884384925894715,23.999999999999993,49.486387475832316,37.59112623570924,37.07038033845414,31.0,46.0,44.131559320982724,43.345601890325106,33.0,45.0,38.04644923257091,42.18764386136624,0.18734135623772655,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,54.51067620478424,52.612195127371464,37.243133485207665,52.96673429108787,53.21189366868636,77.0,67.10015462466544,24.0,61.36965647520835,35.18423964953063,40.426963933643584,43.31004566023526,37.60786036648597,35.21394835709713,29.0,33.1731219716925,47.0,33.64318105851571,-0.964710406068206,0
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,26.000000000000004,72.45532043710014,24.0,79.0,77.86301770618812,51.71045735323673,76.0,41.55527065339811,60.988161597269624,49.0,31.0,47.0,43.34217368832293,44.34024247287576,34.0,31.0,45.512381872331446,37.91980557641876,-0.10207753153373418,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,82.0,21.999999999999996,31.802948521581694,25.0,44.271700778776484,78.0,55.97760932450846,66.81943549761186,41.75040386578607,26.000000000000004,26.0,32.0,47.0,41.695273484125686,43.452761937734905,38.368499480978606,31.880326836219435,34.735997167576144,0.1748342934182768,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,57.659974526166366,83.0,84.0,36.67585897915288,26.0,36.70472837843765,26.000000000000007,83.00000000000001,69.48044103279832,35.422272892278514,37.89586976872998,35.38652987261896,25.0,47.0,32.271696096245854,40.0,28.999999999999993,30.931529970555943,-0.14987095291111857,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,49.51331970045553,61.29272271265045,21.0,79.0,59.070106267744734,30.93725076124687,48.422718981370664,77.0,25.0,32.874073084034805,36.671969230216426,27.000000000000004,27.826906937637286,44.0,33.1313870073902,33.98563428717754,30.000000000000004,30.80790187412072,0.19487805252693363,1
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,64.99587720038716,77.0,56.371865745840346,20.000000000000007,23.868179602272093,79.0,24.999999999999993,38.28270544125832,69.56793474260319,36.510283279770945,30.619734332151847,40.0,38.97035805857629,29.0,33.006772898335115,40.0,39.34454243988359,29.622637648384313,0.03858767263068677,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,47.59309384908996,34.29295922362162,49.083897379214434,41.89276746927913,79.0,56.5673197200281,28.999999999999996,53.93381952071054,46.88372889540134,34.69646560982949,39.33716644706634,34.05300820871502,39.045893200707035,28.0,32.33318844549975,48.0,32.94549115597261,34.96108696025266,-0.9034671838064314,0
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,48.00335314761562,69.0974751103477,20.000000000000007,78.00000000000001,46.43091134582919,73.45274991501813,56.689235534037714,52.74363712010818,74.13763480393668,36.64057248393963,39.27300605180862,28.918912901385944,29.775577275827274,48.0,28.0,30.395059616938106,33.38534485387076,30.000000000000004,-0.19513880092874294,1
14,KY,Kentucky,-84.7674,37.3915,0.0,1.0,0.0,1.0,81.0,81.0,25.102903539651763,78.00000000000001,22.0,57.05769784627603,57.17537583421868,51.79006227701094,54.630101418353945,27.0,28.587466135038362,47.90024226580598,49.0,40.58186597570782,31.999999999999996,36.40798981460169,37.19191491322918,30.03067437761611,0.03928605994574631,1
15,LA,Louisiana,-92.2724,30.6181,0.0,1.0,0.0,1.0,72.63033079980733,46.46370240349792,80.0,39.32752055189483,39.42707514351416,26.0,38.83769181743331,63.92047157198051,27.774266938191765,27.50364843612116,30.149382595906015,25.999999999999996,32.82286839175216,32.75992338140475,46.0,37.719429209385396,30.0133329219686,43.587479490841254,-0.8723283484327672,0
16,MA,Massachusetts,-71.58,42.3645,1.0,0.0,0.0,1.0,58.72817044192646,26.000000000000007,24.0,24.421621286794437,84.0,79.31208253996238,55.97475184531873,80.0,80.0,36.97441001037057,33.25401533562852,30.0,42.0,37.22222877762803,35.23915682111672,37.27245565403037,31.999999999999996,32.0,0.04126835604053184,1
17,MD,Maryland,-76.6459,39.2778,1.0,0.0,0.0,1.0,37.5472027914323,76.0,58.59776537096545,83.0,23.0,24.462074128183975,44.77041872810038,59.66889104312861,27.97098478236859,39.370826547760174,35.14389523946237,29.86467391769774,34.86644522654757,42.0,26.0,39.069300486532114,30.95361932101185,36.273449814058765,-0.04599947558183033,1
18,ME,Maine,-68.9801,45.6226,1.0,0.0,0.0,1.0,55.183653319683614,62.18657061157766,76.0,22.999999999999996,30.81668766143491,38.809052166843585,73.93085274558118,53.0306594977218,26.485295362910193,36.96084445287172,32.37261051481875,27.0,46.0,42.04655343137097,40.52383475794662,27.405730061341043,38.53953626635759,45.90998092120917,-0.9805133247436119,0
