,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,34.841619377653586,49.18116304611201,64.85057568968158,53.83185522098478,59.90248373084948,25.0,52.88436210180399,77.0,69.45516982148035,40.57525302263465,32.17528947557615,33.416292415040886,40.50553467830188,44.0,30.0,37.61956888647918,30.482303072790764,36.94045137688947,0.013609588817008227,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,28.999999999999996,52.50289565580801,47.70026786475201,48.150326124936164,47.174839204094006,68.99457504370748,68.99278192482616,54.5119155545177,75.99999999999999,39.444362947753994,40.671747284315096,40.350915579968124,42.91930252175239,44.18500704375507,30.999999999999996,43.533480247162814,33.98721478624657,45.0,-0.019713536071474535,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,79.0,32.89676452580916,75.61753099631287,47.188018428851834,44.03448150980402,43.24852462545715,44.36977922017101,27.0,53.89470349186452,35.2153387196495,37.24145773686262,35.904020188167294,29.989864454145426,35.76224174773302,25.0,32.386671962476804,41.0,35.197967491501984,-0.08805445733675009,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,30.356680296666823,58.30164762378138,25.0,80.0,41.78692342057273,62.30707063354281,61.91304768728557,64.66016210952714,35.6143619457421,39.115289899190756,30.519584586714537,40.913305429795415,36.57978393757315,27.000000000000004,36.87206974451207,33.884409680379505,49.0,37.882589929755916,0.0023996801839824035,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,39.462966395973325,21.0,62.20183863719692,30.328682548787516,64.5685767489774,76.0,53.55865892383987,48.32557762276345,67.9714077368458,41.24900007997719,46.0,35.70598941663211,41.697719274160285,31.538645366217192,27.0,38.28413914761305,40.76365847178579,30.038144134735987,-0.9516367691565576,0
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,30.772294002191927,29.78319145370504,45.41281272989685,52.17913240093787,58.195459213923996,64.02483528941356,24.06017949859073,21.999999999999996,79.0,42.450977731199984,45.094256249001816,40.207093633976335,38.07338777274083,35.838833075982194,34.51602037346928,45.56698830875188,46.0,33.0,-0.983295695011622,0
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,82.0,80.43406237772355,27.0,68.06868316166405,30.49281051615608,54.981978223448806,41.60324828568801,55.53562403714113,80.25318939683282,30.058832607704108,46.38331442002619,34.14484781916267,40.72951846966159,32.67407838649486,29.0,47.0,35.4265228640089,36.13379254286013,0.1186881454813532,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,56.575365434192044,76.0,45.85127060897089,50.314669365294314,50.89706916306377,59.92502999911888,28.0,51.357312136495096,51.3446562813642,36.084980144705156,31.000000000000004,40.10668113634793,39.1639853564208,38.037648548569585,35.904995126248984,47.0,36.58663682036454,37.55001810359749,-0.9792017574852042,0
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,66.92512144527667,55.61969164827634,48.12735614731467,36.89529770848574,47.29648328005193,51.4854754746656,43.636900327193906,83.0,27.999999999999996,40.09524249067926,42.48135777523791,49.0,35.89592771769108,44.35309377050858,41.80912192657915,39.20512243337458,29.86930198056632,27.0,0.014095112105367213,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,79.0,51.529822953915804,61.47589067709386,50.712679669856946,25.0,64.85282697886878,43.63817952531176,71.98382046844901,48.209323148238056,38.096247526679875,40.0,39.41576737747491,37.042451706262646,32.7741720883286,30.999999999999996,36.30426118575712,32.14591230533324,37.43241161496286,0.05395380947351907,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,49.0584504471852,66.45814040117949,43.16210428499341,57.49362844274536,26.0,34.88610054447908,50.49590384800389,62.60512588221627,80.0,34.3868945119055,29.162237572247598,35.61233032697967,32.2845121100452,40.0,37.004528062256945,32.66455080016604,31.014772310132876,27.0,-0.9908981842342744,0
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,54.78320667489555,19.999999999999996,77.0,47.019694188041456,64.00685312804447,51.89987476861272,36.061023416817186,67.74471929098138,55.91478568610506,38.090628024724445,34.7743461270054,32.0,32.26615428001477,36.43367258496927,40.551022576157365,34.53849828440767,44.0,33.41699192960972,0.19304956478033164,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,56.310290799705115,40.32002369797448,71.03992381021261,60.19942951221593,58.36259865735164,53.9488945112488,62.31690623737804,29.000000000000004,75.00000000000001,37.547800798986955,44.68661367501196,33.44283934300173,34.72670752414744,37.158479245320436,39.02043846842319,34.28835565138443,46.0,30.0,-0.9778978721356106,0
