,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,55.249640323959106,43.58235178416315,49.482068240840086,54.74204081232744,59.77460605566072,36.831619713754826,54.33507643721116,55.14322326949861,30.126566432153826,34.220460157860224,33.678767914090834,27.0,32.08091497402769,31.905882735072332,28.022367613663185,33.32539946958622,42.523926158841235,36.92615606886437,0.13907853505008472,1.0
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,65.71199551529321,60.10107064248247,28.98778368119827,57.62121939095928,42.39572273297724,74.72235112556857,37.561267514302486,53.32790620384543,57.90461955957352,34.670507588600984,37.08828612113762,42.414424107395696,37.329523208054674,37.939271709217905,36.17874653137955,27.303332206320462,42.87852667170338,43.0,0.13907853505008472,1.0
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,59.20919895645869,33.08039919241929,50.53800298771104,25.963294630895927,49.92919857938064,55.182891615969645,69.55658834338047,43.87139588350027,60.37489744287611,35.45879938321704,34.61376724702329,39.57838162327769,38.485405680943735,32.57141263963297,32.60463279057144,31.189528271072426,41.240363152399624,37.52203281929704,0.13907853505008472,1.0
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,28.075249271171934,41.99333450251758,39.845767724365395,21.0,43.5109254063278,31.75765987455193,56.72488085031486,36.49993349259958,20.000000000000004,33.26711181557953,36.1797389105172,38.84709818893094,41.0,36.04023090473005,40.75681404094104,34.076813775563714,40.77795915550132,40.64516032591179,0.13907853505008472,1.0
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,34.41419492807242,36.76211886196005,56.776746863927954,58.33529069435514,56.50126015198862,48.77499280072944,44.59730068909802,57.243224533513036,22.48726657536554,36.610202407232606,36.97299014214617,34.938128273744276,34.11952611528444,34.1605623113505,33.04038182772452,29.407793810850972,36.37946409875892,38.73530572081189,0.13907853505008472,1.0
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,76.0,34.221591457304726,51.438780089835916,51.1753771511441,53.507555422710894,40.508908815613616,22.0,51.604433579770195,69.54952089552053,37.988424113218734,43.73198828704207,34.5759302331352,40.85937637201993,39.722308900212354,34.655815260093775,39.3492305551473,46.19382471406304,41.00458236050191,0.13907853505008472,1.0
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,36.282016862627394,24.000000000000004,56.03588492026117,30.40978838797853,80.00000000000003,61.091888883339436,64.26903043738567,40.858612835328316,52.415518800740486,34.482356843929914,41.0,38.61348552708855,36.53425292741642,30.999999999999993,34.521503666315546,33.55359486431327,33.67330338046682,36.5939043399532,0.13907853505008472,1.0
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,50.001747006766394,49.25500858065934,41.228310277884916,69.95082692480992,57.4440902328946,46.4058494897745,34.97319288489055,45.15233978258671,73.33810767817039,31.88909073417609,38.24608226545515,30.74018879458096,33.42574587982595,34.704901510637924,42.076452138854,27.0,38.51262717580017,40.548133417727925,0.13907853505008472,1.0
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,26.167016113729076,53.10688969203188,48.36413809229462,75.0,20.0,29.4396647326325,36.901258963045066,57.23985566856076,78.80245713479741,31.82983820083546,36.160895360315806,32.50170023734841,32.0,40.0,27.544096750231184,36.485668758784705,41.83156066155988,35.50617746453511,0.13907853505008472,1.0
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,34.15780924970524,82.0,49.423211187745885,59.895894723474086,67.76779265149993,42.50588364212632,60.67880326161653,58.48212482057806,33.7758181438964,28.893764968002934,31.0,30.038967202926578,39.55663468094661,31.966860250663665,30.29417973667548,33.981786829882445,48.0,39.732450184123806,0.13907853505008472,1.0
