,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,28.0,45.686618806174465,67.15625284895336,61.93441497448302,47.217116944000175,71.13352575913802,74.2507298935698,84.0,57.05001243175246,32.801629758256226,42.21432464554877,27.0,32.1336761887735,40.891861432774284,45.0,37.18706677048607,39.57750181533914,44.05189508007179,0.07753152514042648,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,82.0,27.0,45.28125718753688,68.27671359885895,55.27040137371704,37.755895326775104,50.935022726737515,44.62401074371031,35.820667623133346,35.72660772919495,47.0,41.93703884170189,34.35815619234595,30.97522030804664,28.974823962667976,27.000000000000004,33.05385285502687,30.023471100229116,-0.19674135934541773,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,66.82939812677645,50.51708968994974,49.714864693167414,61.827089888318184,78.0,49.80882647504911,37.761788777961726,34.76898126298506,22.0,34.0,43.96188058055757,38.86775275562883,42.596849781077104,43.07246434245852,48.0,38.85429023915205,46.339141855653686,37.154514835759095,0.01920839939204633,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,78.1566389862954,57.26934993568797,56.81290758356086,79.0,61.72150554402955,36.42937902313726,73.97408593805609,42.291447992025,27.0,32.42120214656454,41.20571322276406,31.0,43.0,41.192049681268465,38.28468986947539,40.11739584882877,41.663623637858905,38.37000247945147,-0.04074523919208879,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,81.0,26.0,54.354187874435816,40.456423956931275,45.35931995836618,45.758727513675765,57.09803896648725,41.71235402167768,36.843652259955284,37.55372003968482,32.0,33.518772211421414,41.18652735714197,48.0,37.82504032750184,33.94699464471976,39.41649231153566,35.622543021133026,0.03039580054951767,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,68.32576057517205,82.3579164831216,84.0,36.5336847668985,64.6581158200137,55.465539395340784,21.0,44.192859025510586,46.86251723254563,32.0,38.23524032413792,36.63601973539473,32.698673186298144,36.306468095858094,38.27876088962167,41.0,34.73874509208398,36.0370075471691,-0.14157733721189836,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,62.95021454899599,41.64047975388991,23.0,40.522119772313644,82.0,57.188333924169356,39.86119792277121,60.66996620754236,63.79164897842953,43.0,42.112555839079455,31.433553323379254,42.80440792108389,27.999999999999996,38.25923424649483,36.574325665910315,42.42128081009762,33.91003279424159,-0.18239004880612741,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,34.34517150973993,25.0,40.89087908073568,53.92792502692306,45.47901434771719,47.5000247594785,27.768238159225536,81.0,60.957555948867764,41.522337255757286,39.58244229038881,30.999999999999996,40.01951327532643,35.92695756050129,45.0,42.14473980796584,40.77165083650931,32.661369588859365,-0.11082623759426553,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,44.29738361776612,27.0,71.78276343250812,73.10776475835932,81.0,59.829726837685975,65.8550426042493,75.27136178791635,43.77620041065674,43.226888354780236,37.039710288230346,33.0,42.352537886828834,47.76554509293739,48.27567700343119,43.1353981592842,42.31162214681127,49.0,0.07738907418933248,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,69.20681326054196,37.1798207447523,29.79841878340986,43.36577917315361,77.0,24.0,73.59221686091922,31.61567255149174,26.40511505274801,40.398986751024765,45.329067632434324,38.84002729036412,43.188536490250144,41.00491536085598,34.0,37.355956800048006,37.25984269344491,48.0,-0.07128745800479569,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,44.586622162046524,31.387635681388605,56.78739794272521,71.85056448021616,76.0,51.91111114764801,75.94831212015637,54.742345414694334,24.000000000000004,34.320585296555606,34.488561463158696,38.09644507564598,30.0,41.0,33.80708771771428,37.64789769035462,33.800313583380635,36.36849497996627,0.18386005888088036,1
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,44.392647814454165,37.99502279956769,50.477581517379676,83.0,49.096415172670525,24.0,33.04796484039049,77.4009831866997,55.022170389657205,41.20342508103194,42.0,37.93333186411475,37.65145400722183,40.204454916931475,31.000000000000004,36.230916893273324,36.717476056950716,37.00968743321566,0.18424183779392722,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,61.80680489053804,41.219644788272305,75.0,67.51203864783197,64.22424000493166,46.977648766458344,57.99758474584934,24.000000000000004,56.05715992545965,27.999999999999996,43.32410809904471,36.7684072630308,32.50020796232825,48.0,30.598745992096774,28.08122254075819,28.62117853477143,28.884424229358068,0.1843217076818368,1
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,34.95779059328314,68.71118548091385,82.0,23.920898906880367,35.830607683149346,22.0,49.76068127562479,34.73333030819326,24.605066998604,38.18745616213125,32.06398978813385,36.983360055006294,34.00698678880028,33.51334218306296,37.16338792354289,42.609152270632244,43.0,25.0,0.1482085743098583,1
14,KY,Kentucky,-84.7674,37.3915,0.0,1.0,0.0,1.0,69.68263982687382,60.197391915507666,83.0,41.88934952865525,21.0,67.42641001434026,22.366024206995743,61.23596613182907,50.42209758668921,43.0,40.15889264055775,28.544794808285303,39.70934723016427,39.06081603198889,36.200348210798026,28.0,36.341263909335645,35.741282444812526,0.04072759453553244,1
15,LA,Louisiana,-92.2724,30.6181,0.0,1.0,0.0,1.0,74.58097061087994,23.0,35.07962675880294,81.0,57.02119297753651,39.02670444942003,52.75456467772425,37.09046803996192,78.71873068745782,44.43303931708146,39.98727369577911,38.46856675100318,43.01973587660587,43.43846134530915,35.44679194946597,31.999999999999996,48.99999999999999,34.645575580533674,0.007039945916083185,1
16,MA,Massachusetts,-71.58,42.3645,1.0,0.0,0.0,1.0,20.0,53.48252577798938,67.44300128801322,49.99920545420968,48.992735055655466,78.0,65.38328466398579,32.30499858061543,55.57691903693296,33.51122795981896,30.404888909904074,29.274364988755895,42.0,28.0,35.69567099280436,38.294267424987034,33.17465547022306,38.195845200636796,0.10728073396058864,1
17,MD,Maryland,-76.6459,39.2778,1.0,0.0,0.0,1.0,29.0,68.00630315356624,68.59615459908751,55.451873246959096,80.48922884113662,81.0,43.673159973939235,43.93235786600765,52.52475473862471,30.0,34.940307601492954,38.186811959436284,46.0,35.146824722687704,40.772073055416165,43.39217826983012,40.691339639103425,32.620757746013815,0.13043264468726642,1
18,ME,Maine,-68.9801,45.6226,1.0,0.0,0.0,1.0,47.091081036930575,22.000000000000004,80.0,43.465880837977224,35.59781176301739,34.09049663722866,43.86302952788742,67.95978086321304,35.51613364379686,37.181301170942085,33.75790467525969,41.002361033218264,43.28617477228746,35.30754570693165,44.933812056653075,43.66894263829895,32.0,46.0,-0.11372608133577185,1
19,MI,Michigan,-84.687,43.1361,1.0,0.0,0.0,1.0,78.22405195302548,74.60744770524425,53.383569146334374,49.88203106073615,50.84585687072019,79.0,25.342516439582255,23.0,66.69548759802133,30.60061545601578,30.947296223918453,41.00264998714027,45.0,38.40979529866569,32.08281532418832,26.0,27.545319901027288,36.56981886872113,0.18668901511409178,1
20,MN,Minnesota,-94.6043,46.3943,1.0,0.0,0.0,1.0,38.00949713242583,55.04951167042912,65.4045040590986,25.999999999999996,48.47008205543706,32.116620116673104,76.0,47.64665680652913,28.910495426432053,34.41006996702452,47.0,41.631742718037,36.20701244829783,43.301678838159006,35.659343460507905,32.0,34.85539096392974,42.42806626421529,-0.001446281941989468,1
21,MO,Missouri,-92.5137,38.3347,0.0,1.0,0.0,1.0,54.99869388736309,76.0,51.066324510188764,58.60400187538343,66.24213605690606,50.01054138076794,42.61128261773894,21.999999999999996,37.37465289342511,37.34441700715272,40.67988569569351,45.17181288592235,46.33423908776362,37.14153437365435,31.211526436322163,47.0,39.540379886923425,28.000000000000004,0.16460521455645882,1
22,MS,Mississippi,-89.8065,32.6758,0.0,1.0,0.0,1.0,35.89750047431953,69.06796886375025,49.233935385070126,47.72399448299665,27.999999999999996,37.49165905277979,49.47739790605362,52.69250024377657,75.0,40.312792161569945,35.81137123337727,42.57841735039914,32.340223796163215,37.3161114558062,33.97484930794612,45.0,30.0,41.52503851731271,0.10033326907980905,1
23,MT,Montana,-109.32,46.823,1.0,0.0,1.0,0.0,76.0,48.3915839680555,55.82263117809708,31.492957839872524,42.50178206835866,60.041486387253094,42.939423051370454,29.47949416295542,25.999999999999996,40.38165022191877,34.12180116866406,26.000000000000004,29.01778373594629,31.490319127725996,27.41691686613069,41.0,39.94309316962152,38.060897452211826,-0.1288111400191639,1
24,NC,North Carolina,-78.4686,35.4195,0.0,1.0,0.0,1.0,37.28166083568053,29.71995326091227,19.999999999999996,48.05912031969878,47.95460989493241,34.453498479827516,76.0,26.637905590418573,40.11577089649011,29.738549838624397,32.524482059281226,30.72278685945055,41.0,28.000000000000004,29.350711494980647,32.83627214976544,37.18196112648011,37.099980751919425,0.0749973206654691,1
25,ND,North Dakota,-100.099,47.2517,1.0,0.0,1.0,0.0,42.563061523659385,22.0,34.612179892757936,45.72025841991654,84.0,36.6700664358559,56.11421768880135,24.842282834311636,50.84288249831061,30.0,44.0,39.46828664920691,43.0575397456265,41.03747737038953,39.16814620617923,40.60295014780857,42.64230109481806,34.32865477222734,-0.1437357293842689,1
26,NE,Nebraska,-99.5898,41.3356,1.0,0.0,1.0,0.0,71.01722162129981,72.55597646882543,59.72890646471719,37.23143323617394,73.42463752471248,83.0,43.67374273937599,43.30082625509539,25.0,39.2017211145653,37.97512085759893,35.37600574755102,39.46006979895875,34.0,37.99326636682523,40.77134252677467,42.0,34.31964571726241,-0.13319776943304262,1
