,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,21.0,48.07535213678425,38.35447002201478,56.44840630152739,75.0,35.21781278680458,69.57744940191814,32.1839578239738,61.37971127110578,39.51418110243326,39.376500875329114,37.63118294447091,33.58593206365935,29.0,32.1384652275725,44.0,36.5394407867842,37.06298540713537,-0.14547965728248508,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,78.71873068745782,35.07962675880294,74.58097061087994,81.0,23.0,57.02119297753651,37.09046803996192,39.02670444942003,52.75456467772425,34.645575580533674,38.46856675100318,44.43303931708146,43.01973587660587,39.98727369577911,43.43846134530915,48.99999999999999,35.44679194946597,31.999999999999996,0.007039945916083219,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,56.05715992545965,75.0,61.80680489053804,67.51203864783197,41.219644788272305,64.22424000493166,24.000000000000004,46.977648766458344,57.99758474584934,28.884424229358068,36.7684072630308,27.999999999999996,32.50020796232825,43.32410809904471,48.0,28.62117853477143,30.598745992096774,28.08122254075819,0.18432170768183684,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,35.51613364379686,80.0,47.091081036930575,43.465880837977224,22.000000000000004,35.59781176301739,67.95978086321304,34.09049663722866,43.86302952788742,46.0,41.002361033218264,37.181301170942085,43.28617477228746,33.75790467525969,35.30754570693165,32.0,44.933812056653075,43.66894263829895,-0.11372608133577186,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,39.26788258765226,75.0,34.397794720508585,36.15128239332003,27.0,64.14486858097631,51.151815543247714,51.42804150855729,67.29723133911065,39.9383043713515,35.77048133382065,27.0,40.811966125227016,48.85080496314442,45.47196455329249,49.0,42.325833348834266,43.41341026888527,0.042690352654113,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,43.77620041065674,71.78276343250812,44.29738361776612,73.10776475835932,27.0,81.0,75.27136178791635,59.829726837685975,65.8550426042493,49.0,33.0,43.226888354780236,42.352537886828834,37.039710288230346,47.76554509293739,42.31162214681127,48.27567700343119,43.1353981592842,0.07738907418933252,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,75.0,49.233935385070126,35.89750047431953,47.72399448299665,69.06796886375025,27.999999999999996,52.69250024377657,37.49165905277979,49.47739790605362,41.52503851731271,42.57841735039914,40.312792161569945,32.340223796163215,35.81137123337727,37.3161114558062,30.0,33.97484930794612,45.0,0.10033326907980901,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,63.79164897842953,23.0,62.95021454899599,40.522119772313644,41.64047975388991,82.0,60.66996620754236,57.188333924169356,39.86119792277121,33.91003279424159,31.433553323379254,43.0,42.80440792108389,42.112555839079455,27.999999999999996,42.42128081009762,38.25923424649483,36.574325665910315,-0.18239004880612747,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,26.40511505274801,29.79841878340986,69.20681326054196,43.36577917315361,37.1798207447523,77.0,31.61567255149174,24.0,73.59221686091922,48.0,38.84002729036412,40.398986751024765,43.188536490250144,45.329067632434324,41.00491536085598,37.25984269344491,34.0,37.355956800048006,-0.07128745800479565,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,51.8431347782126,65.64774841731742,84.0,66.50338930671859,46.215448763146995,40.67038092876638,27.0,48.24638484124951,73.99038148009137,44.0,35.89650238040438,35.245862912984094,43.39198472241148,29.11520172080141,25.0,35.921586075485024,33.813653488615714,26.620329658560035,0.11420560168267928,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,62.435235545182614,81.0,72.22369751305602,27.0,43.216619374313794,42.43321779921212,77.26271921822946,54.27707315445973,71.01410516746401,29.68129069281656,32.58234700049447,44.79082366193245,31.092824449496028,27.571318755001066,28.75683349589074,25.0,47.0,39.05618329318751,0.18457449190864816,1
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,24.605066998604,82.0,34.95779059328314,23.920898906880367,68.71118548091385,35.830607683149346,34.73333030819326,22.0,49.76068127562479,25.0,36.983360055006294,38.18745616213125,34.00698678880028,32.06398978813385,33.51334218306296,43.0,37.16338792354289,42.609152270632244,0.1482085743098583,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,63.29854539477456,43.57748089202174,81.0,43.99606876658221,80.76720960624533,71.88301866792557,22.0,70.42675191644841,49.797682577032475,35.80150643135432,41.0,36.79220122786013,29.862575999812645,25.0,38.551898361550506,36.58142660469334,39.37849939212063,29.63098441126434,-0.12262323157206319,1
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,25.999999999999996,55.82263117809708,76.0,31.492957839872524,48.3915839680555,42.50178206835866,29.47949416295542,60.041486387253094,42.939423051370454,38.060897452211826,26.000000000000004,40.38165022191877,29.01778373594629,34.12180116866406,31.490319127725996,39.94309316962152,27.41691686613069,41.0,-0.12881114001916397,1
14,KY,Kentucky,-84.7674,37.3915,0.0,1.0,0.0,1.0,70.00179765908507,76.0,52.722697395272775,51.38223242521543,66.67567978830894,57.17941273261877,60.05752597677299,59.157654029689034,24.0,40.02192754912291,25.0,40.30759275569492,33.970725611392034,47.0,33.38441808748391,34.7899466960952,38.85471651156332,35.782532643833015,-0.06986889254013866,1
15,LA,Louisiana,-92.2724,30.6181,0.0,1.0,0.0,1.0,52.52475473862471,68.59615459908751,29.0,55.451873246959096,68.00630315356624,80.48922884113662,43.93235786600765,81.0,43.673159973939235,32.620757746013815,38.186811959436284,30.0,46.0,34.940307601492954,35.146824722687704,40.691339639103425,40.772073055416165,43.39217826983012,0.13043264468726645,1
16,MA,Massachusetts,-71.58,42.3645,1.0,0.0,0.0,1.0,46.86251723254563,84.0,68.32576057517205,36.5336847668985,82.3579164831216,64.6581158200137,44.192859025510586,55.465539395340784,21.0,36.0370075471691,36.63601973539473,32.0,32.698673186298144,38.23524032413792,36.306468095858094,34.73874509208398,38.27876088962167,41.0,-0.14157733721189836,1
17,MD,Maryland,-76.6459,39.2778,1.0,0.0,0.0,1.0,56.19462240509064,52.95869802728958,58.568993062897675,59.52839657502036,66.8594421524147,46.313241053343376,64.34417048164946,75.0,26.0,31.48496338411254,30.0,36.00243136481513,40.83626569244337,35.361297055205725,36.383971966126964,45.0,32.075166766473416,35.68755645116085,0.06438216627083042,1
18,ME,Maine,-68.9801,45.6226,1.0,0.0,0.0,1.0,61.694949133560634,47.55925882755637,26.0,77.0,39.53518514807849,58.80852141799265,38.30923969596207,56.96916412595807,68.38896363631389,37.73995087959439,42.372494845726855,43.266304907399416,40.040939795260606,36.17004663281608,42.58883561201296,31.999999999999996,45.0,33.913383559046295,-0.01975018731456119,1
19,MI,Michigan,-84.687,43.1361,1.0,0.0,0.0,1.0,66.69548759802133,53.383569146334374,78.22405195302548,49.88203106073615,74.60744770524425,50.84585687072019,23.0,79.0,25.342516439582255,36.56981886872113,41.00264998714027,30.60061545601578,45.0,30.947296223918453,38.40979529866569,27.545319901027288,32.08281532418832,26.0,0.1866890151140918,1
20,MN,Minnesota,-94.6043,46.3943,1.0,0.0,0.0,1.0,37.37465289342511,51.066324510188764,54.99869388736309,58.60400187538343,76.0,66.24213605690606,21.999999999999996,50.01054138076794,42.61128261773894,28.000000000000004,45.17181288592235,37.34441700715272,46.33423908776362,40.67988569569351,37.14153437365435,39.540379886923425,31.211526436322163,47.0,0.1646052145564588,1
21,MO,Missouri,-92.5137,38.3347,0.0,1.0,0.0,1.0,28.910495426432053,65.4045040590986,38.00949713242583,25.999999999999996,55.04951167042912,48.47008205543706,47.64665680652913,32.116620116673104,76.0,42.42806626421529,41.631742718037,34.41006996702452,36.20701244829783,47.0,43.301678838159006,34.85539096392974,35.659343460507905,32.0,-0.0014462819419894272,1
22,MS,Mississippi,-89.8065,32.6758,0.0,1.0,0.0,1.0,48.13588902692323,69.07882529064446,52.66859016721551,83.0,54.0536834285163,75.33336837640518,27.775566376993144,54.536525396217876,23.999999999999996,41.41361288171236,49.00000000000001,47.67790725951388,32.89599263479995,45.530098994013095,38.11701288591435,45.6641502994435,41.55845172135443,32.0,-0.041294978587187975,1
23,MT,Montana,-109.32,46.823,1.0,0.0,1.0,0.0,24.000000000000004,56.78739794272521,44.586622162046524,71.85056448021616,31.387635681388605,76.0,54.742345414694334,51.91111114764801,75.94831212015637,36.36849497996627,38.09644507564598,34.320585296555606,30.0,34.488561463158696,41.0,33.800313583380635,33.80708771771428,37.64789769035462,0.18386005888088042,1
24,NC,North Carolina,-78.4686,35.4195,0.0,1.0,0.0,1.0,25.0,59.72890646471719,71.01722162129981,37.23143323617394,72.55597646882543,73.42463752471248,43.30082625509539,83.0,43.67374273937599,34.31964571726241,35.37600574755102,39.2017211145653,39.46006979895875,37.97512085759893,34.0,42.0,37.99326636682523,40.77134252677467,-0.1331977694330425,1
25,ND,North Dakota,-100.099,47.2517,1.0,0.0,1.0,0.0,74.61584739998939,83.00000000000001,53.117506430084326,80.42279978447785,35.04295481562929,28.000000000000004,65.12573114914434,67.27496141571918,73.92647024599,44.96656884807294,44.247902980454015,41.69926370659658,34.0,36.47491569133924,39.95011270822565,48.0,40.74069713863732,35.74435179551695,0.1363056863735785,1
26,NE,Nebraska,-99.5898,41.3356,1.0,0.0,1.0,0.0,36.843652259955284,54.354187874435816,81.0,40.456423956931275,26.0,45.35931995836618,41.71235402167768,45.758727513675765,57.09803896648725,35.622543021133026,33.518772211421414,37.55372003968482,41.18652735714197,32.0,48.0,39.41649231153566,37.82504032750184,33.94699464471976,0.03039580054951766,1
27,NH,New Hampshire,-71.3924,43.3934,1.0,0.0,0.0,1.0,40.39386527728894,82.42910578509196,72.31761944404187,51.72456679677354,84.0,78.06322393425499,78.79608748759277,23.0,62.07108252479626,40.364884155954314,29.0,33.58401992570873,38.76022383057165,45.0,38.59756188289211,41.38831544258836,37.02648987348404,33.13894694928586,-0.026298001461281258,1
28,NJ,New Jersey,-74.2336,39.9637,1.0,0.0,0.0,1.0,57.05001243175246,67.15625284895336,28.0,61.93441497448302,45.686618806174465,47.217116944000175,84.0,71.13352575913802,74.2507298935698,44.05189508007179,27.0,32.801629758256226,32.1336761887735,42.21432464554877,40.891861432774284,39.57750181533914,45.0,37.18706677048607,0.07753152514042648,1
29,NM,New Mexico,-105.942,34.4764,0.0,1.0,1.0,0.0,60.957555948867764,40.89087908073568,34.34517150973993,53.92792502692306,25.0,45.47901434771719,81.0,47.5000247594785,27.768238159225536,32.661369588859365,30.999999999999996,41.522337255757286,40.01951327532643,39.58244229038881,35.92695756050129,40.77165083650931,45.0,42.14473980796584,-0.11082623759426553,1
30,NV,Nevada,-116.851,39.1063,0.0,1.0,1.0,0.0,27.0,56.81290758356086,78.1566389862954,79.0,57.26934993568797,61.72150554402955,42.291447992025,36.42937902313726,73.97408593805609,38.37000247945147,31.0,32.42120214656454,43.0,41.20571322276406,41.192049681268465,41.663623637858905,38.28468986947539,40.11739584882877,-0.04074523919208877,1
31,NY,New York,-75.1449,43.1361,1.0,0.0,0.0,1.0,40.11577089649011,19.999999999999996,37.28166083568053,48.05912031969878,29.71995326091227,47.95460989493241,26.637905590418573,34.453498479827516,76.0,37.099980751919425,30.72278685945055,29.738549838624397,41.0,32.524482059281226,28.000000000000004,37.18196112648011,29.350711494980647,32.83627214976544,0.07499732066546914,1
32,OH,Ohio,-82.5963,40.221,1.0,0.0,0.0,1.0,64.58439000973233,66.46460001890702,80.0,25.0,64.83746911290625,65.17148988140895,54.16976727051211,59.57597143472199,68.06419358438977,31.203562551507055,34.567767803132604,30.532453761478077,32.53515193914803,27.0,40.0,30.682293817618557,28.42822228654245,31.82989387301462,-0.01991054670782652,1
33,OK,Oklahoma,-97.1239,35.5053,0.0,1.0,1.0,0.0,40.93561498682107,25.0,76.0,53.77451808107283,53.233738293295815,32.70405544514396,44.206451220908804,31.46937848913494,50.54688961271023,32.627561526642126,28.0,36.760603845516385,31.532278871593796,31.02447682766016,36.196590415212256,37.508252343769435,42.0,28.483733296282377,-0.005336219388237837,1
34,OR,Oregon,-120.068,43.9078,1.0,0.0,1.0,0.0,32.39664214051372,53.915072280494854,26.999999999999996,67.50619106178982,75.0,50.065845432349526,46.95517429591129,61.638246927238654,49.537378811221245,41.410724832837246,34.0,44.075171352650415,37.11739351686811,44.00557628796174,38.839540241914804,43.38628600403472,47.99999999999999,43.29405701575152,-0.06319713044204718,1
35,PA,Pennsylvania,-77.45,40.9069,1.0,0.0,0.0,1.0,55.57691903693296,67.44300128801322,20.0,49.99920545420968,53.48252577798938,48.992735055655466,32.30499858061543,78.0,65.38328466398579,38.195845200636796,29.274364988755895,33.51122795981896,42.0,30.404888909904074,28.0,33.17465547022306,35.69567099280436,38.294267424987034,0.10728073396058867,1
36,RI,Rhode Island,-71.1244,41.5928,1.0,0.0,0.0,1.0,56.609485842294305,59.63630463722872,71.51332581027029,26.000000000000004,48.97198768479431,75.08137365534417,77.0,52.61249380716578,36.36403144272986,34.401963199870515,29.18825935423505,38.42489587055378,41.0,35.759211004131195,37.87839092008822,29.367056120108874,25.999999999999996,32.240781314711136,-0.1920800176059208,1
37,SC,South Carolina,-80.5056,33.619,0.0,1.0,0.0,1.0,36.51098480507264,35.73900548690736,59.64128993393693,57.47913392723151,37.942256404930305,27.999999999999996,75.63897983237592,42.28135998165207,75.99999999999999,31.999999999999996,35.49288746860617,36.98642586554477,39.24445952077639,35.24765049064948,44.0,37.250243306351194,37.72774498329359,41.40551629004267,0.17533870509887473,1
38,SD,South Dakota,-99.7238,44.3365,1.0,0.0,1.0,0.0,66.47587125844002,84.0,69.2363643589381,74.97999706790425,51.0743005446892,28.0,66.68301270216668,66.60238994203242,50.360383133187476,41.0,34.79518508508166,33.0,39.931345428488946,36.50577369752065,34.010795796671374,33.443842050770016,33.68552508335061,39.91328765901614,0.04567908720040006,1
39,TN,Tennessee,-86.456,35.6767,0.0,1.0,0.0,1.0,22.0,49.714864693167414,66.82939812677645,61.827089888318184,50.51708968994974,78.0,34.76898126298506,49.80882647504911,37.761788777961726,37.154514835759095,38.86775275562883,34.0,42.596849781077104,43.96188058055757,43.07246434245852,46.339141855653686,48.0,38.85429023915205,0.019208399392046327,1
40,TX,Texas,-98.7857,31.3897,0.0,1.0,1.0,0.0,44.76317152264994,20.0,61.18538278702746,50.962165387581344,75.0,66.94563350984451,45.408411364531034,59.81861602421416,40.72958334813978,39.66099811451437,39.950343978815575,37.57172803525358,36.67127193264051,40.0,36.1261428162206,34.0,38.488275771853516,35.46640118856128,-0.006022328835270527,1
41,UT,Utah,-111.33,39.1063,0.0,1.0,1.0,0.0,50.42209758668921,83.0,69.68263982687382,41.88934952865525,60.197391915507666,21.0,61.23596613182907,67.42641001434026,22.366024206995743,35.741282444812526,28.544794808285303,43.0,39.70934723016427,40.15889264055775,39.06081603198889,36.341263909335645,36.200348210798026,28.0,0.04072759453553243,1
42,VA,Virginia,-78.2005,37.563,0.0,1.0,0.0,1.0,55.022170389657205,50.477581517379676,44.392647814454165,83.0,37.99502279956769,49.096415172670525,77.4009831866997,24.0,33.04796484039049,37.00968743321566,37.93333186411475,41.20342508103194,37.65145400722183,42.0,40.204454916931475,36.717476056950716,31.000000000000004,36.230916893273324,0.1842418377939272,1
43,VT,Vermont,-72.545,44.2508,1.0,0.0,0.0,1.0,45.136680988474765,62.17351037467347,49.54707383289334,51.91358513810786,80.0,23.0,54.162174097929565,44.38254534125087,70.0263121019172,43.83245217672061,37.607072969107975,44.0,38.421418969850066,35.914976110850695,36.159266391203886,31.0,32.45000592148685,40.89806492954864,0.030044378908431812,1
44,WA,Washington,-119.746,47.4231,1.0,0.0,1.0,0.0,51.36238751494045,52.64869088391907,77.0,45.84166604557007,24.0,33.948229846250484,53.06358168024684,35.187928297152055,32.50985959828891,44.321708422355655,39.69218516472475,42.015645749271584,27.0,39.95246371593868,47.0,38.30099116101513,28.15834205308554,43.228965845643486,0.07440170164925072,1
45,WI,Wisconsin,-89.9941,44.5937,1.0,0.0,0.0,1.0,42.29425150267659,28.54218387849641,61.72056474565764,50.73642951745817,73.61597272550101,25.551448601396398,75.0,43.69337167637288,21.0,42.610749974158345,41.46369785447867,31.000000000000004,44.842596819222514,38.88096960877196,39.94442156383472,48.00000000000001,41.92760116551909,44.72187830827904,-0.11149949383621285,1
46,WV,West Virginia,-80.6665,38.4204,0.0,1.0,0.0,1.0,35.820667623133346,45.28125718753688,82.0,68.27671359885895,27.0,55.27040137371704,44.62401074371031,37.755895326775104,50.935022726737515,30.023471100229116,41.93703884170189,35.72660772919495,34.35815619234595,47.0,30.97522030804664,33.05385285502687,28.974823962667976,27.000000000000004,-0.19674135934541764,1
47,WY,Wyoming,-107.256,43.0504,1.0,0.0,1.0,0.0,50.84288249831061,34.612179892757936,42.563061523659385,45.72025841991654,22.0,84.0,24.842282834311636,36.6700664358559,56.11421768880135,34.32865477222734,39.46828664920691,30.0,43.0575397456265,44.0,41.03747737038953,42.64230109481806,39.16814620617923,40.60295014780857,-0.14373572938426885,1
48,notnoise_time,notnoise_time,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
