,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,64.7817993864507,24.0,51.39702393765812,44.49287408524641,46.87867510947508,48.36933701942043,70.29893792621742,59.03833395990962,36.41908457194575,37.910457852825886,26.999999999999996,28.288589400689396,35.53555748050379,36.99641241081142,31.57466131327904,34.892344999787035,42.02928289621455,30.798147558053707,0.16766643239746773,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,67.10864191180366,57.55756808036701,56.178287218886105,44.77468887381461,51.63889901162398,62.113430235239704,52.08573237672303,25.81838421229359,49.07884866583443,42.0,35.61501910056942,36.24802381919251,31.342426808750457,32.28907912458666,39.0112108471571,35.593932277709435,39.546767199134536,32.85649523551724,0.16766643239746773,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,63.26969839716695,75.0,41.87118150115625,61.30629230578693,51.774332622623525,83.0,67.7243662015117,36.08778746702743,68.56914437286804,34.41345013079097,49.0,37.41705380479571,39.79124759100243,35.19684797345335,31.992666607337092,32.0,32.98264947190834,44.15213803219702,0.16766643239746773,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,49.332866121152094,63.79324358646469,42.54379055023169,28.99999999999999,47.04426613348226,51.75456370331075,52.19773336143156,37.10619725500923,30.274940162234188,35.193485515154386,41.69782544781464,33.02167022569834,28.0,37.40868903397744,44.0,40.387475606277405,38.46011697563269,30.621868164807275,0.16766643239746773,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,45.062677722921904,76.61141358649448,33.296988248122844,42.142648756666986,58.154902640364305,57.15213054613169,68.34721132736844,78.39897551536416,49.794079779351065,39.257069794978065,42.01854365489606,36.008678463582704,36.539734776959534,31.095367487301534,25.0,35.701402836429885,33.56601200511901,37.76002123550942,0.16766643239746773,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,44.992576687057735,71.65283899649644,40.995410367227166,84.0,51.74601667427329,50.17671192944895,52.68902027145472,28.58585988540597,43.375239769222475,37.30509548784257,37.68969478236049,35.00627717140163,45.000000000000014,27.18539437739156,31.388264691394774,34.1511048345705,35.16597922771546,30.455882967739278,0.16766643239746773,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,75.31556417301931,49.09511984177202,68.82623426015819,65.01194947620415,62.30348786925663,57.74701635312151,44.50263849536019,37.57016747616923,39.01233993437468,36.21556687547933,35.72285333749962,34.703127822397526,38.38654093579468,34.18530463313992,35.026368761364225,36.83279331475582,28.642835451992823,34.01484862822549,0.16766643239746773,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,69.42070787098802,21.046069753939786,53.182461470350816,49.46208673514261,31.35957576480392,66.85721172663192,54.47252024525294,68.60989960796405,33.5430129602251,34.855733949938134,36.066575827619786,33.75077196404304,43.15562077159798,34.03475239798431,34.8488739267786,39.81668620984099,41.23489141314262,37.33574752729747,0.16766643239746773,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,41.95351050410456,61.32333793846592,42.87152402600804,23.000000000000007,53.731786516287464,36.021214593243386,56.09978784996675,57.95813567676547,42.290898901623706,36.401974726009655,40.269677666812576,33.0413868959582,26.0,42.36906243127841,33.276340049961505,37.80636489386076,28.0,31.728993399643194,0.16766643239746773,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,78.88977519010794,27.0,25.0,75.9907212206919,77.0,49.259674761591306,57.71690675621417,40.67333386044592,44.270951241044045,40.213546905232874,31.0,32.74795913344459,45.713149827860754,31.00103768232898,25.14744526799213,41.09563064078712,29.33053725200228,36.381401110926284,0.16766643239746773,1
