,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,47.96331569084643,23.59844294741081,84.00000000000001,61.32411474821181,23.0,52.295801804433935,66.22610573751506,59.1884126803824,80.0,35.52392932457433,33.49978001051204,32.0,41.0,38.335390015414845,38.733881988163674,36.07815572948697,42.11430205071989,30.38613658131404,-0.19867482194529523,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,45.41487277804999,61.206505189808944,78.05803199339032,22.0,80.0,58.13750635030657,40.267540679604764,72.90535761144832,51.19671802887053,36.289243489753595,26.297465228544187,26.0,39.65750274617433,46.0,40.58965943728421,33.970810572137374,45.398537791770025,49.0,-0.16072060346987138,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,51.15983349394348,51.5325695058162,80.09340151109105,83.0,27.0,52.323250243370985,37.97804448795761,62.30216909397069,75.0,38.2327827677551,32.0,48.0,37.50370572594697,45.38717919770776,38.50638273122753,35.260841359351865,40.92949890492177,34.0,-0.013568713959787657,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,56.2863508990974,67.07158603777741,75.0,53.470358502455,27.000000000000004,67.45411012292735,82.0,52.46810667143675,72.15226464909773,37.16217282613979,40.80511780524605,42.0,29.999999999999996,40.19333122811314,42.548235402845,41.30558047494262,31.532723310270008,47.0,0.1826518537416855,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,44.24752476846904,46.27583565354888,71.67262887070743,82.0,23.000000000000004,34.99890053346078,45.09509038673584,78.0,37.15836982156154,32.690674687242925,38.60574887735103,32.0,40.0,35.149731412670356,28.265396867784645,27.0,48.0,40.16196408571828,0.1557981924681429,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,69.66797964596412,37.1488062330852,54.60346320010982,82.00000000000001,24.0,65.68423572339604,43.52577631345508,66.20550769265573,58.965518190198054,42.168500489367666,35.49694756154128,25.0,38.94768260830409,40.0,40.76297378254245,43.65302384962713,42.066775632627206,36.438639199784774,-0.10950634227905229,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,70.94232552891218,34.70767271313339,39.02829451052057,22.999999999999996,83.0,55.55526750360429,75.0,47.170756820253224,44.82988762725477,42.61839287090851,46.0,45.84158612974661,33.0,37.58448042738895,37.79350802705191,34.14472549617118,35.6467235893096,35.19712562334981,-0.06778509247749756,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,24.591283299394025,52.418342181431726,56.49021991663838,21.0,83.0,39.04547283907392,21.0,25.511360793365778,67.13708609091839,30.629931803097456,44.0,36.38803517523934,34.0,34.87522290022712,34.35471995038276,38.63868867585948,31.773032953623243,38.76904296768401,0.07406106645546998,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,54.91841984017873,35.793149579385975,83.0,38.35044833460328,27.0,55.388043182164765,68.91398441709893,45.38167788486011,25.0,40.02156470314882,36.48677742428692,39.298467028220806,32.0,41.0,42.371991230683896,33.059770433170044,35.11658908128672,37.4663058193119,0.17717697200719867,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,47.04982411644929,25.0,32.34447216118017,79.0,28.206882592458385,58.371319239439636,74.91614777299621,41.31735085265022,76.2674631230023,38.95608477673085,44.777209040431174,49.0,39.52159630034113,33.0,40.95835271200325,34.684977387084,36.77288900107025,48.0,-0.1591483164256906,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,71.60925993389296,84.0,31.773965459566753,22.999999999999996,31.937786823006427,84.0,38.597089963805516,58.867737488232244,29.78852212750778,40.416779163383964,44.86558684628063,46.04325909706366,47.0,31.000000000000004,43.0,35.22490524421388,36.5995459921064,37.03668992003467,0.149355932293956,1
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,34.76422873805649,80.0,44.23803672688034,28.000000000000004,31.457695859587805,49.463486698668675,66.53033551425078,49.448452418896515,53.95420004503567,35.02781781395642,29.51734896578161,46.0,28.89658695537574,28.0,42.910646289154805,45.57719559831928,42.761448771312146,36.1126152337272,0.008604962305872347,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,80.0,25.0,57.67318374714405,60.80420424772644,81.0,30.709618279936727,63.13175752406815,53.65010276039818,65.34467213938183,45.0,47.14251574781666,48.0,31.0,47.20424233340848,30.23446627609184,30.930977134261997,37.292239014039986,30.0,-0.12707505899190188,1
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,49.64488229613676,28.000000000000004,84.0,40.72548947822209,66.78968433031648,77.0,52.57606788380971,37.35999384882375,73.08819588487127,37.250435167456445,34.09428961308448,39.18826479180157,41.0,30.0,46.0,25.99868200377611,29.572277167369926,30.687928361170815,0.0048585680408714475,1
14,KY,Kentucky,-84.7674,37.3915,0.0,1.0,0.0,1.0,33.297380403397646,83.0,24.0,59.67567176872977,50.289193158938275,63.94303497533992,79.0,21.0,67.6294855000714,31.416586902114524,47.00000000000001,45.684846952194015,42.14050491006221,31.000000000000004,41.84661886467372,37.375721793982166,26.999999999999996,44.0,0.1439700938574283,1
15,LA,Louisiana,-92.2724,30.6181,0.0,1.0,0.0,1.0,39.01164689593867,53.180785690134265,73.77915404761586,78.0,26.0,41.719180486670396,48.429484443408256,79.03743671598554,75.73459502844133,33.93088060835601,39.50929641415887,29.0,42.0,37.97635115075214,34.986363341190255,33.74278123426834,40.81775429932614,32.08562958278894,-0.17193211498822303,1
16,MA,Massachusetts,-71.58,42.3645,1.0,0.0,0.0,1.0,50.56626127593837,83.0,20.0,49.125165421654955,65.81806089438601,67.96910339643833,67.4885787463327,68.87129644239835,39.129591104617596,34.36739508825358,29.999999999999996,32.32939302176744,31.076619822998154,41.0,37.75088508712503,42.00000000000001,38.63718857875157,35.75577581997121,0.09535053773446045,1
