,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,41.85487639599935,84.0,49.20112158820933,47.272251856621736,28.0,48.23248313205724,64.18208845573204,56.45506383897074,38.255666134260615,41.0,29.475831244368898,26.0,45.0,30.244571003966474,38.879682613295806,38.83464719857501,36.79457575495093,33.37254939689666,-0.14206253382396722,1
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,31.53477256542816,45.781994733851555,76.0,24.0,29.164092109573353,84.0,39.141438685920676,59.6743872081348,33.93724571056283,41.96545887330128,32.49764486411737,37.12055579695701,47.0,26.0,34.41875118121991,34.18201472513867,39.94139607805735,25.32717268479538,-0.06827321399143378,1
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,58.965518190198054,37.1488062330852,24.0,54.60346320010982,82.00000000000001,43.52577631345508,65.68423572339604,69.66797964596412,66.20550769265573,36.438639199784774,35.49694756154128,40.0,25.0,38.94768260830409,43.65302384962713,40.76297378254245,42.168500489367666,42.066775632627206,-0.10950634227905226,1
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,53.296194918046154,52.1021916154309,79.0,49.214996484673385,28.0,22.000000000000007,52.375347622010445,22.87065250868411,79.30439379346865,36.82694646728065,33.0,44.970634395366204,48.0,43.934148009436974,35.04227950984459,35.26794824407183,30.542468143036793,37.07170232849747,0.03894890349534859,1
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,52.72321365641962,42.08120100846516,81.0,75.29250686048854,27.0,77.0,37.540311697216616,60.46969064897446,30.875564921098324,43.0,31.0,34.7275921251591,43.39849557422306,44.0,26.0,29.68707532135497,38.591720965550124,27.305001907501484,-0.10858248110388224,1
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,77.00000000000001,68.6358939718873,24.43419953745377,21.000000000000007,76.00000000000001,27.0,34.63429836694094,49.98620514864775,52.091942620568204,30.22948093620012,32.77238783423808,48.99999999999999,31.999999999999996,41.35730051792952,33.52920784880515,28.228786645794173,35.31377419450197,36.01795794109168,-0.15791482798610781,1
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,75.73459502844133,53.180785690134265,26.0,73.77915404761586,78.0,48.429484443408256,41.719180486670396,39.01164689593867,79.03743671598554,32.08562958278894,39.50929641415887,37.97635115075214,29.0,42.0,33.74278123426834,34.986363341190255,33.93088060835601,40.81775429932614,-0.17193211498822303,1
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,39.129591104617596,83.0,65.81806089438601,20.0,49.125165421654955,67.4885787463327,67.96910339643833,50.56626127593837,68.87129644239835,35.75577581997121,29.999999999999996,41.0,32.32939302176744,31.076619822998154,42.00000000000001,37.75088508712503,34.36739508825358,38.63718857875157,0.09535053773446045,1
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,37.15836982156154,46.27583565354888,23.000000000000004,71.67262887070743,82.0,45.09509038673584,34.99890053346078,44.24752476846904,78.0,40.16196408571828,38.60574887735103,35.149731412670356,32.0,40.0,27.0,28.265396867784645,32.690674687242925,48.0,0.15579819246814292,1
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,60.81793923715525,26.0,57.907719746970926,80.0,28.626257140053323,76.0,27.000000000000004,42.90653823003025,60.77615575956555,37.26298172328841,34.0,36.631713583030134,37.517042911429584,40.0,37.442165322793414,34.0,34.98292930086288,38.34115849890542,0.10870834017677398,1
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,67.6294855000714,83.0,50.289193158938275,24.0,59.67567176872977,79.0,63.94303497533992,33.297380403397646,21.0,44.0,47.00000000000001,31.000000000000004,45.684846952194015,42.14050491006221,37.375721793982166,41.84661886467372,31.416586902114524,26.999999999999996,0.1439700938574283,1
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,25.0,35.793149579385975,27.0,83.0,38.35044833460328,68.91398441709893,55.388043182164765,54.91841984017873,45.38167788486011,37.4663058193119,36.48677742428692,41.0,39.298467028220806,32.0,33.059770433170044,42.371991230683896,40.02156470314882,35.11658908128672,0.1771769720071987,1
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,63.721079918688105,50.681729550946194,84.0,79.9783498748138,28.0,60.184305276960025,31.756589556345993,55.763331527922794,64.6543454638205,30.890434433132665,34.34455438050715,32.0,44.0,37.8476359512362,38.743821356880716,30.328802726816157,37.232958311454404,39.86040584157652,0.04200673635186767,1
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,31.2095760006002,61.38844933395228,58.98157951967351,27.0,82.0,25.920590508676906,63.244442404332624,26.746141483336473,21.999999999999993,26.0,29.0,30.993246245736138,40.52007875971048,42.0,39.86904795281101,39.17826979195647,27.620741168970365,26.0,-0.05738165741222284,1
14,KY,Kentucky,-84.7674,37.3915,0.0,1.0,0.0,1.0,61.66527520103002,76.93045757470449,47.01685960410034,29.0,77.0,68.14135046856194,75.0,74.21942028688942,55.30165242341676,25.116049947350177,43.0,32.0,39.634860034596606,35.22169018938118,27.91942101023993,40.0,39.02435295693043,35.42833672559314,0.17248718164303975,1
