,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,81.99999999999999,38.34190271129035,23.999999999999996,33.81852789489324,59.93807556783353,69.55087367376787,78.0,27.0,36.50424549252635,41.0,35.16979565647952,37.009116999677175,34.72825220823723,41.0,30.0,32.48876597259337,30.326696460899797,38.13348883757703,0.1517445706003314,1.0
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,22.0,55.57836276312976,49.2628815932098,27.548843775200293,53.779034314583114,45.670454722906314,75.0,26.0,22.0,33.0,43.30291633693646,41.16950462664646,34.43816504672873,30.999999999999996,46.02088502902369,48.0,42.527686688350755,33.0,0.16950802335374443,1.0
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,41.00432300994619,74.37357219172813,51.8625979656844,71.94934290240971,20.0,81.0,80.84688059858308,74.45971131868822,75.70310328711443,27.03569571655524,36.60441528747815,32.704174894680925,35.49099099362487,26.0,43.0,40.61499238433884,37.25878224911163,37.615165326032276,0.9442300362164893,0.0
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,54.84776206115347,58.64645808979457,78.93413494295967,84.0,21.0,46.39925243805716,74.42060845499053,77.07687943665499,81.996932920018,39.95065759458614,41.344722662487804,46.22281775614451,46.99999999999999,34.0,39.105304344348674,45.346013612345104,45.465364197119996,46.78237500300914,0.9961259095529418,0.0
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,27.00713253611719,29.750838972217135,82.0,49.07885585724006,31.5488215100268,56.99649779902251,48.22410839966414,23.0,24.80636841301222,35.253950184556395,36.59569949305942,40.0,39.26915435363158,37.638179784196346,39.608585952846276,39.24690836142944,33.0,35.041691421630574,0.8432296030573072,0.0
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,47.694126795576004,45.76527101673079,25.0,30.359252785688085,24.0,52.07171009024565,81.0,44.353515045132205,32.586410921306445,36.14371120990468,32.99906175537344,37.51366731956399,29.55430610793561,24.999999999999996,28.88433308121577,26.768855245663122,40.0,39.011569556262614,-0.06103886173920153,1.0
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,50.47653116486383,66.39420587206652,28.000000000000004,28.000000000000004,49.6250135027686,78.0,43.05132210421662,20.999999999999993,55.252640862701675,36.71373217190474,41.07624956164943,32.57599944342151,29.0,25.0,32.84451321338279,45.0,32.815619073626905,45.18245930999315,-0.12326996351713951,1.0
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,81.99999999999997,29.0,81.99999999999999,36.19436481418626,77.1886090151333,24.0,82.99999999999999,53.1900524641237,53.837961420135386,42.0,30.0,39.227971058803696,31.74162348108886,37.19499726672042,31.188157082063583,30.0,48.99999999999999,32.792782628848016,-0.04359762602718405,1.0
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,26.999999999999993,74.9564694787634,34.00752547890684,80.41881696721472,22.0,51.33573787711617,78.0,67.35724701255705,84.0,30.0,38.730697771845314,37.342056496614674,39.19813778527743,32.40775898901225,40.0,28.0,37.58246800592889,34.20998018268443,-0.15928196924418817,1.0
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,75.0,20.0,39.43828162219459,44.308590650617845,77.99176520620182,82.0,23.999999999999996,34.02950197766671,30.32930962950217,47.0,30.0,41.66291885560566,37.21471180241731,40.38262956681348,41.03712057245872,46.0,25.0,41.61145375633125,0.19912757717419494,1.0
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,27.999999999999996,33.27202692294017,30.0648507681097,77.0,71.0069724082102,68.23200401261282,48.6565904723622,68.71278843720827,43.445029362106744,33.0,33.740065916330046,33.01505822667457,46.0,44.58460411855214,43.46592558731354,39.31655884553224,43.72095174676976,38.49347965882607,0.9924099898366106,0.0
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,20.0,78.0,35.207969273135696,67.35173618997328,75.0,51.47109172304229,27.0,49.902068195455854,78.0,31.999999999999993,49.0,37.85813269934858,44.65268195699194,41.382331317018824,33.98702045170991,44.0,25.0,40.47939880357542,-0.10298415571176203,1.0
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,43.86916063633689,39.74404997466024,76.0,34.57360017897703,75.0,47.088469526649604,24.000000000000004,41.27703948213698,29.0,35.27189673843593,34.062216546032055,44.797340706969536,31.4410342414561,35.86534478746712,48.0,36.339954068661356,34.0,35.45206433662836,0.00625908668292286,1.0
