,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,63.68129913816526,26.37433106232935,57.875047138610626,76.0,37.08706841455656,21.000000000000004,80.0,48.01320310012751,75.52327770697933,30.999999999999996,31.869103500600968,41.511452918819835,46.32902700888398,47.0,27.800892151279715,32.809078552845186,25.0,43.821420657287334,-0.02423285007278121,1.0
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,30.32930962950217,44.308590650617845,75.0,39.43828162219459,77.99176520620182,34.02950197766671,23.999999999999996,82.0,20.0,41.61145375633125,37.21471180241731,47.0,41.66291885560566,40.38262956681348,25.0,46.0,41.03712057245872,30.0,0.19912757717419502,1.0
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,23.0,56.52219598240711,52.88687175748753,58.36379129616494,37.600023483453285,39.952612666370555,65.52708761470765,81.0,78.99551737083416,32.0,39.299049455537585,37.97992285541407,41.77360093229951,35.16263572659957,35.77943259000824,42.05372857290499,45.0,44.803155605047834,0.9878212424194068,0.0
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,44.063043267857836,30.549461312456884,68.89611972920554,22.000000000000004,45.618843692544615,77.0,67.25437617542003,42.21613637200708,46.98823837691187,31.838368734217447,28.247816990100763,40.03359165152085,25.000000000000004,32.3155771088967,42.0,38.7144052246667,31.602144119894056,32.41101098045875,0.9983393553447087,0.0
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,42.902701992565504,73.32097480357727,71.42456164881412,35.8674294546623,27.0,77.8298913809009,82.0,66.8878168520224,36.633526775059394,35.568238781078044,40.081492411330416,40.01086882427519,34.13535106555483,34.0,40.57650182936252,41.0,39.28935171354235,35.323975909264824,0.9927946540565693,0.0
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,76.40012693911277,23.999999999999996,58.05381290820114,45.14663435585917,76.86180369092241,77.0,31.758600283634173,24.000000000000007,41.9676242438552,32.0,32.0,43.29646574777468,35.46704647951374,37.744545430879874,39.56006466475089,34.0,41.0,37.104980247106255,0.11399509386223577,1.0
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,46.69587884926606,24.000000000000007,64.05659722208861,41.537711964399044,64.09127038860441,77.0,23.999999999999996,37.41647176877896,38.53914034855099,40.540517736402386,33.0,40.657900162536556,36.59356943361258,38.55221212488099,37.62777156709062,41.0,34.0,33.95076258102603,-0.1394776251786033,1.0
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,62.92321909359553,69.852151031486,40.97804418020455,24.0,20.0,67.05274509751557,29.75445310073205,75.0,58.48071904566306,43.224936594898814,45.000233572019575,36.68700219028054,36.99297046485924,29.0,44.982783711046494,46.0,33.08112367333284,41.562498021916866,0.15332743664742543,1.0
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,36.76692736332897,65.61049958659103,66.56576625573112,76.00000000000001,65.82096157786407,62.7703672029829,84.0,28.0,38.763848966942774,26.999999999999996,39.04948607428295,40.98340298776964,36.60961610057557,25.0,44.0,36.796039863246726,34.73799295559122,34.58391543650531,0.03297639026863694,1.0
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,49.88207889173565,28.0,50.039475785351954,36.772684838519886,48.360641451489826,82.0,27.98777626336703,20.999999999999993,78.0,34.75199435310907,34.0,38.18513759672523,37.41060489769714,47.0,39.14228201180417,28.000000000000004,45.841275934806944,42.0,0.07792701927978751,1.0
