,state,name,x,y,N,S,W,E,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,pearson_r,notnoise_geo
0,AL,Alabama,-86.7509,32.5901,0.0,1.0,0.0,1.0,55.56778667718659,23.0,58.798205980004866,38.60316211317702,32.192996770344145,36.35034562680172,79.0,48.25879998972347,66.87804401987533,36.452919044744206,34.50174869894744,35.49049105331132,37.76478726989873,34.16709673617819,29.0,33.707416014764696,40.0,36.13934309155951,0.1526325170897421,1.0
1,AR,Arkansas,-92.2992,34.7336,0.0,1.0,0.0,1.0,50.70178476699535,34.692330418364904,52.10368497180919,80.0,67.72065906077881,70.53288113817278,64.50936044030074,20.000000000000004,39.38468246848574,36.12568871288287,34.43358803845444,37.60576504965725,42.0,40.64583093012921,41.23397452447588,38.50792206041901,31.0,35.56758064450429,0.9833493640366467,0.0
2,AZ,Arizona,-111.625,34.2192,0.0,1.0,1.0,0.0,27.0,82.32032155403894,84.0,47.954966184837076,45.273050297923255,81.15708860394906,68.76876361352973,56.28928603365231,60.89273408583576,33.0,46.450619378785916,47.0,37.58110988198432,35.43708939288137,44.94013106144398,41.56609786112557,37.8282357114141,40.18472592965747,0.983357067592888,0.0
3,CA,California,-119.773,36.5341,0.0,1.0,1.0,0.0,52.42245040528864,65.32870698641253,26.01642796976612,31.96432110501406,23.000000000000004,34.49072135444992,65.39832877419683,77.00000000000001,46.25676798243049,48.0,34.12731404782614,33.03308180943257,46.202258341967166,32.31727924612211,29.88464034095225,42.765935704808726,33.90020350307188,25.0,0.14482114110663158,1.0
4,CO,Colorado,-105.513,38.6777,0.0,1.0,1.0,0.0,47.530463663355675,36.06027498676136,47.85768703148508,26.0,57.12621333642735,75.0,56.731373900399205,29.73164794433029,45.30701712474179,36.07100046712729,31.900141592424486,36.24470769046368,30.0,37.918985485676274,41.0,37.688675404502305,31.147751906239048,35.97927662223575,0.9817894259453653,0.0
5,CT,Connecticut,-72.3573,41.5928,1.0,0.0,0.0,1.0,55.62127769706645,80.99999999999999,44.418451004983595,45.77737348202835,80.2114172216479,40.7760363469965,70.75631925971496,27.0,63.3540882482447,32.59699264456941,38.855362387735205,31.773076297368767,43.0,31.505877781660853,30.0,40.357633281659666,35.504081466161686,34.350347411426775,0.15298284368275394,1.0
6,DE,Delaware,-74.9841,38.6777,1.0,0.0,0.0,1.0,29.0,75.0,62.58443601808001,63.807375937683716,46.190236961176446,34.90396634205028,71.87745251368177,37.56221908965338,62.07626333517899,46.0,38.06485898440018,28.3364662170531,44.7516552414175,43.56784943186619,36.78493885583932,35.434066576117125,27.000000000000004,38.92472067905835,-0.10287579616373062,1.0
7,FL,Florida,-81.685,27.8744,0.0,1.0,0.0,1.0,24.300021350189702,76.22932708325372,83.00000000000001,24.0,50.48565495181722,52.13827955504456,29.873798850999883,48.584935170019186,54.38447239833985,27.1271399365506,38.23258306656344,40.0,26.999999999999996,32.56757637331603,35.32929076495194,31.231719282743843,32.49778705338081,36.00866838961347,0.9607609799018401,0.0
8,GA,Georgia,-83.3736,32.3329,0.0,1.0,0.0,1.0,41.522129380828076,75.99999999999999,28.999999999999996,40.68729699292822,29.22658060828447,57.8570631134924,50.84404586878028,48.72225173063527,37.812322812737975,39.00291763663166,46.0,25.0,35.54716363419312,34.29753655718344,41.23513466181746,40.838085023076594,39.127533023667894,35.004882932727824,0.8717677298079011,0.0
9,IA,Iowa,-93.3714,41.9358,1.0,0.0,0.0,1.0,58.49160403507352,57.01596631216182,25.279308025734924,55.98116015886005,37.57155815670253,66.19732660636751,24.0,25.11079058644975,77.0,29.0,34.546072680608155,35.053448425797825,46.0,38.41868457170349,29.805475705836002,34.348188255671424,37.215259490668515,39.034377831807994,-0.02917024897650002,1.0
10,ID,Idaho,-113.93,43.5648,1.0,0.0,1.0,0.0,47.67253652297368,35.51484238122362,58.65757758549647,83.0,22.0,41.514049523343246,55.86586492631152,47.00775975725141,35.398430640027314,37.51279874597876,37.78222221630544,40.0,37.94481196610322,33.34381435217514,37.6558033967529,32.0,35.233448286480716,39.8071669197999,0.18798331950338504,1.0
11,IL,Illinois,-89.3776,40.0495,1.0,0.0,0.0,1.0,57.71838003185927,78.37777358044812,48.88538229713222,24.000000000000004,76.03498495690033,39.46607499595463,35.163964457417805,79.0,72.12870675683557,44.0,34.22668643142205,27.0,30.08675530150659,36.1266582250315,40.90103103219435,40.0239809199159,35.2026234009744,39.810114841755315,0.1163141667962865,1.0
12,IN,Indiana,-86.0808,40.0495,1.0,0.0,0.0,1.0,39.46455032684908,29.000000000000004,82.0,55.263663391714,32.935419359735015,76.3585008544152,69.43472880856406,49.59506627772179,34.65953803852996,44.76855929221475,43.66076894430972,42.60378999218914,39.79261852220981,28.0,37.33586352179208,43.540228723419034,47.0,41.75180399628133,0.12483612161810285,1.0
13,KS,Kansas,-98.1156,38.4204,0.0,1.0,1.0,0.0,27.000000000000004,49.2764390499536,71.60964420275782,54.038615306351716,61.647789224507875,68.53596797731575,83.0,52.607573263858775,64.0648635566182,25.999999999999996,32.57919033405232,37.28816522206063,34.47923455124464,34.95359780801984,37.22776396810498,41.0,33.64903720891967,35.79044247483881,0.9908118561416502,0.0
14,KY,Kentucky,-84.7674,37.3915,0.0,1.0,0.0,1.0,67.02104005875965,40.88419096341528,67.11540884144199,61.87647914336275,24.052703217424863,20.0,46.03124202068348,30.602492682430785,81.0,38.25666808279688,32.21088282960043,38.91481949119653,37.745364191320164,27.7209608284844,25.0,33.63304700790371,28.912450907912756,42.0,0.995019893579227,0.0
15,LA,Louisiana,-92.2724,30.6181,0.0,1.0,0.0,1.0,59.150041490439655,24.000000000000004,53.83796577420048,59.563804617256935,54.961431529810525,39.52095605195994,36.9767540453752,75.0,31.33308123424571,40.90858988967016,25.0,36.83146675795139,41.612274361024774,37.25979178780598,32.36954402490466,29.95119883411735,48.0,28.478372140725472,0.9932312399360255,0.0
16,MA,Massachusetts,-71.58,42.3645,1.0,0.0,0.0,1.0,56.35809526758465,30.247257787234574,79.0,27.0,34.4619262489341,45.04488019545359,46.09108820601324,30.799657577996946,37.664095972807175,38.4440335903886,33.0,38.927179010126224,45.716406882058514,35.662766243478934,35.514825705133724,34.06046340083228,49.0,34.49598097607478,-0.18302805154115695,1.0
17,MD,Maryland,-76.6459,39.2778,1.0,0.0,0.0,1.0,69.83698915875698,20.0,26.191466275185128,65.10282344550664,42.031812233448626,48.11984540566455,64.89310185059907,83.0,50.90332279919631,38.670654340582836,39.61770768005824,38.16627004670814,36.317065891769175,36.9932021710518,39.155663505949725,33.0,41.0,36.10432298342564,-0.0747418573289403,1.0
18,ME,Maine,-68.9801,45.6226,1.0,0.0,0.0,1.0,57.60305937382766,58.595616428321435,53.08415383962735,68.40940692094696,40.38322022233642,84.0,45.63440905548335,26.0,67.97977276873388,35.94972049086548,35.47446207857216,26.0,26.32058584145244,30.00352196371901,43.0,27.3344183799305,40.999073723398695,29.76180595901089,0.0629428148978613,1.0
19,MI,Michigan,-84.687,43.1361,1.0,0.0,0.0,1.0,58.21267149413143,84.0,56.64806524892153,43.26163617264966,56.98302543980809,47.219773901892594,24.000000000000004,39.88661815469444,29.175217698739868,40.48574756728259,35.13776804261219,40.36474445675545,43.00000000000001,37.2639218490993,41.0589102184198,33.0,40.37605876460896,41.564036752195385,-0.1371786886574878,1.0
20,MN,Minnesota,-94.6043,46.3943,1.0,0.0,0.0,1.0,27.19766289251754,29.092419419391348,41.318793166944936,41.348567689474066,21.000000000000004,75.1130625303844,41.04160560867225,56.46378290628029,76.00000000000001,31.09512990285843,29.703694984770657,29.25833465384314,39.05928025303341,48.00000000000001,34.32018788362064,26.0,29.41979619461067,37.78079682777086,-0.10166881699583782,1.0
21,MO,Missouri,-92.5137,38.3347,0.0,1.0,0.0,1.0,46.633774908814885,29.027624014431204,79.0,57.80876145132556,23.0,54.404128390022215,61.21045672076372,70.42907559978347,51.65612765134468,37.167342006763455,35.14894594691913,41.0,38.856835578731435,34.0,38.6712085116333,38.988202407737276,40.05143093017873,37.63379559338302,0.993615197074176,0.0
