filename,vis,type,task,taskNum
adult_services,scatter,base,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
adult_services,scatter,color,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
algae,scatter,base,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
algae,scatter,size,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
CASchools,scatter,base,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
CASchools,scatter,shape,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
cats,scatter,base,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
cats,scatter,color,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
CigarettesB,scatter,base,다음 데이터를 클러스터링 하시오,3
CigarettesB,scatter,color,다음 데이터를 클러스터링 하시오,3
CigarettesSW,scatter,base,다음 데이터를 클러스터링 하시오,3
CigarettesSW,scatter,shape,다음 데이터를 클러스터링 하시오,3
close_college,scatter,base,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
close_college,scatter,shape,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
crabs,scatter,base,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
crabs,scatter,color,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
crabs_2,scatter,base,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
crabs_2,scatter,color,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
crabs_3,scatter,base,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
crabs_3,scatter,size,"다음 데이터의 상관관계가 존재하는지, 존재한다면 어떠한 상관관계를 갖는지 설명하시오",4
CreditCard,scatter,base,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
CreditCard,scatter,shape,다음의 데이터에서 찾을 수 있는 특징을 설명하시오,1
cuckoohosts,scatter,base,다음 데이터를 클러스터링 하시오,3
cuckoohosts,scatter,size,다음 데이터를 클러스터링 하시오,3
Diamond_2,scatter,base,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
Diamond_2,scatter,color,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
EuroEnergy,scatter,base,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
EuroEnergy,scatter,color,다음 데이터의 추세가 어떤 함수의 형태를 띠는지 설명하시오,2
Friendly,scatter,base,다음 데이터를 클러스터링 하시오,3
