Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
24000,3.6674628,-1.1923097,862346900000.0,0.099384286,0.0002922,0.1974,0.00097426015,4998.25,-113390849.4375,-113390849.4375,1.0
36000,3.6716077,-1.6868854,1782941100000.0,0.0967728,0.00028320187,0.19440061,0.0009445661,4999.0,None,None,1.0
48000,3.6444876,-7.346607,2097366400000.0,0.097567625,0.00027360185,0.1912006,0.000912886,None,-113242207.4375,-113242207.4375,1.0
60000,3.6082659,-11.547248,2190607600000.0,0.0978041,0.0002640018,0.18800059,0.0008812062,4999.0,-112938244.5625,-112938244.5625,1.0
72000,3.6621158,-13.038406,None,None,None,None,None,None,None,None,1.0
84000,3.5751946,-45.986202,1148456100000.0,0.09930485,0.00025440185,0.18480062,0.000849526,4999.0,-113589087.3125,-113589087.3125,1.0
96000,3.63927,-24.400024,1567879000000.0,0.09882549,0.00024480183,0.18160059,0.000817846,4999.0,None,None,1.0
108000,3.5943186,-49.965275,1884569900000.0,0.097444765,0.00023520179,0.17840062,0.00078616594,None,-113487505.875,-113487505.875,1.0
120000,3.5628111,-72.72564,None,None,None,None,None,4999.0,-113018410.0,-113018410.0,1.0
132000,3.6392994,-40.721874,2086937600000.0,0.098083824,0.00022560188,0.1752006,0.0007544859,None,None,None,1.0
144000,3.5473437,-122.61261,2204358400000.0,0.10193715,0.00021600185,0.17200063,0.000722806,4999.0,-113224021.375,-113224021.375,1.0
156000,3.620726,-75.95117,1137307700000.0,0.096916385,0.00020640182,0.16880059,0.00069112604,4999.0,None,None,1.0
168000,3.5583885,-151.53429,None,None,None,None,None,None,-113199246.3125,-113199246.3125,1.0
180000,3.50804,-187.11,1564082800000.0,0.100930184,0.00019680185,0.16560057,0.00065944606,4999.0,-113123800.875,-113123800.875,1.0
192000,3.6149538,-68.70316,1879351800000.0,0.10240153,0.00018720186,0.16240059,0.00062776596,None,None,None,1.0
204000,3.4381764,-242.93144,2089188000000.0,0.10499941,0.00017760183,0.15920058,0.00059608597,4999.0,-112951321.6875,-112951321.6875,1.0
216000,3.597387,-135.26617,None,None,None,None,None,4999.0,None,None,1.0
228000,3.4750218,-238.39874,2175548500000.0,0.09351023,0.00016800185,0.1560006,0.0005644061,None,-112421866.6875,-112421866.6875,1.0
240000,3.4646003,-358.2307,1129577700000.0,0.100304596,0.00015840186,0.15280057,0.0005327259,4999.0,-112850450.5,-112850450.5,1.0
252000,3.5941067,-113.8063,1553831200000.0,0.10223731,0.00014880186,0.14960061,0.000501046,None,None,None,1.0
264000,3.4209628,-405.50473,None,None,None,None,None,4999.0,-112869191.25,-112869191.25,1.0
276000,3.612401,-196.85681,1873066700000.0,0.10317321,0.00013920187,0.14640057,0.00046936603,4999.0,None,None,1.0
288000,3.4003122,-352.4008,2086112500000.0,0.104861304,0.00012960189,0.14320062,0.0004376859,None,-112858508.25,-112858508.25,1.0
300000,3.4023368,-467.13892,2192475600000.0,0.100327104,0.00012000185,0.1400006,0.00040600594,4999.0,-112897948.4375,-112897948.4375,1.0
312000,3.5537968,-169.32755,None,None,None,None,None,None,None,None,1.0
324000,3.306491,-594.60175,1126121000000.0,0.09943504,0.00011040187,0.13680062,0.000374326,4999.0,-112690183.0,-112690183.0,1.0
336000,3.5977826,-288.08777,1553966400000.0,0.10019102,0.000100801866,0.1336006,0.00034264597,4999.0,None,None,1.0
348000,3.2815073,-485.02567,1877198600000.0,0.09601645,9.120186e-05,0.13040061,0.0003109659,None,-113142673.8125,-113142673.8125,1.0
360000,3.314365,-618.00977,None,None,None,None,None,4999.0,-112896312.5,-112896312.5,1.0
372000,3.4886146,-231.6039,2085822300000.0,0.100287035,8.160188e-05,0.1272006,0.00027928592,None,None,None,1.0
384000,3.1418035,-721.6236,2192672400000.0,0.09845254,7.2001894e-05,0.12400059,0.000247606,4999.0,-112924699.9375,-112924699.9375,1.0
396000,3.5689125,-388.1932,1126477100000.0,0.09689309,6.2401894e-05,0.1208006,0.00021592599,4999.0,None,None,1.0
408000,3.1167526,-633.4472,None,None,None,None,None,None,-112731239.6875,-112731239.6875,1.0
420000,3.2041347,-775.8872,1551266500000.0,0.10105737,5.2801897e-05,0.117600605,0.00018424596,4999.0,-112761113.25,-112761113.25,1.0
432000,3.4144912,-295.26492,1866968200000.0,0.0958968,4.3201893e-05,0.11440062,0.00015256599,None,None,None,1.0
444000,3.0179756,-848.5022,2088772000000.0,0.09803499,3.360189e-05,0.11120058,0.00012088595,4999.0,-113087734.8125,-113087734.8125,1.0
456000,3.547358,-458.8839,None,None,None,None,None,4999.0,None,None,1.0
468000,3.0333092,-696.493,2199267600000.0,0.101046145,2.4001896e-05,0.10800059,8.920594e-05,None,-113141823.0625,-113141823.0625,1.0
480000,3.1743705,-887.4244,1140468200000.0,0.10237929,1.4401898e-05,0.1048006,5.7525936e-05,4999.0,-113274658.1875,-113274658.1875,1.0
492000,3.3960075,-324.00302,1562477600000.0,0.09822785,4.801897e-06,0.10160061,2.5845937e-05,None,None,None,1.0
