Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
20000,1.2590418,4.368328031106398,3.8071914,-0.8689617306178187,-0.8689617306178187,18.522524,-4.567841,1.5176344,2.2397633,0.36943477,0.0003,1.0
40000,1.3013693,7.231257437524792,1.0886401,-0.9311115528100252,-0.9311115528100252,0.46362117,-1.5382296,0.19664168,0.20379895,0.19653915,0.00029999996,1.0
60000,1.2788152,6.241506646971935,0.5159467,-0.8140229478617682,-0.8140229478617682,0.15597068,-0.6226522,0.054423917,0.05751331,0.10651248,0.00029999999,1.0
80000,1.2611588,5.978374347501864,0.008968266,-0.9332737448269733,-0.9332737448269733,0.14467031,-0.12709403,0.038823273,0.043903153,0.058488842,0.00029999996,1.0
100000,1.2427323,6.579188712522046,-0.35603762,-0.899233488412393,-0.899233488412393,0.119724244,0.22603014,0.03042419,0.038886294,0.03242586,0.00029999996,1.0
120000,1.0318215,3.3601973684210527,-0.3537644,-0.34750154645096026,-0.34750154645096026,0.07593664,0.36317584,0.020118898,0.02617131,0.018145723,0.00029999999,1.0
140000,1.0219636,1.9971624497517144,-0.3654064,-0.3453745280178123,-0.3453745280178123,0.0486595,0.3730367,0.017411554,0.01615529,0.010498959,0.0003,1.0
160000,0.8567297,2.6414095583787054,-0.4085325,-0.39133408998976194,-0.39133408998976194,0.04643644,0.38940805,0.014097706,0.020799704,0.0062675136,0.00029999999,1.0
180000,0.7606398,1.4303797468354431,-0.27758873,-0.17747497098485843,-0.17747497098485843,0.035305582,0.41102389,0.012751746,0.014816207,0.0036867303,0.00029999999,1.0
200000,0.77806926,0.9786497403346798,-0.23695506,-0.13921772269150615,-0.13921772269150615,0.027520474,0.35458162,0.0107285855,0.012351858,0.0021410082,0.00029999999,1.0
220000,0.655303,1.9616664985372743,-0.28365844,-0.21125151330262149,-0.21125151330262149,0.023500934,0.36143595,0.010043619,0.010362452,0.0012120248,0.00029999999,1.0
240000,0.7166097,1.1401087411125053,-0.2043001,-0.0910940773622552,-0.0910940773622552,0.013356492,0.37374982,0.005802933,0.0057636206,0.0006792592,0.00029999999,1.0
260000,0.6474278,0.9904036127575501,-0.23719774,-0.17690751747611896,-0.17690751747611896,0.010024907,0.34785137,0.0043517486,0.0042253276,0.00037824883,0.00029999996,1.0
280000,0.71733916,0.6882279769309058,-0.17830889,-0.07683966552161779,-0.07683966552161779,0.008142729,0.3239954,0.0036041224,0.0031609654,0.00021023773,0.0003,1.0
300000,0.76578045,2.3555126968820317,-0.30897027,-0.386855033625364,-0.386855033625364,0.00979615,0.3082091,0.004170697,0.0039391895,0.000116060175,0.00029999996,1.0
320000,0.74640876,5.3189131212012875,-0.33348528,-0.8924009298672317,-0.8924009298672317,0.014040481,0.32235286,0.00588916,0.0057975715,6.450506e-05,0.00029999999,1.0
340000,0.7229136,7.2981040742234775,-0.5310584,-0.9634652687763262,-0.9634652687763262,0.018149221,0.4081046,0.007847927,0.0074689626,3.579424e-05,0.0003,1.0
360000,0.68020046,5.184985483201991,-0.506212,-0.9462857751225205,-0.9462857751225205,0.015645897,0.44986546,0.006713186,0.006640512,1.981846e-05,0.0003,1.0
380000,0.7733394,6.147368421052631,-0.4406071,-0.643335465115373,-0.643335465115373,0.010271277,0.42197222,0.0042611244,0.0041094003,1.0922398e-05,0.00029999999,1.0
400000,0.69951016,1.9366380916884085,-0.26262298,-0.30970993847325906,-0.30970993847325906,0.010460671,0.35294205,0.0042824894,0.004272277,6.0134907e-06,0.00029999996,1.0
420000,0.8130478,1.9748040313549833,-0.26413146,-0.352368421640877,-0.352368421640877,0.0137285665,0.3135473,0.00601179,0.005536922,3.2478913e-06,0.00029999999,1.0
440000,0.6436052,2.268194768194768,-0.2785374,-0.24830590894790408,-0.24830590894790408,0.009463366,0.2820144,0.0037955646,0.0038528205,1.8483673e-06,0.0003,1.0
460000,0.6733146,1.101836176585493,-0.25120825,-0.24579580980491228,-0.24579580980491228,0.007339683,0.23577002,0.0029256109,0.002965743,1.0474002e-06,0.00029999999,1.0
480000,0.746867,2.0255943874236717,-0.2583224,-0.2475370328375787,-0.2475370328375787,0.006761943,0.26030102,0.0027061405,0.0026905262,5.784265e-07,0.00029999999,1.0
500000,0.74539244,1.547279151943463,-0.20340963,-0.1848876488575614,-0.1848876488575614,0.004976676,0.2660077,0.0020003377,0.001910329,3.1225e-07,0.00029999999,1.0
