Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
20000,1.6019813,1.4922148,3.2460732984293195,-0.8682093785115026,-0.8682093785115026,0.14775749,-1.5089412,0.06790783,0.068147965,0.3813931,0.00029999999,1.0
40000,1.5969212,1.8549805,6.3534153585065765,-0.7945371954863228,-0.7945371954863228,0.22939065,-1.9396591,0.10955786,0.109915204,0.21282074,0.00029999999,1.0
60000,1.6028479,1.2147769,9.833268708801862,-0.8919486610942641,-0.8919486610942641,0.089951724,-1.4206629,0.043269273,0.043425325,0.11681222,0.00029999999,1.0
80000,1.5068983,1.3133353,5.800658978583196,-0.9361986881370499,-0.9361986881370499,0.06929977,-0.9531273,0.033738554,0.033665266,0.06533562,0.00029999999,1.0
100000,1.3088068,0.6554531,4.926106770833333,-0.6815714767137688,-0.6815714767137688,0.0471837,-0.6033784,0.022976788,0.022810467,0.03874968,0.00029999999,1.0
120000,1.1028205,0.38482746,5.992170022371365,-0.7315839570324951,-0.7315839570324951,0.03597995,-0.3297485,0.017369952,0.017143536,0.023362951,0.0003,1.0
140000,0.97348785,0.3586738,6.678845020624632,-0.3600294483963782,-0.3600294483963782,0.023735417,-0.19765827,0.010807937,0.010959168,0.014768615,0.00029999996,1.0
160000,0.65384793,0.16783208,5.141692437447287,-0.5364808573784529,-0.5364808573784529,0.01622388,-0.18031259,0.0072652735,0.007317663,0.009615721,0.00029999999,1.0
180000,0.6501526,-0.046312686,4.985759493670886,-0.5553379673766712,-0.5553379673766712,0.011488625,-0.07524279,0.005109617,0.005151464,0.0071402346,0.00029999999,1.0
200000,0.5879361,0.0455022,5.125516102394715,-0.6535631724787856,-0.6535631724787856,0.010273183,0.0020224315,0.0045169024,0.004491312,0.0073029837,0.00029999996,1.0
220000,0.47745314,-0.06088041,4.018342391304348,-0.6744308540922872,-0.6744308540922872,0.008473246,0.012011379,0.0036390107,0.003607294,0.0076906383,0.0003,1.0
240000,0.43652105,-0.033881508,13.572722937529804,-0.8182943184849817,-0.8182943184849817,0.0076158806,0.04443666,0.0032763605,0.0032802594,0.007275366,0.00029999999,1.0
260000,0.5676283,-0.100674786,11.66015625,-0.7142996144246663,-0.7142996144246663,0.0064460207,0.055267077,0.0027810934,0.0028267042,0.008645012,0.00029999999,1.0
280000,0.51375955,-0.057327896,3.661666282021694,-0.5122194006277666,-0.5122194006277666,0.007355118,0.035674307,0.003134985,0.0031276636,0.0074045486,0.00029999996,1.0
300000,0.44394904,-0.102731645,3.232153569286143,-0.33685325966814295,-0.33685325966814295,0.0061229463,0.04050348,0.002629998,0.0025928295,0.008755224,0.00029999999,1.0
320000,0.52793276,-0.11021928,2.4835820895522387,-0.3237788484864915,-0.3237788484864915,0.0057944586,0.06537963,0.0024798224,0.0024563666,0.008781943,0.00029999999,1.0
340000,0.43187988,-0.06744529,0.539697874582821,-0.08480715180588963,-0.08480715180588963,0.005634252,0.07574607,0.0023783925,0.0024262452,0.007853213,0.00029999999,1.0
360000,0.41357946,-0.03969727,0.21590070446159007,-0.025149929624903273,-0.025149929624903273,0.004268553,0.04790316,0.0018706667,0.0018695537,0.0075833253,0.00029999999,1.0
380000,0.4309635,-0.01028904,0.04874071389744519,-0.00011868810234580114,-0.00011868810234580114,0.002111586,0.0060567865,0.00091478764,0.00090010464,0.0054593296,0.00029999999,1.0
400000,0.30426458,-0.010577444,0.09059676803664589,-0.001964626569591936,-0.001964626569591936,0.0007206677,-0.012953741,0.00030045692,0.00029229186,0.0030709344,0.00029999999,1.0
420000,0.32994324,-0.0045123724,0.13609859528226875,-0.01084951299155227,-0.01084951299155227,0.0006780547,-0.010651716,0.00028533034,0.0002689237,0.002205987,0.00029999999,1.0
440000,0.43490314,-0.0047273613,0.01372050387367674,-0.0006411166342011905,-0.0006411166342011905,0.0004901255,-0.008570228,0.00020406692,0.00020047677,0.0023690034,0.00029999999,1.0
460000,0.35849193,-0.004809074,0.09319157112662525,-0.01464777460558566,-0.01464777460558566,0.00083645945,-0.004980807,0.0003562479,0.00035886336,0.0021467062,0.00029999999,1.0
480000,0.36729422,-0.0068574133,0.09858346094946402,-0.013482769652452242,-0.013482769652452242,0.0011255794,0.0004096768,0.00047695643,0.0004756608,0.0020614134,0.00029999999,1.0
500000,0.32103506,-0.0102174925,0.0008172796263864566,-0.0033815889324362047,-0.0033815889324362047,0.0014027935,0.0013715287,0.00061256957,0.00061477895,0.0027194198,0.00029999999,1.0
