Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
6000,0.35252365,0.0002917508,6.4669867,1405.6666666666667,1405.6666666666667,4922.0,62.506645,0.06877677
7000,0.25920087,0.00029025078,9.652266,None,None,None,77.22721,0.06748485
8000,0.24484716,0.00028875077,10.94617,None,None,None,60.228325,0.06878116
9000,0.20458429,0.00028725076,12.6718445,None,None,None,81.47651,0.0725351
10000,0.26615807,0.00028575075,13.319733,None,None,None,52.957672,0.061953984
11000,0.18324679,0.00028425077,15.089976,2973.222222222222,2973.222222222222,4921.0,74.95549,0.07600406
12000,0.24072544,0.00028275079,16.140629,None,None,None,62.124863,0.068823114
13000,0.22028096,0.00028125077,17.330378,None,None,None,60.451538,0.06508597
14000,0.20551911,0.00027975076,19.389265,None,None,None,70.15684,0.07291343
15000,0.24243863,0.00027825075,20.634077,None,None,None,53.194347,0.070562065
16000,0.14722532,0.00027675077,22.57448,3286.1111111111113,3286.1111111111113,4921.0,67.01117,0.06697599
17000,0.20802177,0.00027525076,24.094238,None,None,None,54.60533,0.07130348
18000,0.16911308,0.00027375077,26.05848,None,None,None,62.070015,0.069081254
19000,0.26443902,0.00027225076,27.63074,None,None,None,50.039444,0.06866145
20000,0.22663242,0.00027075075,28.721727,None,None,None,51.483494,0.07059863
21000,0.16843033,0.00026925074,31.059732,3661.6666666666665,3661.6666666666665,4921.0,53.595562,0.07161883
22000,0.2105328,0.00026775076,31.827911,None,None,None,50.566185,0.06740372
23000,0.13409284,0.00026625075,34.778633,None,None,None,50.637436,0.06978412
24000,0.2511586,0.00026475076,36.297073,None,None,None,37.076973,0.069865346
25000,0.16497529,0.00026325078,38.18651,None,None,None,42.252026,0.06297406
26000,0.17377384,0.0002617508,39.303753,3853.4444444444443,3853.4444444444443,4921.0,45.5997,0.067003235
27000,0.19324811,0.0002602508,40.596252,None,None,None,36.43982,0.070856534
28000,0.18490377,0.00025875078,43.659397,None,None,None,38.68472,0.07575901
29000,0.23422396,0.0002572508,44.64039,None,None,None,33.20499,0.07168271
30000,0.12077741,0.00025575078,47.909073,None,None,None,34.701572,0.06942312
31000,0.17232464,0.00025425077,49.223614,4015.0,4015.0,4921.0,43.078827,0.068249874
32000,0.17235346,0.0002527508,50.512077,None,None,None,27.980953,0.06527174
33000,0.13289557,0.00025125075,51.763943,None,None,None,33.987957,0.06543302
34000,0.18883392,0.00024975077,51.77444,None,None,None,25.268574,0.07136417
35000,0.091998436,0.00024825076,54.564636,None,None,None,31.68012,0.07359647
36000,0.11945758,0.00024675077,54.785866,4083.6666666666665,4083.6666666666665,4921.0,41.642784,0.07280789
37000,0.09820524,0.0002452508,57.38387,None,None,None,28.711445,0.0749434
38000,0.18713523,0.0002437508,57.741356,None,None,None,24.796265,0.06352205
39000,0.10885489,0.0002422508,59.21057,None,None,None,24.396152,0.07475811
40000,0.13522638,0.00024075079,61.0239,None,None,None,22.367298,0.069757804
41000,0.13708022,0.00023925079,61.157112,4251.444444444444,4251.444444444444,4921.0,41.48563,0.06684579
42000,0.097963184,0.00023775079,63.69766,None,None,None,23.099886,0.0696924
43000,0.2239875,0.0002362508,62.18688,None,None,None,17.419624,0.072011545
44000,0.113632746,0.0002347508,64.73338,None,None,None,21.775795,0.067825794
45000,0.10460794,0.0002332508,65.42559,None,None,None,21.215714,0.06779547
46000,0.09714709,0.00023175082,66.48199,4234.333333333333,4234.333333333333,4921.0,39.270573,0.06259173
47000,0.094656676,0.00023025081,67.79775,None,None,None,19.057991,0.06279226
48000,0.15455663,0.0002287508,66.85334,None,None,None,14.735727,0.07373305
49000,0.08232663,0.00022725081,70.24428,None,None,None,19.250637,0.07662466
50000,0.111517586,0.0002257508,69.420654,None,None,None,15.626531,0.068864256
51000,0.1087996,0.00022425079,70.95951,4323.0,4323.0,4921.0,42.077965,0.06835312
52000,0.1247259,0.0002227508,71.47952,None,None,None,15.216309,0.06663458
53000,0.15622553,0.00022125078,71.19116,None,None,None,12.675467,0.07578806
54000,0.08175655,0.0002197508,73.84677,None,None,None,16.256432,0.06917681
