Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
6000,0.5767015,0.0002917508,2.3619142,214.11111111111111,214.11111111111111,4922.0,24.586014,0.0732607
7000,0.5826589,0.00029025078,3.422429,None,None,None,28.976173,0.067672595
8000,0.575377,0.00028875077,3.5169532,None,None,None,27.92375,0.069304004
9000,0.5444661,0.00028725076,5.374254,None,None,None,34.930855,0.07068447
10000,0.45503503,0.00028575075,5.363807,None,None,None,53.07365,0.06867712
11000,0.47273687,0.00028425077,7.513738,1510.3333333333333,1510.3333333333333,4921.0,30.611017,0.06867572
12000,0.5599349,0.00028275079,7.567045,None,None,None,29.074757,0.071148925
13000,0.51392233,0.00028125077,8.535013,None,None,None,34.81718,0.06523568
14000,0.53755176,0.00027975076,9.335946,None,None,None,27.032684,0.065455616
15000,0.44634748,0.00027825075,10.338523,None,None,None,44.183678,0.069415145
16000,0.47424453,0.00027675077,11.532338,1528.5555555555557,1528.5555555555557,4921.0,33.24386,0.06836918
17000,0.4693357,0.00027525076,12.465328,None,None,None,39.190002,0.067578465
18000,0.43616134,0.00027375077,13.691223,None,None,None,40.640156,0.07415804
19000,0.37722626,0.00027225076,14.8884325,None,None,None,47.9999,0.059330598
20000,0.32483605,0.00027075075,16.408346,None,None,None,50.77487,0.06675011
21000,0.39299372,0.00026925074,17.446768,2403.222222222222,2403.222222222222,4921.0,44.664307,0.067363106
22000,0.39686757,0.00026775076,18.911512,None,None,None,46.696728,0.0661171
23000,0.31820112,0.00026625075,20.25305,None,None,None,46.673252,0.06991244
24000,0.27401754,0.00026475076,21.690556,None,None,None,54.12468,0.076217696
25000,0.27997035,0.00026325078,23.49488,None,None,None,45.50982,0.06965283
26000,0.30278674,0.0002617508,24.814312,3079.0,3079.0,4921.0,49.346066,0.061837774
27000,0.2823604,0.0002602508,26.111502,None,None,None,43.442326,0.070134014
28000,0.26423463,0.00025875078,27.845572,None,None,None,46.33931,0.06403203
29000,0.22317974,0.0002572508,29.422829,None,None,None,51.123344,0.06207681
30000,0.22072648,0.00025575078,30.566122,None,None,None,39.850014,0.06679104
31000,0.26658344,0.00025425077,32.020027,3450.1111111111113,3450.1111111111113,4921.0,44.627254,0.07303905
32000,0.22932105,0.0002527508,33.377743,None,None,None,42.18435,0.06462958
33000,0.2168284,0.00025125075,34.84032,None,None,None,37.41375,0.06631711
34000,0.18774776,0.00024975077,36.426987,None,None,None,41.79214,0.07377485
35000,0.2086157,0.00024825076,37.367893,None,None,None,36.98387,0.06909566
36000,0.21292654,0.00024675077,38.5795,3585.0,3585.0,4921.0,41.400963,0.06781432
37000,0.1855158,0.0002452508,40.031227,None,None,None,33.535362,0.07089497
38000,0.19052476,0.0002437508,41.203777,None,None,None,35.7267,0.0692044
39000,0.17035899,0.0002422508,41.965984,None,None,None,33.57679,0.072397344
40000,0.18577427,0.00024075079,42.933575,None,None,None,31.487034,0.067614816
41000,0.20413403,0.00023925079,44.14234,3744.5555555555557,3744.5555555555557,4921.0,41.65924,0.065768525
42000,0.15575849,0.00023775079,45.23079,None,None,None,28.197128,0.06685567
43000,0.16137786,0.0002362508,46.549812,None,None,None,33.96881,0.07458399
44000,0.15846334,0.0002347508,47.27178,None,None,None,25.522562,0.06808818
45000,0.17136303,0.0002332508,48.13023,None,None,None,28.421165,0.068176486
46000,0.16678174,0.00023175082,49.324303,3905.4444444444443,3905.4444444444443,4921.0,37.090286,0.07568328
47000,0.1655326,0.00023025081,50.71794,None,None,None,22.563082,0.07617153
48000,0.14288837,0.0002287508,51.731964,None,None,None,29.940369,0.07140792
49000,0.1509756,0.00022725081,52.15962,None,None,None,24.728455,0.063880436
50000,0.17746557,0.0002257508,52.505913,None,None,None,22.946243,0.065998785
51000,0.16718088,0.00022425079,53.70827,3824.3333333333335,3824.3333333333335,4921.0,40.070805,0.06726613
52000,0.15822275,0.0002227508,54.686512,None,None,None,16.921469,0.06966369
53000,0.1403382,0.00022125078,55.175552,None,None,None,25.881605,0.0654336
54000,0.15148567,0.0002197508,55.773296,None,None,None,19.28523,0.07152186
55000,0.16403665,0.00021825082,56.63185,None,None,None,20.757954,0.06810841
56000,0.13688487,0.0002167508,57.52415,3879.0,3879.0,4921.0,33.894558,0.06609797
57000,0.1345814,0.0002152508,58.497932,None,None,None,20.95213,0.06897747
58000,0.13400254,0.0002137508,58.572216,None,None,None,18.44045,0.07019066
59000,0.12892506,0.0002122508,59.50993,None,None,None,18.545168,0.07199529
60000,0.15804693,0.0002107508,60.47381,None,None,None,16.96322,0.06570305
61000,0.12018968,0.00020925081,61.37188,3988.1111111111113,3988.1111111111113,4921.0,41.72779,0.06497692
62000,0.12790175,0.00020775081,62.09641,None,None,None,19.900082,0.06533912
63000,0.11694476,0.00020625081,62.15162,None,None,None,15.587814,0.06422236
64000,0.15194978,0.0002047508,62.43925,None,None,None,16.178234,0.0707777
65000,0.12998088,0.0002032508,63.27925,None,None,None,15.825063,0.06757453
66000,0.13470048,0.00020175081,63.992283,4035.6666666666665,4035.6666666666665,4921.0,33.886127,0.067931615
67000,0.11090927,0.0002002508,64.51783,None,None,None,20.7695,0.070554495
68000,0.11319157,0.0001987508,64.3058,None,None,None,17.144241,0.06839125
69000,0.13420919,0.00019725082,64.88763,None,None,None,14.0822525,0.07033152
70000,0.12201244,0.0001957508,66.23105,None,None,None,13.3314495,0.06128382
71000,0.1172659,0.00019425081,66.615974,4033.4444444444443,4033.4444444444443,4921.0,46.089886,0.06973293
72000,0.0984832,0.00019275081,67.1242,None,None,None,16.559109,0.066621505
73000,0.11506298,0.00019125082,67.61875,None,None,None,14.212059,0.07440876
74000,0.12335565,0.0001897508,68.00966,None,None,None,12.119132,0.067710534
75000,0.11357643,0.00018825081,69.309906,None,None,None,11.180082,0.06863874
76000,0.10182628,0.00018675081,69.592865,4073.4444444444443,4073.4444444444443,4921.0,38.47824,0.06498331
77000,0.1060233,0.0001852508,69.48,None,None,None,12.877664,0.0708371
78000,0.11420317,0.0001837508,69.66207,None,None,None,11.516816,0.07097755
79000,0.112559125,0.0001822508,70.15537,None,None,None,12.125303,0.06435205
80000,0.09519001,0.00018075081,71.45342,None,None,None,11.217351,0.07312181
81000,0.098291926,0.00017925081,71.55756,4097.0,4097.0,4921.0,47.061512,0.06999157
82000,0.08984438,0.00017775082,71.69216,None,None,None,10.902172,0.074658185
83000,0.11727732,0.00017625082,71.922226,None,None,None,10.685667,0.07066094
84000,0.092766955,0.0001747508,72.56654,None,None,None,10.389265,0.0713682
85000,0.113247514,0.00017325081,73.003624,None,None,None,9.159433,0.07538105
86000,0.09488121,0.00017175081,73.24927,4096.333333333333,4096.333333333333,4921.0,41.034706,0.07642491
87000,0.093468696,0.0001702508,73.73759,None,None,None,9.4094925,0.06622634
88000,0.106896296,0.0001687508,73.659676,None,None,None,10.049256,0.066640705
89000,0.09765988,0.00016725081,75.10506,None,None,None,7.7972107,0.06269917
90000,0.09943423,0.00016575081,75.2831,None,None,None,11.905282,0.07059377
91000,0.09771288,0.0001642508,75.41896,4182.555555555556,4182.555555555556,4921.0,45.289448,0.07110465
92000,0.110561125,0.00016275082,76.17709,None,None,None,7.761691,0.06566986
93000,0.10169732,0.00016125082,75.96512,None,None,None,10.573716,0.06561537
94000,0.09010245,0.00015975082,77.36317,None,None,None,7.516688,0.06976125
95000,0.101026304,0.00015825081,77.31892,None,None,None,12.036939,0.06418667
96000,0.08877733,0.00015675082,76.69364,4168.333333333333,4168.333333333333,4921.0,40.35355,0.06867124
