Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
6000,0.12105718,0.00029835015,25.41166,3349.222222222222,3349.222222222222,4922.0,94.61093,0.0706386
7000,0.11858795,0.00029805017,30.166527,None,None,None,85.41172,0.067820065
8000,0.09526489,0.00029775017,34.33661,None,None,None,82.660034,0.06423436
9000,0.09491847,0.0002974502,36.053726,None,None,None,76.694725,0.07044956
10000,0.08585997,0.00029715017,38.75265,None,None,None,72.81559,0.070135884
11000,0.07131536,0.00029685016,40.89106,4545.888888888889,4545.888888888889,4921.0,77.82642,0.06420547
12000,0.07374222,0.00029655016,42.547943,None,None,None,66.71048,0.06573892
13000,0.06745134,0.00029625016,44.42393,None,None,None,60.91768,0.06861303
14000,0.06927996,0.0002959502,45.868042,None,None,None,59.885952,0.06829267
15000,0.067190886,0.00029565016,47.77747,None,None,None,53.075085,0.065032534
16000,0.06392509,0.00029535018,49.334602,4642.777777777777,4642.777777777777,4921.0,64.18391,0.06376984
17000,0.05531644,0.00029505018,51.061096,None,None,None,49.319435,0.07020507
18000,0.054960754,0.00029475015,52.588947,None,None,None,46.501637,0.07103595
19000,0.048425674,0.00029445018,55.103096,None,None,None,44.17575,0.064998895
20000,0.060891464,0.00029415017,55.69171,None,None,None,41.088875,0.0643709
21000,0.04701428,0.00029385017,57.985176,4662.111111111111,4662.111111111111,4921.0,59.007538,0.06396552
22000,0.0453051,0.00029355017,60.05224,None,None,None,37.00727,0.071497224
23000,0.05264379,0.00029325014,60.63248,None,None,None,33.803238,0.064366065
24000,0.052828256,0.00029295016,61.865887,None,None,None,34.18196,0.06954014
25000,0.04935167,0.00029265016,63.297073,None,None,None,31.910324,0.070391335
26000,0.051184922,0.00029235013,63.95059,4700.111111111111,4700.111111111111,4921.0,50.364513,0.065501906
27000,0.05479298,0.00029205016,64.25452,None,None,None,29.406277,0.06741632
28000,0.051984437,0.00029175016,66.44531,None,None,None,26.649067,0.0731411
29000,0.04686161,0.00029145018,67.24142,None,None,None,27.711325,0.07047841
30000,0.05341097,0.00029115018,67.94449,None,None,None,25.161541,0.0669854
31000,0.048213307,0.00029085015,68.938126,4709.666666666667,4709.666666666667,4921.0,53.23627,0.0730862
32000,0.04226854,0.00029055018,70.80157,None,None,None,23.424135,0.07282391
33000,0.043533303,0.00029025017,71.11546,None,None,None,20.587225,0.07339256
34000,0.0406259,0.00028995017,72.44962,None,None,None,20.529408,0.07039549
35000,0.041076995,0.00028965017,73.86082,None,None,None,19.202736,0.0658564
36000,0.039073806,0.00028935017,74.82874,4765.888888888889,4765.888888888889,4921.0,44.619347,0.073068246
37000,0.041442618,0.00028905016,75.06229,None,None,None,15.955538,0.071502134
38000,0.046430342,0.00028875016,75.96535,None,None,None,15.603895,0.06511345
39000,0.04145957,0.0002884502,77.119736,None,None,None,14.434036,0.06266005
40000,0.045672134,0.00028815016,77.639114,None,None,None,13.857271,0.06548064
41000,0.037876572,0.00028785018,79.45946,4771.222222222223,4771.222222222223,4921.0,51.542492,0.064910635
42000,0.045201555,0.00028755015,79.65613,None,None,None,12.663652,0.07008017
43000,0.04382414,0.00028725015,79.97467,None,None,None,11.311457,0.071015224
44000,0.04595187,0.00028695018,81.01228,None,None,None,10.82674,0.0698881
45000,0.041501388,0.00028665017,82.12765,None,None,None,10.500507,0.07313766
