Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.3855966,26.21212121212121,-0.61827743,-0.3137878708428506,-0.3137878708428506,1.0
2000,1.3857154,28.972972972972972,-0.54265344,-0.33124999259598553,-0.33124999259598553,1.0
3000,1.3856506,18.102040816326532,-0.6115459,-0.24989795319888056,-0.24989795319888056,1.0
4000,1.3856148,17.944444444444443,-0.6033289,-0.15935184087397325,-0.15935184087397325,1.0
5000,1.3855472,22.73170731707317,-0.60525227,-0.27682925692600446,-0.27682925692600446,1.0
6000,1.3855088,28.03846153846154,-0.67064446,-0.25907406669661953,-0.25907406669661953,1.0
7000,1.3856575,34.026315789473685,-0.5607946,-0.45069441977991825,-0.45069441977991825,1.0
8000,1.3855693,21.285714285714285,-0.6333752,-0.17465115769571343,-0.17465115769571343,1.0
9000,1.3856579,16.35,-0.6377651,-0.1904166607496639,-0.1904166607496639,1.0
10000,1.3855901,14.047619047619047,-0.5898372,-0.13429686703602783,-0.13429686703602783,1.0
11000,1.381759,50.11764705882353,-0.51754296,-0.5770588173147511,-0.5770588173147511,1.0
12000,1.3805624,75.6923076923077,-0.44113043,-1.2583332892972976,-1.2583332892972976,1.0
13000,1.3802695,71.61538461538461,-0.4593116,-1.2182142354681023,-1.2182142354681023,1.0
14000,1.3805132,59.75,-0.4260589,-1.5259374361485243,-1.5259374361485243,1.0
15000,1.3803593,62.285714285714285,-0.46719456,-1.4053570793808572,-1.4053570793808572,1.0
16000,1.3804108,109.9090909090909,-0.43332854,-1.375454481691122,-1.375454481691122,1.0
17000,1.3812166,71.9375,-0.39636025,-1.264666646036009,-1.264666646036009,1.0
18000,1.3808323,55.94117647058823,-0.44031018,-1.2426470125861027,-1.2426470125861027,1.0
19000,1.3810391,49.166666666666664,-0.40964097,-1.1783332956644397,-1.1783332956644397,1.0
20000,1.3800186,72.85714285714286,-0.44979498,-1.8396665717164675,-1.8396665717164675,1.0
21000,1.3817204,46.0,-0.45190823,-0.9729999585077167,-0.9729999585077167,1.0
22000,1.3825823,209.75,-0.47761345,-2.3199998885393143,-2.3199998885393143,1.0
23000,1.3826281,138.57142857142858,-0.5190446,-1.7907141926033157,-1.7907141926033157,1.0
24000,1.3821237,139.5,-0.5304777,-1.6949998959898949,-1.6949998959898949,1.0
25000,1.3832757,240.625,-0.51169217,-1.6806249268120155,-1.6806249268120155,1.0
26000,1.3824844,115.0,-0.4555322,-1.589999943971634,-1.589999943971634,1.0
27000,1.3827031,263.42857142857144,-0.48193398,-2.2371427257146155,-2.2371427257146155,1.0
28000,1.3822869,114.57142857142857,-0.56647664,-1.563571356769119,-1.563571356769119,1.0
29000,1.3812494,250.25,-0.5340437,-3.1999998688697815,-3.1999998688697815,1.0
30000,1.3817987,269.3333333333333,-0.43042672,-2.4462499041110277,-2.4462499041110277,1.0
31000,1.3784575,459.0,-0.440715,-3.497499816119671,-3.497499816119671,1.0
32000,1.3698913,497.0,-0.5182925,-2.0249998159706593,-2.0249998159706593,1.0
33000,1.3661408,332.0,-0.5756168,-1.7699998843794067,-1.7699998843794067,1.0
34000,1.3720493,486.5,-0.5617331,-1.5049999449402094,-1.5049999449402094,1.0
35000,1.3707325,498.0,-0.5106313,-1.6949998959898949,-1.6949998959898949,1.0
36000,1.3659569,496.5,-0.5191337,-1.9974998645484447,-1.9974998645484447,1.0
37000,1.3703058,499.0,-0.53682894,-0.7399999685585499,-0.7399999685585499,1.0
38000,1.371718,349.6666666666667,-0.5236146,-2.0049998909235,-2.0049998909235,1.0
39000,1.3657849,362.0,-0.53818196,-1.7899999236688018,-1.7899999236688018,1.0
40000,1.3725393,498.0,-0.55380183,-0.7499999012798071,-0.7499999012798071,1.0
41000,1.368015,494.5,-0.5176141,-0.46249995194375515,-0.46249995194375515,1.0
42000,1.348425,354.5,-0.4341488,-1.1249999441206455,-1.1249999441206455,1.0
43000,1.3531109,252.0,-0.47196716,0.7849999517202377,0.7849999517202377,1.0
44000,1.3528699,340.6,-0.48307768,-0.3299999857321382,-0.3299999857321382,1.0
45000,1.3547876,372.0,-0.4580431,None,None,1.0
46000,1.3545527,405.0,-0.44989592,-0.8949999645352363,-0.8949999645352363,1.0
47000,1.3499823,None,-0.4396302,None,None,1.0
48000,1.3546671,499.0,-0.43809578,-0.39000003319233656,-0.39000003319233656,1.0
49000,1.3592472,None,-0.43090647,None,None,1.0
50000,1.3544127,499.0,-0.4536987,-0.2549999877810478,-0.2549999877810478,1.0
51000,1.3513513,None,-0.47918314,None,None,1.0
52000,1.3332112,418.0,-0.41301003,0.3459999792277813,0.3459999792277813,1.0
53000,1.3253042,None,-0.3908521,None,None,1.0
54000,1.3314103,475.25,-0.38675207,0.8737499425187707,0.8737499425187707,1.0
55000,1.3279517,None,-0.3798073,None,None,1.0
56000,1.3327034,351.3333333333333,-0.37758785,-0.43666664386789006,-0.43666664386789006,1.0
57000,1.330828,None,-0.37400317,None,None,1.0
