Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.3860166,-0.21856748,760.0,-14.649999260902405,-14.649999260902405,1.0
4000,1.3860047,-0.1709744,None,None,None,1.0
5000,1.3860606,-0.22216144,1170.0,-30.469998612999916,-30.469998612999916,1.0
6000,1.3860866,-0.17212602,769.0,-20.999998919665813,-20.999998919665813,1.0
7000,1.3860959,-0.09527801,None,None,None,1.0
8000,1.3861207,-0.21428281,1229.5,-26.62499824911356,-26.62499824911356,1.0
9000,1.3861248,-0.13402615,None,-10.124999642372131,-10.124999642372131,1.0
10000,1.3861216,-0.17327234,499.0,None,None,1.0
11000,1.3835878,-0.22945206,1479.0,-23.7549983933568,-23.7549983933568,1.0
12000,1.3802704,-0.20152205,None,None,None,1.0
13000,1.3794692,-0.22274664,None,None,None,1.0
14000,1.379754,-0.18610868,None,None,None,1.0
15000,1.378781,-0.16274276,None,None,None,1.0
16000,1.3805515,-0.23064941,None,None,None,1.0
17000,1.379902,-0.16123223,None,None,None,1.0
18000,1.3807081,-0.11922045,None,None,None,1.0
19000,1.3780468,-0.24223572,None,None,None,1.0
20000,1.3800173,-0.17558368,None,None,None,1.0
21000,1.3770745,-0.26668167,None,None,None,1.0
22000,1.3727443,-0.32258368,None,None,None,1.0
23000,1.3676484,-0.18061137,3629.0,-30.089997954666615,-30.089997954666615,1.0
24000,1.3752178,-0.12983064,None,None,None,1.0
25000,1.3708506,-0.24902394,4794.5,-53.97749639675021,-53.97749639675021,1.0
26000,1.3767294,-0.17819387,None,None,None,1.0
27000,1.3643277,-0.20848782,534.0,-0.9699999429285526,-0.9699999429285526,1.0
28000,1.3726408,-0.27270848,None,None,None,1.0
29000,1.371115,-0.28809327,None,None,None,1.0
30000,1.373405,-0.19968165,819.0,-10.364999204874039,-10.364999204874039,1.0
31000,1.3714455,-0.2191818,1264.0,-28.319998428225517,-28.319998428225517,1.0
32000,1.36974,-0.30544236,5309.0,-40.38749751262367,-40.38749751262367,1.0
33000,1.3633198,-0.27703795,1029.0,-11.339999292045832,-11.339999292045832,1.0
34000,1.3697408,-0.24592552,499.0,0.4499999610707164,0.4499999610707164,1.0
35000,1.3714068,-0.32078257,499.0,-4.664999717846513,-4.664999717846513,1.0
36000,1.3712299,-0.27985132,734.0,-11.237499371170998,-11.237499371170998,1.0
37000,1.3705275,-0.20473292,499.0,-0.6149999797344208,-0.6149999797344208,1.0
38000,1.3704809,-0.21958423,499.0,0.1199999749660492,0.1199999749660492,1.0
39000,1.3611884,-0.22768961,499.0,-4.404999794438481,-4.404999794438481,1.0
