Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,-0.12321911,1.3862022,760.0,-38.35999858379364,-38.35999858379364,1.0
4000,-0.14934473,1.386193,None,None,None,1.0
5000,-0.12630697,1.3861982,1170.0,-57.624997437000275,-57.624997437000275,1.0
6000,-0.07052283,1.3861761,769.0,-33.02499881014228,-33.02499881014228,1.0
7000,-0.108391225,1.3861623,None,None,None,1.0
8000,-0.16227275,1.3861692,1229.5,-68.32999603450298,-68.32999603450298,1.0
9000,-0.14414328,1.3861976,None,-29.509999752044678,-29.509999752044678,1.0
10000,-0.13702047,1.3861748,499.0,None,None,1.0
11000,-0.28537586,1.3836814,1479.0,-61.51500014960766,-61.51500014960766,1.0
12000,-0.20939364,1.3791494,None,None,None,1.0
13000,-0.23467791,1.3775406,None,None,None,1.0
14000,-0.22502604,1.3784109,None,None,None,1.0
15000,-0.23153499,1.3758173,None,None,None,1.0
16000,-0.23792212,1.379163,None,None,None,1.0
17000,-0.27128336,1.3768204,None,None,None,1.0
18000,-0.25721055,1.3757654,None,None,None,1.0
19000,-0.2457649,1.3761106,None,None,None,1.0
20000,-0.20350964,1.378165,None,None,None,1.0
21000,-0.3244506,1.374092,None,None,None,1.0
22000,-0.24054348,1.3747711,None,None,None,1.0
23000,-0.30018649,1.3651773,3629.0,-75.97499556094408,-75.97499556094408,1.0
24000,-0.27426952,1.3740479,None,None,None,1.0
25000,-0.26893452,1.3672824,4794.5,-92.03249529004097,-92.03249529004097,1.0
26000,-0.2533967,1.3738533,None,None,None,1.0
27000,-0.30975828,1.3665522,534.0,-8.117499522864819,-8.117499522864819,1.0
28000,-0.38921136,1.3657894,None,None,None,1.0
29000,-0.37630725,1.3690152,None,None,None,1.0
30000,-0.3342229,1.3703804,819.0,-15.63999879360199,-15.63999879360199,1.0
31000,-0.31018814,1.3680679,1264.0,-27.53499824553728,-27.53499824553728,1.0
32000,-0.26327872,1.3664062,5309.0,-42.11249707080424,-42.11249707080424,1.0
33000,-0.34715518,1.3594844,1029.0,-5.4374995697289705,-5.4374995697289705,1.0
34000,-0.50506765,1.3667678,499.0,-12.079999208450317,-12.079999208450317,1.0
35000,-0.5222955,1.3651087,499.0,-7.292499531060457,-7.292499531060457,1.0
36000,-0.5234113,1.3647548,734.0,-12.294999338686466,-12.294999338686466,1.0
37000,-0.55958533,1.3651478,499.0,-11.624999284744263,-11.624999284744263,1.0
38000,-0.59220004,1.3632725,499.0,-11.889999210834503,-11.889999210834503,1.0
39000,-0.4686695,1.3558853,499.0,-11.73999935388565,-11.73999935388565,1.0
40000,-0.36712003,1.3716811,524.0,-1.4899999126791954,-1.4899999126791954,1.0
41000,-0.38065505,1.3655404,539.0,-5.5749997198581696,-5.5749997198581696,1.0
42000,-0.38332307,1.3487762,499.0,-5.974999651312828,-5.974999651312828,1.0
43000,-0.45806128,1.3614168,499.0,-6.859999418258667,-6.859999418258667,1.0
44000,-0.3409289,1.352364,555.6666666666666,-4.103333065907161,-4.103333065907161,1.0
45000,-0.4221127,1.3662052,None,None,None,1.0
46000,-0.55395633,1.3511497,551.5,-3.64499978069216,-3.64499978069216,1.0
47000,-0.8527338,1.3553975,None,None,None,1.0
48000,-0.7804878,1.343719,499.0,-11.567499324679375,-11.567499324679375,1.0
49000,-0.5677378,1.363008,None,None,None,1.0
50000,-0.4397459,1.352025,499.0,-6.267499642446637,-6.267499642446637,1.0
51000,-0.31255043,1.3599001,None,None,None,1.0
52000,-0.43728256,1.3476021,499.0,-3.4174998216331005,-3.4174998216331005,1.0
53000,-0.4788974,1.3585807,None,None,None,1.0
54000,-0.5962885,1.3489245,499.0,-6.70249954611063,-6.70249954611063,1.0
55000,-0.7548045,1.357795,None,None,None,1.0
56000,-0.71226,1.345928,499.0,-5.669999633915722,-5.669999633915722,1.0
57000,-0.784238,1.3566161,None,None,None,1.0
58000,-0.63915336,1.3510683,499.0,-11.569999262690544,-11.569999262690544,1.0
59000,-0.328592,1.3570075,None,None,None,1.0
60000,-0.31472778,1.3468345,499.0,-3.2524997629225254,-3.2524997629225254,1.0
61000,-0.24958122,1.3534856,None,None,None,1.0
62000,-0.33775696,1.3465419,499.0,-0.16249996796250343,-0.16249996796250343,1.0
63000,-0.4445765,1.3522314,None,None,None,1.0
64000,-0.4783681,1.3423768,499.0,-3.624999758787453,-3.624999758787453,1.0
65000,-0.6860774,1.3528161,None,None,None,1.0
66000,-0.63245904,1.3467574,499.0,-5.777499638497829,-5.777499638497829,1.0
67000,-0.7192557,1.3449821,None,None,None,1.0
68000,-0.583256,1.3427075,499.0,-5.827499728649855,-5.827499728649855,1.0
69000,-0.34464404,1.3541112,None,None,None,1.0
70000,-0.34673226,1.3379756,499.0,-3.1074997959658504,-3.1074997959658504,1.0
71000,-0.2364587,1.356273,None,None,None,1.0
72000,-0.33681637,1.343764,499.0,0.3899999959394336,0.3899999959394336,1.0
