Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.3861787,20.29787234042553,-0.583463,-0.2884782491778226,-0.2884782491778226,1.0
2000,1.386178,21.22222222222222,-0.581721,-0.22577776652243403,-0.22577776652243403,1.0
3000,1.386205,21.026315789473685,-0.5436014,-0.32653844110572183,-0.32653844110572183,1.0
4000,1.3861781,25.8,-0.56053156,-0.4263414371213535,-0.4263414371213535,1.0
5000,1.3861939,19.382978723404257,-0.52850085,-0.2260869494639337,-0.2260869494639337,1.0
6000,1.3861588,18.754716981132077,-0.5904492,-0.27583332301151975,-0.27583332301151975,1.0
7000,1.3861626,15.80952380952381,-0.5841379,-0.1785483845479546,-0.1785483845479546,1.0
8000,1.3861842,17.84,-0.56511265,-0.2119999935477972,-0.2119999935477972,1.0
9000,1.386179,20.8125,-0.58304685,-0.23874998645624146,-0.23874998645624146,1.0
10000,1.3861885,16.089285714285715,-0.6037711,-0.21245613310224654,-0.21245613310224654,1.0
11000,1.3810581,34.73076923076923,-0.43546772,-0.47538459841878367,-0.47538459841878367,1.0
12000,1.3786639,86.375,-0.46103355,-1.1381249795667827,-1.1381249795667827,1.0
13000,1.3772495,80.4,-0.45979065,-1.0853333053489527,-1.0853333053489527,1.0
14000,1.3798378,68.41176470588235,-0.43962365,-1.2082352522103226,-1.2082352522103226,1.0
15000,1.3806905,67.13333333333334,-0.41975343,-1.0321428238946413,-1.0321428238946413,1.0
16000,1.3791561,64.77777777777777,-0.43527716,-1.0809999546036124,-1.0809999546036124,1.0
17000,1.3807515,80.86666666666666,-0.37872174,-0.9576666174456477,-0.9576666174456477,1.0
18000,1.381312,45.36,-0.39956194,-0.8603999721258879,-0.8603999721258879,1.0
19000,1.3811946,54.9375,-0.39135486,-1.2996874435339123,-1.2996874435339123,1.0
20000,1.3797596,57.84615384615385,-0.4098669,-1.1188461072026537,-1.1188461072026537,1.0
21000,1.3805125,124.2,-0.424798,-1.571499919705093,-1.571499919705093,1.0
22000,1.3778489,227.0,-0.47748858,-2.2899998500943184,-2.2899998500943184,1.0
23000,1.3789124,292.25,-0.52472675,-3.3337497860193253,-3.3337497860193253,1.0
24000,1.3782127,179.0,-0.5884771,-2.2949998900294304,-2.2949998900294304,1.0
25000,1.380737,189.16666666666666,-0.4760427,-1.0241666330645482,-1.0241666330645482,1.0
26000,1.3811288,277.75,-0.4849165,-3.5066664814949036,-3.5066664814949036,1.0
27000,1.3785439,166.0,-0.50745463,-2.2409998372197153,-2.2409998372197153,1.0
28000,1.3797976,236.5,-0.5523198,-3.7774998173117638,-3.7774998173117638,1.0
29000,1.3786453,417.3333333333333,-0.53704435,-4.466666373113791,-4.466666373113791,1.0
30000,1.3781091,210.0,-0.5264305,-3.0299998909235,-3.0299998909235,1.0
31000,1.3785282,268.0,-0.508225,-2.4316665530204773,-2.4316665530204773,1.0
32000,1.3682107,490.0,-0.5097637,-4.072499638423324,-4.072499638423324,1.0
33000,1.3693633,334.0,-0.44306248,-2.418333242336909,-2.418333242336909,1.0
34000,1.373862,332.3333333333333,-0.46098033,-1.5666665621101856,-1.5666665621101856,1.0
