Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
7000,-0.13117255,1.3862166,1740.0,-33.909997762180865,-33.909997762180865,1.0
8000,-0.13056019,1.3862101,None,None,None,1.0
9000,-0.19906929,1.3862216,None,None,None,1.0
10000,-0.09121135,1.3861963,None,None,None,1.0
11000,-0.18775408,1.3814936,989.0,-17.254999235272408,-17.254999235272408,1.0
12000,-0.2163434,1.3817618,None,None,None,1.0
13000,-0.15397237,1.3826103,3190.0,-61.05499702319503,-61.05499702319503,1.0
14000,-0.22631465,1.3803586,None,None,None,1.0
15000,-0.1694867,1.3803278,None,None,None,1.0
16000,-0.21940154,1.3815689,None,None,None,1.0
17000,-0.28420174,1.3808706,None,None,None,1.0
18000,-0.16798407,1.380098,None,None,None,1.0
19000,-0.17410877,1.3791003,None,None,None,1.0
20000,-0.26265904,1.3796102,None,None,None,1.0
21000,-0.31144273,1.3805665,None,None,None,1.0
22000,-0.2532812,1.3775785,None,None,None,1.0
23000,-0.369344,1.3715761,5655.0,-75.13499527424574,-75.13499527424574,1.0
24000,-0.5235907,1.3709434,None,None,None,1.0
25000,-0.33665463,1.3748341,2019.0,-35.85499753803015,-35.85499753803015,1.0
26000,-0.35652038,1.375036,None,-15.969999015331268,-15.969999015331268,1.0
27000,-0.24428609,1.3780718,779.0,-13.74999925494194,-13.74999925494194,1.0
28000,-0.18924743,1.3785162,None,None,None,1.0
29000,-0.25433123,1.3777193,989.0,-2.7849997133016586,-2.7849997133016586,1.0
30000,-0.2712671,1.3767389,None,None,None,1.0
31000,-0.23041618,1.3744329,2594.0,-41.61999728158116,-41.61999728158116,1.0
32000,-0.22496548,1.37486,1729.0,-12.89749918691814,-12.89749918691814,1.0
33000,-0.3732646,1.364102,1009.0,-8.417499536648393,-8.417499536648393,1.0
34000,-0.3164348,1.371205,499.0,-5.049999572336674,-5.049999572336674,1.0
35000,-0.40838563,1.3685544,514.0,-6.58999958448112,-6.58999958448112,1.0
36000,-0.30077994,1.3710946,499.0,-10.939999282360077,-10.939999282360077,1.0
37000,-0.34499273,1.3732436,499.0,-5.052499670535326,-5.052499670535326,1.0
38000,-0.29519436,1.3722621,499.0,-5.694999650120735,-5.694999650120735,1.0
39000,-0.3602919,1.3716083,499.0,-7.1074995920062065,-7.1074995920062065,1.0
40000,-0.39178124,1.3727103,499.0,-10.059999167919159,-10.059999167919159,1.0
41000,-0.31229517,1.3722444,499.0,-6.162499584257603,-6.162499584257603,1.0
42000,-0.36589754,1.3644862,499.0,-10.204999148845673,-10.204999148845673,1.0
43000,-0.28103924,1.3765004,499.0,-1.1099999397993088,-1.1099999397993088,1.0
44000,-0.29285586,1.369421,519.0,-4.07499972358346,-4.07499972358346,1.0
45000,-0.4185773,1.3669504,719.0,-1.4049999359995127,-1.4049999359995127,1.0
46000,-0.39199227,1.3698497,499.0,-5.912499565631151,-5.912499565631151,1.0
47000,-0.26968187,1.372454,499.0,-2.0799998492002487,-2.0799998492002487,1.0
48000,-0.32411528,1.3645704,612.3333333333334,-2.054999933888515,-2.054999933888515,1.0
49000,-0.4447558,1.3732507,None,None,None,1.0
50000,-0.42750666,1.3642462,592.3333333333334,-3.886666391044855,-3.886666391044855,1.0
51000,-0.44018456,1.3696249,679.0,-7.669999659061432,-7.669999659061432,1.0
52000,-0.4371905,1.3731116,499.0,-4.1483330602447195,-4.1483330602447195,1.0
53000,-0.36688316,1.3655825,499.0,-6.6799994148314,-6.6799994148314,1.0
54000,-0.31948593,1.3657111,499.0,-5.363333001732826,-5.363333001732826,1.0
55000,-0.2844307,1.366863,499.0,-1.3199999555945396,-1.3199999555945396,1.0
56000,-0.2821415,1.3674957,499.0,-2.7399998605251312,-2.7399998605251312,1.0
57000,-0.36945096,1.3671715,499.0,-0.17999999225139618,-0.17999999225139618,1.0
58000,-0.41756466,1.3644103,499.0,-3.0266665245095887,-3.0266665245095887,1.0
59000,-0.3281595,1.3698026,499.0,-9.519999325275421,-9.519999325275421,1.0
60000,-0.27764383,1.3685467,499.0,-2.698333108176788,-2.698333108176788,1.0
61000,-0.30238897,1.3654212,499.0,-0.5799999535083771,-0.5799999535083771,1.0
62000,-0.3141599,1.3624749,499.0,-0.5066666379570961,-0.5066666379570961,1.0
63000,-0.2508051,1.3586333,499.0,-2.594999823719263,-2.594999823719263,1.0
64000,-0.32181194,1.3629923,499.0,-1.284999946753184,-1.284999946753184,1.0
65000,-0.37111744,1.3663831,499.0,-0.40999993309378624,-0.40999993309378624,1.0
66000,-0.47724074,1.3500471,499.0,-2.479999883721272,-2.479999883721272,1.0
67000,-0.47744745,1.3659922,499.0,-5.884999550879002,-5.884999550879002,1.0
68000,-0.42898723,1.3602327,499.0,-2.9616664548714957,-2.9616664548714957,1.0
69000,-0.38608888,1.3648403,499.0,0.19999999552965164,0.19999999552965164,1.0
70000,-0.34374908,1.362319,499.0,-2.098333165049553,-2.098333165049553,1.0
71000,-0.37930682,1.3652954,499.0,0.01999998465180397,0.01999998465180397,1.0
72000,-0.47993934,1.353161,499.0,-2.778333126256863,-2.778333126256863,1.0
73000,-0.29837885,1.35932,None,-4.399999633431435,-4.399999633431435,1.0
74000,-0.37512627,1.353015,499.0,-0.6816666250427564,-0.6816666250427564,1.0
75000,-0.41547775,1.3597013,499.0,-3.799999736249447,-3.799999736249447,1.0
76000,-0.50252396,1.3327738,499.0,-0.06166664386789004,-0.06166664386789004,1.0
77000,-0.5095661,1.3442905,499.0,-8.339999437332153,-8.339999437332153,1.0
78000,-0.30168554,1.3456938,499.0,-1.5499999647339184,-1.5499999647339184,1.0
79000,-0.2642242,1.3613563,499.0,-5.679999575018883,-5.679999575018883,1.0
80000,-0.28511533,1.3498182,499.0,-1.1033333068092663,-1.1033333068092663,1.0
81000,-0.25090903,1.3437461,499.0,0.8699999526143074,0.8699999526143074,1.0
82000,-0.39933264,1.3294177,499.0,-0.9616666585206985,-0.9616666585206985,1.0
83000,-0.38330224,1.3180809,499.0,2.2049995958805084,2.2049995958805084,1.0
84000,-0.2787825,1.3393993,499.0,-2.4033332044879594,-2.4033332044879594,1.0
85000,-0.24215627,1.35143,499.0,2.0499998331069946,2.0499998331069946,1.0
86000,-0.32599872,1.3519675,499.0,-1.5033332395056884,-1.5033332395056884,1.0
87000,-0.37813652,1.3481187,499.0,0.9899999089539051,0.9899999089539051,1.0
88000,-0.41966417,1.2903196,499.0,-2.829999795804421,-2.829999795804421,1.0
89000,-0.42571723,1.3446584,499.0,-0.10999998450279236,-0.10999998450279236,1.0
90000,-0.3932674,1.3090677,499.0,-2.2366665502389274,-2.2366665502389274,1.0
91000,-0.33837536,1.3454347,499.0,0.25999998301267624,0.25999998301267624,1.0
92000,-0.44952238,1.3119311,499.0,-4.006666338692109,-4.006666338692109,1.0
93000,-0.51582485,1.2997242,499.0,-2.829999953508377,-2.829999953508377,1.0
94000,-0.37724203,1.3099726,499.0,1.4449998289346695,1.4449998289346695,1.0
95000,-0.29166126,1.328278,499.0,-0.37000006437301636,-0.37000006437301636,1.0
96000,-0.24402653,1.3307674,499.0,0.9399999591211478,0.9399999591211478,1.0
97000,-0.19963177,1.3446244,499.0,0.4999999441206455,0.4999999441206455,1.0
98000,-0.29623705,1.317575,499.0,0.3799999381105105,0.3799999381105105,1.0
99000,-0.45959944,1.3096355,499.0,1.4199998825788498,1.4199998825788498,1.0
100000,-0.4164374,1.3191155,499.0,-2.534999892115593,-2.534999892115593,1.0
101000,-0.42469418,1.3133817,499.0,-3.7349997982382774,-3.7349997982382774,1.0
102000,-0.31536132,1.3044422,499.0,-0.2766666462024053,-0.2766666462024053,1.0
103000,-0.34243768,1.279403,499.0,-0.6499999910593033,-0.6499999910593033,1.0
104000,-0.2965892,1.2968562,499.0,1.0366665224234264,1.0366665224234264,1.0
105000,-0.24603009,1.3140982,499.0,-2.47999981790781,-2.47999981790781,1.0
106000,-0.1342854,1.3001716,499.0,2.199999876320362,2.199999876320362,1.0
107000,-0.10747577,1.3078883,499.0,4.309999734163284,4.309999734163284,1.0
108000,-0.30183247,1.2997674,499.0,2.4999998112519584,2.4999998112519584,1.0
109000,-0.3644286,1.2938242,499.0,2.894999712705612,2.894999712705612,1.0
110000,-0.22198884,1.2957251,499.0,-1.769999870409568,-1.769999870409568,1.0
111000,-0.24346624,1.3252621,499.0,2.9199997931718826,2.9199997931718826,1.0
112000,-0.19769481,1.3145401,499.0,1.5833332563440006,1.5833332563440006,1.0
113000,-0.2077679,1.3113865,499.0,2.349999815225601,2.349999815225601,1.0
114000,-0.14446019,1.2804006,499.0,2.3466665611291924,2.3466665611291924,1.0
115000,-0.079754815,1.2786112,499.0,1.3749999701976776,1.3749999701976776,1.0
116000,-0.15648668,1.2544698,499.0,1.7183331400156021,1.7183331400156021,1.0
117000,-0.2919492,1.2260679,499.0,-0.9699999541044235,-0.9699999541044235,1.0
118000,-0.22452413,1.2295789,499.0,2.3583330710728965,2.3583330710728965,1.0
119000,-0.3541073,1.2534366,499.0,0.984999917447567,0.984999917447567,1.0
120000,-0.23145887,1.2111561,499.0,1.023333191871643,1.023333191871643,1.0
121000,-0.19378757,1.2630725,499.0,5.3799996972084045,5.3799996972084045,1.0
