Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
7000,-0.023215462,1.3862587,1740.0,-111.73999494314194,-111.73999494314194,1.0
8000,-0.04416162,1.3862618,None,None,None,1.0
9000,-0.04957854,1.3862592,None,None,None,1.0
10000,-0.05576021,1.3862628,None,None,None,1.0
11000,-0.23898648,1.3795054,989.0,-66.1049993634224,-66.1049993634224,1.0
12000,-0.21163069,1.3801357,None,None,None,1.0
13000,-0.251076,1.3764786,3190.0,-158.7549946308136,-158.7549946308136,1.0
14000,-0.24860436,1.3738177,None,None,None,1.0
15000,-0.26314127,1.3779088,None,None,None,1.0
16000,-0.22151445,1.3785217,None,None,None,1.0
17000,-0.26364478,1.3770207,None,None,None,1.0
18000,-0.30687964,1.3736272,None,None,None,1.0
19000,-0.25525403,1.3754101,None,None,None,1.0
20000,-0.21216756,1.3768612,None,None,None,1.0
21000,-0.23302376,1.3755226,None,None,None,1.0
22000,-0.28491402,1.3709664,None,None,None,1.0
23000,-0.20938082,1.3675339,5655.0,-153.66499341093004,-153.66499341093004,1.0
24000,-0.1947724,1.3716662,None,None,None,1.0
25000,-0.25862646,1.3720495,2019.0,-66.4949955791235,-66.4949955791235,1.0
26000,-0.21241026,1.3738446,None,-2.3749999068677425,-2.3749999068677425,1.0
27000,-0.27847427,1.3688648,None,-4.354999713599682,-4.354999713599682,1.0
28000,-0.26398182,1.3715338,None,None,None,1.0
29000,-0.32437938,1.3705539,989.0,-11.839999243617058,-11.839999243617058,1.0
30000,-0.33872223,1.3664385,None,None,None,1.0
31000,-0.20833634,1.3718195,2594.0,-63.64499653875828,-63.64499653875828,1.0
32000,-0.26840746,1.367376,1729.0,-10.482499366626143,-10.482499366626143,1.0
33000,-0.45820573,1.3552291,1009.0,-8.969999592751265,-8.969999592751265,1.0
34000,-0.574555,1.366992,499.0,-11.034999132156372,-11.034999132156372,1.0
35000,-0.53503895,1.3645797,514.0,-11.954999253153801,-11.954999253153801,1.0
36000,-0.35654122,1.3655788,499.0,-6.54999952018261,-6.54999952018261,1.0
37000,-0.4402401,1.3612226,499.0,-6.384999519214034,-6.384999519214034,1.0
38000,-0.4874785,1.3635801,499.0,-6.234999757260084,-6.234999757260084,1.0
39000,-0.4158524,1.361286,499.0,-10.944999247789383,-10.944999247789383,1.0
40000,-0.29190043,1.3623456,499.0,-0.5199999436736107,-0.5199999436736107,1.0
41000,-0.54799616,1.3615513,499.0,-6.314999617636204,-6.314999617636204,1.0
42000,-0.6815421,1.3506246,499.0,-6.0149995516985655,-6.0149995516985655,1.0
43000,-0.8079187,1.3557984,499.0,-11.049999475479126,-11.049999475479126,1.0
44000,-0.7596418,1.3518069,519.0,-5.879999533295631,-5.879999533295631,1.0
45000,-0.5895163,1.3583063,719.0,-17.049998998641968,-17.049998998641968,1.0
46000,-0.54142034,1.3564186,499.0,-6.449999647215009,-6.449999647215009,1.0
47000,-0.62091756,1.356887,499.0,-11.839999258518219,-11.839999258518219,1.0
48000,-0.68790007,1.3438691,612.3333333333334,-7.7999995450178785,-7.7999995450178785,1.0
49000,-0.44964528,1.3556526,None,None,None,1.0
50000,-0.42384353,1.349349,592.3333333333334,-6.489999615897735,-6.489999615897735,1.0
51000,-0.40288493,1.357374,679.0,-1.219999860972166,-1.219999860972166,1.0
52000,-0.8442908,1.3445458,499.0,-4.556666288524866,-4.556666288524866,1.0
53000,-0.68813527,1.3553863,499.0,-11.559999227523804,-11.559999227523804,1.0
54000,-0.494066,1.3499229,499.0,-7.556666200359662,-7.556666200359662,1.0
55000,-0.5334301,1.3550812,499.0,-0.759999942034483,-0.759999942034483,1.0
56000,-0.5901521,1.3560528,499.0,-8.136666029691696,-8.136666029691696,1.0
57000,-0.61932033,1.3538464,499.0,-0.5699999630451202,-0.5699999630451202,1.0
58000,-0.5908834,1.3521798,499.0,-8.039999436587095,-8.039999436587095,1.0
59000,-0.49532706,1.3581176,499.0,-11.81999933719635,-11.81999933719635,1.0
60000,-0.59662575,1.353662,499.0,-4.209999781101942,-4.209999781101942,1.0
61000,-0.6032523,1.3564314,499.0,-11.609999179840088,-11.609999179840088,1.0
62000,-0.8118892,1.3502002,499.0,-8.133332831164202,-8.133332831164202,1.0
63000,-0.8933597,1.3460674,499.0,-11.699999332427979,-11.699999332427979,1.0
64000,-0.76134753,1.347001,499.0,-6.379999564339717,-6.379999564339717,1.0
65000,-0.6313982,1.3489877,499.0,-1.0199999287724495,-1.0199999287724495,1.0
66000,-0.4730786,1.3481612,499.0,-8.0466661353906,-8.0466661353906,1.0
67000,-0.63358206,1.34652,499.0,0.09999993443489075,0.09999993443489075,1.0
68000,-0.71892476,1.3463248,499.0,-3.8899996727705,-3.8899996727705,1.0
69000,-0.82708704,1.3605077,499.0,-11.449999451637268,-11.449999451637268,1.0
70000,-0.5726098,1.3451824,499.0,-9.913332601388296,-9.913332601388296,1.0
71000,-0.5423985,1.3543506,499.0,-0.5000000037252903,-0.5000000037252903,1.0
72000,-0.57896096,1.3435441,499.0,-4.026666397849719,-4.026666397849719,1.0
73000,-0.44435486,1.3469845,None,-11.589999437332153,-11.589999437332153,1.0
74000,-0.32703567,1.3389378,499.0,-0.08999997625748317,-0.08999997625748317,1.0
75000,-0.7326033,1.3633592,499.0,-0.40999994799494743,-0.40999994799494743,1.0
76000,-0.899342,1.3421649,499.0,-2.639999876419703,-2.639999876419703,1.0
77000,-0.78599775,1.3475046,499.0,-9.879999339580536,-9.879999339580536,1.0
78000,-0.8105621,1.3486508,499.0,-4.959999640782674,-4.959999640782674,1.0
79000,-1.1095642,1.3562428,499.0,-10.779999494552612,-10.779999494552612,1.0
80000,-0.76869214,1.3416108,499.0,-6.229999586939812,-6.229999586939812,1.0
81000,-0.746568,1.3445511,499.0,0.7899999395012856,0.7899999395012856,1.0
82000,-0.7494589,1.3386018,499.0,-5.196666264285644,-5.196666264285644,1.0
