Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,-0.53519624,0.68459076,380.0,9.504999279975891,9.504999279975891,1.0
3000,-0.35971877,0.6856193,604.6666666666666,12.989999191525081,12.989999191525081,1.0
4000,-0.55798864,0.6868193,505.0,11.629999160766602,11.629999160766602,1.0
5000,-0.56599265,0.68523824,None,None,None,1.0
6000,-0.44479868,0.683642,675.0,15.882498949766159,15.882498949766159,1.0
7000,-0.26480114,0.6853541,1103.0,11.319999292492867,11.319999292492867,1.0
8000,-0.29648796,0.68508834,763.5,13.397499158978462,13.397499158978462,1.0
9000,-0.35717702,0.6882547,526.6666666666666,6.7533329377571745,6.7533329377571745,1.0
10000,-0.3147197,0.68806887,None,None,None,1.0
11000,-0.22097671,0.690963,503.0,12.454999208450317,12.454999208450317,1.0
12000,-0.24532777,0.6929091,None,None,None,1.0
13000,-0.2899224,0.6930807,769.5,18.24749894067645,18.24749894067645,1.0
14000,-0.31728023,0.6929382,None,None,None,1.0
15000,-0.18790853,0.69286025,515.0,12.894999235868454,12.894999235868454,1.0
16000,-0.15996872,0.69279927,None,None,None,1.0
17000,-0.25099117,0.69277894,None,None,None,1.0
18000,-0.25624284,0.6928211,None,None,None,1.0
19000,-0.21115741,0.6930149,None,None,None,1.0
20000,-0.23630351,0.6929981,None,None,None,1.0
21000,-0.18080375,0.69105285,None,None,None,1.0
22000,-0.060431026,0.6905849,None,None,None,1.0
23000,-0.035100248,0.6919509,None,None,None,1.0
24000,0.016086984,0.6920505,None,None,None,1.0
25000,0.032417126,0.6923872,None,None,None,1.0
26000,0.0017307305,0.6924001,None,None,None,1.0
27000,-0.011047738,0.69269466,None,None,None,1.0
28000,0.032736115,0.6928561,None,None,None,1.0
29000,0.038063057,0.6919132,None,None,None,1.0
30000,-0.009424133,0.6888829,5457.0,107.16499350965023,107.16499350965023,1.0
31000,-0.006953044,0.6879355,None,None,None,1.0
32000,0.18407476,0.6872511,None,None,None,1.0
33000,0.18382463,0.69035554,None,None,None,1.0
34000,0.1748494,0.6915533,None,None,None,1.0
35000,0.17862238,0.6917461,None,None,None,1.0
36000,0.18055388,0.69206077,None,None,None,1.0
37000,0.17066617,0.69098246,None,None,None,1.0
38000,0.17982508,0.69102204,2187.0,54.689996749162674,54.689996749162674,1.0
39000,0.18540053,0.69224197,3883.5,77.40999521315098,77.40999521315098,1.0
40000,0.21050681,0.691905,None,None,None,1.0
41000,0.1999262,0.691803,None,None,None,1.0
42000,0.37187845,0.6834737,None,None,None,1.0
43000,0.39434135,0.688354,None,None,None,1.0
44000,0.40253365,0.69173926,None,None,None,1.0
45000,0.4040214,0.69121695,None,None,None,1.0
46000,0.40405157,0.6909342,None,None,None,1.0
47000,0.40426585,0.69093966,None,None,None,1.0
48000,0.40254545,0.6905677,None,None,None,1.0
49000,0.40388966,0.69230676,None,None,None,1.0
50000,0.40600646,0.69223386,None,None,None,1.0
51000,0.40650892,0.69232655,None,None,None,1.0
52000,0.49378866,0.6864818,None,None,None,1.0
53000,0.55821985,0.6878686,None,None,None,1.0
54000,0.5697001,0.69161177,None,None,None,1.0
55000,0.55370295,0.6915622,None,None,None,1.0
56000,0.56337166,0.6922893,None,None,None,1.0
57000,0.5865266,0.6920824,None,None,None,1.0
58000,0.60118973,0.69253385,None,None,None,1.0
59000,0.58258694,0.69222116,None,None,None,1.0
60000,0.5727459,0.692224,None,None,None,1.0
61000,0.59825855,0.69234776,None,None,None,1.0
62000,0.66535926,0.69106674,None,None,None,1.0
63000,0.808686,0.6919292,None,None,None,1.0
64000,0.8274358,0.69251746,None,None,None,1.0
65000,0.8311662,0.69120836,None,None,None,1.0
66000,0.81683517,0.6923245,None,None,None,1.0
67000,0.7784606,0.6920385,None,None,None,1.0
68000,0.76531124,0.6920383,None,None,None,1.0
69000,0.7760751,0.6912563,None,None,None,1.0
70000,0.80166906,0.6908069,7623.0,172.77998977154493,172.77998977154493,1.0
71000,0.8290801,0.6913012,None,None,None,1.0
72000,0.823714,0.6908958,None,None,None,1.0
73000,0.91770685,0.68694925,None,None,None,1.0
74000,0.92981297,0.6901989,8800.0,189.50998866558075,189.50998866558075,1.0
75000,0.9047458,0.69121546,None,None,None,1.0
76000,0.90316397,0.6921265,15459.5,315.03998091444373,315.03998091444373,1.0
77000,0.90113515,0.69232154,None,None,None,1.0
78000,0.8848036,0.6927814,None,None,None,1.0
79000,0.9014067,0.6925488,821.0,20.5499986410141,20.5499986410141,1.0
80000,0.9056716,0.68918,1329.0,32.83999800682068,32.83999800682068,1.0
81000,0.9226161,0.68835366,418.0,10.454999387264252,10.454999387264252,1.0
82000,0.9437186,0.6906461,343.0,8.584999442100525,8.584999442100525,1.0
83000,1.045177,0.68913573,None,None,None,1.0
84000,1.0950441,0.6882378,535.0,13.387499168515205,13.387499168515205,1.0
85000,1.1172459,0.690443,None,None,None,1.0
86000,1.0712152,0.6903229,None,None,None,1.0
87000,1.063586,0.691996,None,None,None,1.0
88000,1.0917729,0.69259334,None,None,None,1.0
89000,1.0867455,0.69145113,None,None,None,1.0
90000,1.0725574,0.6920856,None,None,None,1.0
91000,1.0761397,0.6886958,None,None,None,1.0
92000,1.0810534,0.68880385,None,None,None,1.0
93000,1.147358,0.6887905,2263.0,46.34499706327915,46.34499706327915,1.0
94000,1.2502954,0.6915235,2565.0,60.819996386766434,60.819996386766434,1.0
95000,1.2308334,0.6894676,None,None,None,1.0
96000,1.2149761,0.68945324,None,None,None,1.0
97000,1.2511936,0.69190437,None,None,None,1.0
98000,1.2265573,0.6918125,None,None,None,1.0
99000,1.206679,0.69153106,None,None,None,1.0
100000,1.2201017,0.6909635,None,None,None,1.0
101000,1.234959,0.69157714,None,None,None,1.0
102000,1.2429819,0.6917797,None,None,None,1.0
103000,1.2916459,0.6914798,None,None,None,1.0
104000,1.3633287,0.6916635,None,None,None,1.0
105000,1.3255106,0.69029236,None,None,None,1.0
106000,1.2939596,0.6905814,None,None,None,1.0
107000,1.2968329,0.69190687,None,None,None,1.0
108000,1.3021336,0.69182575,None,None,None,1.0
109000,1.3016986,0.68875045,None,None,None,1.0
110000,1.3416809,0.68920726,None,None,None,1.0
111000,1.3515916,0.6907424,None,None,None,1.0
112000,1.3444301,0.6915374,None,None,None,1.0
113000,1.3032892,0.69106966,None,None,None,1.0
114000,1.4063072,0.691362,None,None,None,1.0
115000,1.4419484,0.6837063,None,None,None,1.0
116000,1.4961135,0.6877794,None,None,None,1.0
117000,1.5224264,0.69121087,None,None,None,1.0
118000,1.5266193,0.6881129,None,None,None,1.0
119000,1.4893943,0.68664086,None,None,None,1.0
120000,1.464933,0.68651116,None,None,None,1.0
121000,1.4557706,0.6862369,None,None,None,1.0
122000,1.4582001,0.69139415,7387.0,None,None,1.0
123000,1.4595809,0.6910226,None,184.26998895406723,184.26998895406723,1.0
124000,1.548022,0.69034296,None,None,None,1.0
125000,1.5682938,0.68952376,None,None,None,1.0
126000,1.5392108,0.6893176,1002.0,None,None,1.0
127000,1.5414306,0.69077694,None,25.054998517036438,25.054998517036438,1.0
128000,1.5538319,0.6901547,None,None,None,1.0
129000,1.6063504,0.68905246,None,None,None,1.0
130000,1.6313449,0.6874138,None,None,None,1.0
131000,1.5314842,0.6885166,None,None,None,1.0
132000,1.4702203,0.6906979,None,None,None,1.0
133000,1.4835912,0.6899602,None,None,None,1.0
134000,1.5510693,0.686776,None,None,None,1.0
135000,1.6619527,0.6856866,None,None,None,1.0
136000,1.6901658,0.6885261,None,None,None,1.0
137000,1.6790683,0.6896608,None,None,None,1.0
138000,1.6574314,0.68982506,None,None,None,1.0
139000,1.6226627,0.6904716,None,None,None,1.0
140000,1.6262796,0.6918501,None,None,None,1.0
141000,1.6416332,0.6856911,None,None,None,1.0
142000,1.6559256,0.6862108,None,None,None,1.0
143000,1.6506449,0.68560916,None,None,None,1.0
144000,1.6160172,0.6890541,None,None,None,1.0
145000,1.6765696,0.6877937,None,None,None,1.0
146000,1.7206738,0.69126314,None,None,None,1.0
147000,1.733216,0.6885575,None,None,None,1.0
148000,1.7195356,0.6875532,19560.0,470.29497180879116,470.29497180879116,1.0
149000,1.7352313,0.6883465,None,None,None,1.0
150000,1.704158,0.69030213,None,None,None,1.0
151000,1.7266147,0.6881058,None,None,None,1.0
152000,1.7498704,0.6894616,None,None,None,1.0
153000,1.7605554,0.689063,None,None,None,1.0
154000,1.7390077,0.6905961,None,None,None,1.0
155000,1.7759012,0.68809783,None,None,None,1.0
156000,1.8238492,0.6911783,15373.0,379.044977709651,379.044977709651,1.0
157000,1.8567041,0.69120175,None,None,None,1.0
158000,1.8261573,0.6910755,None,None,None,1.0
159000,1.7891104,0.6898936,721.0,18.049998939037323,18.049998939037323,1.0
160000,1.7703898,0.6902473,None,None,None,1.0
161000,1.7824585,0.69005513,3181.0,76.8149952813983,76.8149952813983,1.0
162000,1.8243208,0.68834037,None,None,None,1.0
163000,1.880529,0.684989,None,None,None,1.0
164000,1.8528903,0.6819912,None,None,None,1.0
165000,1.8044599,0.6876789,None,None,None,1.0
166000,1.8760626,0.689608,None,None,None,1.0
167000,1.918441,0.6886105,None,None,None,1.0
168000,1.8923304,0.6900134,None,None,None,1.0
169000,1.8684269,0.6881751,None,None,None,1.0
170000,1.9312083,0.68873394,None,None,None,1.0
171000,1.9505807,0.68959606,None,None,None,1.0
