Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,0.6930357,98.28571428571429,1.6961627,0.8941665415962537,0.8941665415962537,1.0
2000,0.6930133,124.5,1.5972211,0.633499875664711,0.633499875664711,1.0
3000,0.6930198,85.375,1.7270088,0.12874989677220583,0.12874989677220583,1.0
4000,0.6930278,126.3,1.5460465,0.7664998635649681,0.7664998635649681,1.0
5000,0.6930855,101.5,1.4425876,0.41428557889802115,0.41428557889802115,1.0
6000,0.69305784,169.375,1.4745722,2.1685712954827716,2.1685712954827716,1.0
7000,0.6930041,107.42857142857143,1.717796,0.45812489092350006,0.45812489092350006,1.0
8000,0.6930217,102.88888888888889,1.5183889,1.2861109442181058,1.2861109442181058,1.0
9000,0.69303185,93.3076923076923,1.5862672,0.5923075979718795,0.5923075979718795,1.0
10000,0.69301903,78.53846153846153,1.6961987,0.2737498879432678,0.2737498879432678,1.0
11000,0.68927914,109.0,1.5747166,0.20166661341985068,0.20166661341985068,1.0
12000,0.68861187,306.3333333333333,1.5300531,4.273332913716634,4.273332913716634,1.0
13000,0.68735784,299.5,1.5708523,4.247499689459801,4.247499689459801,1.0
14000,0.68846434,182.25,1.8984528,2.8412497341632843,2.8412497341632843,1.0
15000,0.6889356,None,1.5288854,None,None,1.0
16000,0.68683416,860.0,1.6389617,14.239999080076814,14.239999080076814,1.0
17000,0.68860716,187.0,1.6848922,1.494999885559082,1.494999885559082,1.0
18000,0.687522,323.0,1.8140302,6.14499968290329,6.14499968290329,1.0
19000,0.686917,630.5,1.59926,10.964999347925186,10.964999347925186,1.0
20000,0.688807,None,1.5705765,None,None,1.0
21000,0.6832283,518.3333333333334,1.568305,8.994999368985495,8.994999368985495,1.0
22000,0.6825616,296.3333333333333,1.7239019,5.314999600251515,5.314999600251515,1.0
23000,0.678856,188.0,1.6882819,0.9658332131803036,0.9658332131803036,1.0
24000,0.6810196,157.2,1.6155695,1.2787498980760574,1.2787498980760574,1.0
25000,0.67978615,374.6666666666667,1.7948275,5.18749962002039,5.18749962002039,1.0
26000,0.68595874,230.0,1.7459357,4.63249959051609,4.63249959051609,1.0
27000,0.6800235,409.0,1.663405,7.024999529123306,7.024999529123306,1.0
28000,0.6821116,237.8,1.764138,2.88699978441,2.88699978441,1.0
29000,0.6821489,223.57142857142858,1.8095045,2.7242854642016545,2.7242854642016545,1.0
30000,0.6839469,115.0,1.6583579,1.8474998027086258,1.8474998027086258,1.0
31000,0.6811716,412.6666666666667,1.6328516,4.129999568065007,4.129999568065007,1.0
32000,0.6775376,None,1.6234218,7.199999421834946,7.199999421834946,1.0
33000,0.6796075,None,1.621061,None,None,1.0
34000,0.6778841,735.0,1.7301453,15.709998786449432,15.709998786449432,1.0
35000,0.6782732,None,1.6402745,None,None,1.0
36000,0.6817686,None,1.6508653,None,None,1.0
37000,0.6796704,None,1.715845,None,None,1.0
38000,0.6770044,1746.6666666666667,1.7386457,33.098331183195114,33.098331183195114,1.0
39000,0.67626274,225.0,1.8588194,4.269999742507935,4.269999742507935,1.0
40000,0.67885345,477.0,1.7784206,9.654999315738678,9.654999315738678,1.0
41000,0.675799,None,1.6955305,None,None,1.0
42000,0.6737347,None,1.8628393,None,None,1.0
43000,0.6679139,None,1.9700922,None,None,1.0
44000,0.6718343,None,1.8895711,None,None,1.0
45000,0.6656076,None,1.7281363,None,None,1.0
46000,0.66831017,None,1.6604252,None,None,1.0
47000,0.67006445,None,1.610831,None,None,1.0
48000,0.67315006,None,1.6079866,None,None,1.0
49000,0.672503,None,1.7027242,None,None,1.0
50000,0.6725915,None,1.7710327,None,None,1.0
51000,0.6777951,4101.0,1.905596,83.34499490261078,83.34499490261078,1.0
52000,0.6697144,None,1.8732733,None,None,1.0
53000,0.664422,None,1.8313382,None,None,1.0
54000,0.66534907,None,1.8877356,None,None,1.0
55000,0.664792,None,1.9120286,None,None,1.0
56000,0.66911465,None,1.8942875,None,None,1.0
57000,0.66897726,None,1.8689268,None,None,1.0
58000,0.6676352,None,1.88118,None,None,1.0
59000,0.66905165,None,1.8205508,None,None,1.0
60000,0.6664005,None,1.6684041,None,None,1.0
61000,0.6683735,None,1.7033088,None,None,1.0
62000,0.6664241,None,1.6814668,None,None,1.0
63000,0.65423954,None,1.8127435,None,None,1.0
64000,0.6484649,None,1.8827777,None,None,1.0
