Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,0.692375,0.38033748,217.0,4.429999649524689,4.429999649524689,1.0
2000,0.6924414,0.38569075,None,None,None,1.0
3000,0.6923459,0.39423743,None,None,None,1.0
4000,0.6925341,0.42474008,None,None,None,1.0
5000,0.6927082,0.48154074,1051.0,12.752499125897884,12.752499125897884,1.0
6000,0.69271845,0.49680603,None,None,None,1.0
7000,0.69279844,0.52273595,1757.0,16.67999904602766,16.67999904602766,1.0
8000,0.69247,0.47593468,2015.0,16.829998910427094,16.829998910427094,1.0
9000,0.69266963,0.49361572,785.0,4.864999696612358,4.864999696612358,1.0
10000,0.69266194,0.44647765,221.0,4.509999573230743,4.509999573230743,1.0
11000,0.6895865,0.49530295,522.0,5.452499553561211,5.452499553561211,1.0
12000,0.691145,0.5183189,368.0,8.214999437332153,8.214999437332153,1.0
13000,0.6922504,0.5134829,None,None,None,1.0
14000,0.6919974,0.5115446,859.0,19.39999884366989,19.39999884366989,1.0
15000,0.68953633,0.5129792,1584.0,14.492498986423016,14.492498986423016,1.0
16000,0.69091445,0.515593,842.0,8.622499287128448,8.622499287128448,1.0
17000,0.6913173,0.5088045,750.0,13.53499898314476,13.53499898314476,1.0
18000,0.69073683,0.5098203,None,None,None,1.0
19000,0.69122016,0.50793725,717.0,5.609999572237332,5.609999572237332,1.0
20000,0.6917366,0.5114111,None,None,None,1.0
21000,0.69100606,0.5428046,None,None,None,1.0
22000,0.6920099,0.65153897,None,None,None,1.0
23000,0.6916898,0.68774384,None,None,None,1.0
24000,0.692287,0.684631,None,None,None,1.0
25000,0.69156986,0.6882571,None,None,None,1.0
26000,0.6915415,0.65758455,1729.0,33.64499793946743,33.64499793946743,1.0
27000,0.69082165,0.6503717,None,None,None,1.0
28000,0.6906515,0.6742621,None,None,None,1.0
29000,0.6922692,0.6807719,None,None,None,1.0
30000,0.69259834,0.6758964,None,None,None,1.0
31000,0.691857,0.71681345,None,None,None,1.0
32000,0.69185275,0.81370264,None,None,None,1.0
33000,0.6921463,0.823678,None,None,None,1.0
34000,0.69108033,0.81370866,None,None,None,1.0
35000,0.6918888,0.82546127,None,None,None,1.0
36000,0.6917029,0.82127297,None,None,None,1.0
37000,0.6917962,0.82045925,None,None,None,1.0
38000,0.6889418,0.8062546,None,None,None,1.0
39000,0.6911559,0.8116748,None,None,None,1.0
40000,0.691286,0.81355447,None,None,None,1.0
41000,0.69070685,0.82533085,None,None,None,1.0
42000,0.68848675,0.90185374,None,None,None,1.0
43000,0.6923561,0.9058351,None,None,None,1.0
44000,0.6914623,0.90200734,None,None,None,1.0
45000,0.6904054,0.89827317,None,None,None,1.0
46000,0.69102484,0.89015096,None,None,None,1.0
47000,0.68971676,0.8595419,None,None,None,1.0
48000,0.6920965,0.9036684,None,None,None,1.0
49000,0.69202065,0.908087,None,None,None,1.0
50000,0.6916701,0.89230764,None,None,None,1.0
