Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,3.7029252,37.3,-38.12959,1.354736820647591,1.354736820647591,1.0
2000,3.6812975,58.2,-39.557957,2.086000049114227,2.086000049114227,1.0
3000,10.783433,78.0,-35.09064,1.568000030517578,1.568000030517578,1.0
4000,12.721456,391.0,-33.241463,-19.130001306533813,-19.130001306533813,1.0
5000,11.211174,347.6666666666667,-29.29585,2.8133339484532676,2.8133339484532676,1.0
6000,11.622502,729.0,-29.556095,64.66000509262085,64.66000509262085,1.0
7000,7.7378864,252.1,-30.258501,9.051000829413534,9.051000829413534,1.0
8000,6.642534,74.58333333333333,-28.865343,2.3609091885049236,2.3609091885049236,1.0
9000,2.4564385,29.486486486486488,-26.569628,0.20459462984188184,0.20459462984188184,1.0
10000,0.07137493,17.59259259259259,-27.01634,-0.14592590045045922,-0.14592590045045922,1.0
11000,0.13469061,17.145454545454545,-23.599945,-0.17327269911766052,-0.17327269911766052,1.0
12000,0.0144591015,17.48148148148148,-21.732103,-0.17037034034729004,-0.17037034034729004,1.0
13000,0.009471578,17.140350877192983,-17.59394,-0.20315786621026827,-0.20315786621026827,1.0
14000,0.003713574,17.01851851851852,-14.326009,-0.02259256883903786,-0.02259256883903786,1.0
15000,0.003713574,16.803571428571427,-12.512838,-0.1846428279365812,-0.1846428279365812,1.0
16000,0.0037135738,17.48148148148148,-10.603551,-0.18814811883149324,-0.18814811883149324,1.0
17000,0.003713574,17.25,-8.68412,-0.1846428279365812,-0.1846428279365812,1.0
18000,0.003713574,16.90909090909091,-5.8876486,-0.1269090630791404,-0.1269090630791404,1.0
19000,0.003713574,17.25,-5.6280484,-0.04214283398219517,-0.04214283398219517,1.0
20000,0.003713574,17.01851851851852,-5.145728,-0.2077777451939053,-0.2077777451939053,1.0
21000,0.0037135743,17.363636363636363,-5.191187,-0.2265454270622947,-0.2265454270622947,1.0
22000,0.0037135743,16.90909090909091,-5.3771424,-0.04892854818275997,-0.04892854818275997,1.0
23000,0.003713574,17.140350877192983,-5.02825,-0.08327270204370672,-0.08327270204370672,1.0
24000,0.0037135738,17.132075471698112,-3.7657928,-0.25181815190748735,-0.25181815190748735,1.0
25000,0.003713574,17.147540983606557,-3.6447906,-0.1549090645530007,-0.1549090645530007,1.0
26000,0.09995795,17.306122448979593,-2.933033,-0.1709090612151406,-0.1709090612151406,1.0
27000,0.0037135738,17.25,-2.8391593,-0.11428568618638175,-0.11428568618638175,1.0
28000,0.003713574,16.97826086956522,-2.5787265,-0.20592589731569644,-0.20592589731569644,1.0
29000,0.003713574,17.48148148148148,-2.5765889,-0.20909088091416791,-0.20909088091416791,1.0
30000,0.025343843,16.945454545454545,-1.9783311,-0.011636338450691917,-0.011636338450691917,1.0
31000,0.003713574,17.25,-1.9543893,0.0007143105779375349,0.0007143105779375349,1.0
32000,0.003713574,16.90909090909091,-1.741996,-0.19854542558843438,-0.19854542558843438,1.0
33000,0.003713574,17.48148148148148,-1.7242154,-0.22740737597147623,-0.22740737597147623,1.0
34000,0.003713574,16.803571428571427,-1.4575312,-0.1314285397529602,-0.1314285397529602,1.0
35000,0.003713574,17.363636363636363,-1.3937941,-0.20036360784010454,-0.20036360784010454,1.0
36000,0.003713574,16.803571428571427,-1.1241595,-0.0146428325346538,-0.0146428325346538,1.0
37000,0.003713574,17.48148148148148,-1.0369451,-0.13296293550067478,-0.13296293550067478,1.0
38000,0.003713574,16.803571428571427,-0.9178506,-0.086785688996315,-0.086785688996315,1.0
39000,0.003713574,17.363636363636363,-0.86397606,-0.13745451840487394,-0.13745451840487394,1.0
40000,0.003713574,16.90909090909091,-0.6042541,-0.11636361208829013,-0.11636361208829013,1.0
41000,0.003713574,17.363636363636363,-0.46569714,-0.07272724671797319,-0.07272724671797319,1.0
42000,0.003713574,17.25,-0.41068813,0.03678573668003082,0.03678573668003082,1.0
43000,0.003713574,16.90909090909091,-0.35945272,-0.01163633953441273,-0.01163633953441273,1.0
44000,0.003713574,16.90909090909091,-0.4422964,-0.22472724481062456,-0.22472724481062456,1.0
45000,0.003713574,17.48148148148148,-0.5263295,-0.14370367703614412,-0.14370367703614412,1.0
46000,0.0037135743,17.140350877192983,-0.567718,-0.1659648857618633,-0.1659648857618633,1.0
47000,0.047864035,17.055555555555557,-0.6495894,-0.1559258997440338,-0.1559258997440338,1.0
48000,0.06735969,17.01818181818182,-0.71706766,-0.033090886202725496,-0.033090886202725496,1.0
49000,0.003713574,17.363636363636363,-0.7517497,-0.13563633615320378,-0.13563633615320378,1.0
50000,0.0037135743,17.25,-0.69030106,-0.15749997006995337,-0.15749997006995337,1.0
51000,0.003713574,17.01851851851852,-0.48659304,-0.13666663567225137,-0.13666663567225137,1.0
52000,0.003713574,16.803571428571427,-0.47290227,-0.02142855099269322,-0.02142855099269322,1.0
53000,0.0037135738,17.132075471698112,-0.46626568,-0.15074071398487798,-0.15074071398487798,1.0
54000,0.23220156,17.6,-0.66842574,-0.1940740457287541,-0.1940740457287541,1.0
55000,0.0037135743,17.122448979591837,-0.5413815,-0.12872724533081054,-0.12872724533081054,1.0
56000,0.0037135736,16.952380952380953,-0.5361289,-0.191428542137146,-0.191428542137146,1.0
57000,0.003713574,17.382978723404257,-0.5061883,-0.17925922958939164,-0.17925922958939164,1.0
58000,0.003713574,17.25,-0.5075065,-0.01642854724611555,-0.01642854724611555,1.0
59000,0.003713574,16.90909090909091,-0.6661045,-0.14436360922726718,-0.14436360922726718,1.0
60000,0.003713574,17.25,-0.66938823,-0.1846428279365812,-0.1846428279365812,1.0
61000,0.003713574,17.01851851851852,-0.6895597,0.023703725249679,0.023703725249679,1.0
62000,0.0037135743,17.25,-0.69151825,-0.14857140183448792,-0.14857140183448792,1.0
63000,0.0037135743,16.90909090909091,-0.6192722,-0.19854542558843438,-0.19854542558843438,1.0
64000,0.0037135743,17.25,-0.6083635,-0.02499997615814209,-0.02499997615814209,1.0
65000,0.025616774,17.01851851851852,-0.56788796,-0.12166664004325867,-0.12166664004325867,1.0
66000,0.003713574,17.363636363636363,-0.558501,-0.10945452126589689,-0.10945452126589689,1.0
67000,0.003713574,16.803571428571427,-0.5578536,-0.19999997104917253,-0.19999997104917253,1.0
68000,0.003713574,17.363636363636363,-0.561508,-0.165454515543851,-0.165454515543851,1.0
69000,0.003713574,16.90909090909091,-0.5306856,0.018181839856234464,0.018181839856234464,1.0
70000,0.003713574,17.48148148148148,-0.5114638,-0.3092592270285995,-0.3092592270285995,1.0
71000,0.003713574,16.803571428571427,-0.54094595,-0.18107140277113234,-0.18107140277113234,1.0
72000,0.0037135743,17.363636363636363,-0.5671424,-0.1723636107011275,-0.1723636107011275,1.0
73000,0.08993909,17.0,-0.59871346,-0.0730908838185397,-0.0730908838185397,1.0
74000,0.003713574,17.363636363636363,-0.6585196,-0.1636363376270641,-0.1636363376270641,1.0
75000,0.003713574,17.140350877192983,-0.65171,-0.1742856843130929,-0.1742856843130929,1.0
76000,0.003713574,17.01851851851852,-0.64702463,-0.21090905883095482,-0.21090905883095482,1.0
77000,0.003713574,16.90909090909091,-0.65180767,-0.14436360922726718,-0.14436360922726718,1.0
78000,0.06995966,17.574074074074073,-0.6664908,-0.0651851616523884,-0.0651851616523884,1.0
79000,0.045476727,16.839285714285715,-0.702184,-0.1998213997909001,-0.1998213997909001,1.0
80000,0.09164646,17.509090909090908,-0.8180273,-0.18109088702635331,-0.18109088702635331,1.0
81000,0.0037135743,16.90909090909091,-0.7459404,-0.1250908851623535,-0.1250908851623535,1.0
82000,0.003713574,17.25,-0.591835,-0.2549999696867807,-0.2549999696867807,1.0
83000,0.003713574,16.90909090909091,-0.6237453,-0.2611110806465149,-0.2611110806465149,1.0
84000,0.003713574,17.48148148148148,-0.81420076,-0.165454515543851,-0.165454515543851,1.0
85000,0.003713574,16.833333333333332,-0.8045045,-0.10392854256289345,-0.10392854256289345,1.0
86000,0.0037135743,17.372549019607842,-0.7576405,-0.2283636049790816,-0.2283636049790816,1.0
87000,0.0037135736,16.952380952380953,-0.75772357,-0.19854542558843438,-0.19854542558843438,1.0
88000,0.0037135738,17.52173913043478,-0.5927772,-0.13481478779404252,-0.13481478779404252,1.0
89000,0.0037135743,16.90909090909091,-0.5970637,-0.1553571160350527,-0.1553571160350527,1.0
90000,0.0037135743,17.363636363636363,-0.6638521,-0.11999997225674716,-0.11999997225674716,1.0
91000,0.13199452,17.054545454545455,-0.6899626,-0.20636361078782514,-0.20636361078782514,1.0
92000,0.22724162,18.057692307692307,-0.6590419,-0.059245258007409436,-0.059245258007409436,1.0
93000,0.003713574,16.803571428571427,-0.6383844,-0.16392854494707926,-0.16392854494707926,1.0
94000,0.025532195,17.418181818181818,-0.7716204,0.020909106731414794,0.020909106731414794,1.0
95000,0.003713574,16.90909090909091,-0.7949018,-0.16181815537539396,-0.16181815537539396,1.0
96000,0.003713574,17.363636363636363,-0.671048,-0.10109088204123758,-0.10109088204123758,1.0
97000,0.003713574,16.803571428571427,-0.6240546,-0.05928568754877363,-0.05928568754877363,1.0
98000,0.003713574,17.48148148148148,-0.71253616,-0.24518515445567943,-0.24518515445567943,1.0
99000,0.0037135743,16.90909090909091,-0.7591926,-0.10214283210890633,-0.10214283210890633,1.0
100000,0.003713574,17.48148148148148,-0.76902616,-0.21851848672937463,-0.21851848672937463,1.0
101000,0.0037135743,16.90909090909091,-0.7866901,-0.2789285417113985,-0.2789285417113985,1.0
102000,0.003713574,17.363636363636363,-0.7332816,-0.17418178861791436,-0.17418178861791436,1.0
103000,0.003713574,16.803571428571427,-0.69553226,-0.2171428288732256,-0.2171428288732256,1.0
104000,0.003713574,17.48148148148148,-0.5406236,-0.18999997112486097,-0.18999997112486097,1.0
105000,0.003713574,16.803571428571427,-0.36089325,-0.191428542137146,-0.191428542137146,1.0
106000,0.114155956,17.62962962962963,-0.4783827,-0.18148145189991705,-0.18148145189991705,1.0
107000,0.003713574,17.140350877192983,-0.67387325,0.004285735743386405,0.004285735743386405,1.0
108000,0.0037135738,17.132075471698112,-0.5916826,-0.17037034034729004,-0.17037034034729004,1.0
109000,0.003713574,16.803571428571427,-0.41382265,-0.10571425727435521,-0.10571425727435521,1.0
110000,0.003713574,17.363636363636363,-0.46967018,-0.0639999736439098,-0.0639999736439098,1.0
111000,0.003713574,16.803571428571427,-0.68814594,-0.04392854443618229,-0.04392854443618229,1.0
112000,0.003713574,17.25,-0.68278706,-0.13481478779404252,-0.13481478779404252,1.0
113000,0.003713574,17.48148148148148,-0.55866426,-0.24464282606329238,-0.24464282606329238,1.0
114000,0.003713574,16.833333333333332,-0.56361127,-0.20592589731569644,-0.20592589731569644,1.0
115000,0.0037135743,17.372549019607842,-0.68599045,-0.12561400731404623,-0.12561400731404623,1.0
116000,0.003713574,16.952380952380953,-0.6954452,-0.17037034034729004,-0.17037034034729004,1.0
117000,0.0037135738,17.382978723404257,-0.5040959,0.0025000210319246563,0.0025000210319246563,1.0
118000,0.0037135743,17.01851851851852,-0.5129152,-0.06703701504954586,-0.06703701504954586,1.0
119000,0.003713574,17.25,-0.5648337,-0.15035711228847504,-0.15035711228847504,1.0
120000,0.003713574,16.90909090909091,-0.57204145,-0.09199997078288685,-0.09199997078288685,1.0
121000,0.003713574,17.25,-0.6780858,-0.2892856853348868,-0.2892856853348868,1.0
122000,0.003713574,17.01851851851852,-0.69098145,-0.09555553065405951,-0.09555553065405951,1.0
123000,0.003713574,17.25,-0.60128146,-0.19163633476604114,-0.19163633476604114,1.0
124000,0.003713574,16.90909090909091,-0.59446806,-0.2171428288732256,-0.2171428288732256,1.0
125000,0.003713574,17.363636363636363,-0.686056,-0.11999997225674716,-0.11999997225674716,1.0
126000,0.003713574,16.90909090909091,-0.7085715,-0.22654542272741143,-0.22654542272741143,1.0
127000,0.003713574,17.25,-0.68353415,-0.07821426008428846,-0.07821426008428846,1.0
128000,0.003713574,17.01851851851852,-0.68284446,-0.19703700807359484,-0.19703700807359484,1.0
129000,0.003713574,17.363636363636363,-0.8472505,-0.07454542896964333,-0.07454542896964333,1.0
130000,0.003713574,16.803571428571427,-0.9840792,-0.04892854818275997,-0.04892854818275997,1.0
131000,0.003713574,17.363636363636363,-1.1481131,-0.16399997147646816,-0.16399997147646816,1.0
132000,0.003713574,16.90909090909091,-1.3143528,-0.16181815537539396,-0.16181815537539396,1.0
133000,0.0037135743,17.363636363636363,-1.487828,-0.18290906169197776,-0.18290906169197776,1.0
134000,0.003713574,16.803571428571427,-1.7103865,-0.11249997147492,-0.11249997147492,1.0
135000,0.04752117,17.537037037037038,-1.598876,-0.010740720563464694,-0.010740720563464694,1.0
136000,0.003713574,16.803571428571427,-1.3497366,-0.0935714031968798,-0.0935714031968798,1.0
137000,0.003713574,17.363636363636363,-1.0943404,-0.19854542992331764,-0.19854542992331764,1.0
138000,0.003713574,16.90909090909091,-0.3099003,-0.27890906117179176,-0.27890906117179176,1.0
139000,0.0037135743,17.363636363636363,-0.33925095,-0.14370367703614412,-0.14370367703614412,1.0
140000,0.003713574,16.803571428571427,-0.59674203,-0.2266666387256823,-0.2266666387256823,1.0
141000,0.0037135738,17.140350877192983,-0.5826346,-0.15444441415645457,-0.15444441415645457,1.0
142000,0.0037135738,17.132075471698112,-0.72811615,-0.3149999678134918,-0.3149999678134918,1.0
143000,0.003713574,17.048387096774192,-0.6991654,-0.17418178861791436,-0.17418178861791436,1.0
144000,0.003713574,17.25,-0.6585629,-0.189818152514371,-0.189818152514371,1.0
145000,0.039513275,17.136363636363637,-0.6630751,-0.16982141137123108,-0.16982141137123108,1.0
146000,0.0037135738,17.25,-0.6744414,-0.02259256883903786,-0.02259256883903786,1.0
147000,0.003713574,17.363636363636363,-0.6905111,-0.2912726944143122,-0.2912726944143122,1.0
148000,0.003713574,16.803571428571427,-0.6596974,-0.19999997104917253,-0.19999997104917253,1.0
149000,0.025357908,17.381818181818183,-0.6759689,-0.19763633663004096,-0.19763633663004096,1.0
150000,0.13565847,17.01818181818182,-0.5086038,-0.23072724775834516,-0.23072724775834516,1.0
151000,0.003713574,17.363636363636363,-0.4669921,-0.14370367703614412,-0.14370367703614412,1.0
152000,0.0037135743,16.90909090909091,-0.34854898,-0.2789285417113985,-0.2789285417113985,1.0
153000,0.003713574,16.803571428571427,-0.32362488,-0.165714259658541,-0.165714259658541,1.0
154000,0.0037135743,17.363636363636363,-0.29337865,-0.10945451693101363,-0.10945451693101363,1.0
155000,0.003713574,17.363636363636363,-0.3462438,-0.1549090645530007,-0.1549090645530007,1.0
156000,0.0037135743,16.90909090909091,-0.84399706,-0.22472724481062456,-0.22472724481062456,1.0
157000,0.003713574,17.25,-1.0438672,-0.16749997011252812,-0.16749997011252812,1.0
158000,0.003713574,17.01851851851852,-0.6458417,-0.02259256883903786,-0.02259256883903786,1.0
159000,0.003713574,17.363636363636363,-0.43800995,-0.2352727001363581,-0.2352727001363581,1.0
160000,0.003713574,16.803571428571427,-0.81680423,-0.24285711560930526,-0.24285711560930526,1.0
161000,0.003713574,17.363636363636363,-1.0321755,-0.2912726944143122,-0.2912726944143122,1.0
162000,0.003713574,16.90909090909091,-0.8675689,-0.24218179095875134,-0.24218179095875134,1.0
163000,0.003713574,17.48148148148148,-0.61333376,-0.14370367703614412,-0.14370367703614412,1.0
164000,0.003713574,16.70175438596491,-0.71495795,-0.2182455857594808,-0.2182455857594808,1.0
165000,0.17668094,17.703703703703702,-0.79112554,-0.19629626914306922,-0.19629626914306922,1.0
166000,0.003713574,16.90909090909091,-0.70299476,-0.08145451979203658,-0.08145451979203658,1.0
167000,0.0037135738,17.48148148148148,-0.44850194,-0.18814811883149324,-0.18814811883149324,1.0
168000,0.003713574,16.803571428571427,-0.61011744,-0.2549999696867807,-0.2549999696867807,1.0
169000,0.0037135743,17.25,-1.0314472,-0.13142854401043483,-0.13142854401043483,1.0
170000,0.003713574,16.90909090909091,-1.0046148,-0.1269090630791404,-0.1269090630791404,1.0
171000,0.09367156,17.574074074074073,-0.8661986,-0.1774073783998136,-0.1774073783998136,1.0
172000,0.0037135747,17.03448275862069,-0.96447563,-0.03357140507016863,-0.03357140507016863,1.0
173000,0.003713589,17.132075471698112,-1.5470265,-0.10254542610862039,-0.10254542610862039,1.0
174000,0.0037135892,17.147540983606557,-1.5247209,-0.2527272419496016,-0.2527272419496016,1.0
175000,0.0037135917,17.382978723404257,-0.57248443,-0.19888886036696257,-0.19888886036696257,1.0
176000,0.0037135917,17.25,-0.5671558,-0.14678568712302617,-0.14678568712302617,1.0
177000,0.0037135915,16.90909090909091,-0.49887952,-0.19163633476604114,-0.19163633476604114,1.0
178000,0.0037135917,16.839285714285715,-0.46489912,-0.12107140038694654,-0.12107140038694654,1.0
179000,0.026078433,17.169811320754718,-0.918245,-0.2285184904381081,-0.2285184904381081,1.0
180000,0.0037135915,17.48148148148148,-0.9730735,-0.12872724533081054,-0.12872724533081054,1.0
181000,0.0037135936,16.90909090909091,-1.2336395,-0.2894545164975253,-0.2894545164975253,1.0
182000,0.0037135943,16.70175438596491,-1.272532,-0.2705262857570983,-0.2705262857570983,1.0
183000,0.0037135947,17.132075471698112,-0.7051008,-0.19703700807359484,-0.19703700807359484,1.0
184000,0.003713595,17.25,-0.5006252,-0.17607139902455465,-0.17607139902455465,1.0
185000,0.003713595,17.01851851851852,-0.7533375,0.034444462369989465,0.034444462369989465,1.0
186000,0.0037135947,16.90909090909091,-0.8233519,-0.052499973348208835,-0.052499973348208835,1.0
187000,0.003713595,17.363636363636363,-0.6249127,-0.17927270152352073,-0.17927270152352073,1.0
188000,0.0037135947,17.48148148148148,-0.43288037,-0.31745451363650234,-0.31745451363650234,1.0
189000,0.0037135947,16.90909090909091,-0.6344659,-0.30872724056243894,-0.30872724056243894,1.0
190000,0.0037135947,17.25,-0.7903756,-0.11928568993295942,-0.11928568993295942,1.0
191000,0.0037135947,17.01851851851852,-0.6479875,-0.0133333095797786,-0.0133333095797786,1.0
192000,0.0037135947,17.48148148148148,-0.567625,-0.11999997225674716,-0.11999997225674716,1.0
193000,0.003713595,16.803571428571427,-0.6949238,-0.0935714031968798,-0.0935714031968798,1.0
194000,0.003713595,17.48148148148148,-0.89225686,-0.01163633953441273,-0.01163633953441273,1.0
195000,0.003713595,17.01851851851852,-0.8971846,-0.1810908794403076,-0.1810908794403076,1.0
196000,0.0037135947,17.48148148148148,-0.86383486,-0.12592589855194092,-0.12592589855194092,1.0
197000,0.0037135945,16.803571428571427,-0.76685166,-0.08842102686564128,-0.08842102686564128,1.0
198000,0.003713595,17.25,-0.51739156,-0.27214282751083374,-0.27214282751083374,1.0
199000,0.04672854,17.09259259259259,-0.5013419,-0.07407404979070027,-0.07407404979070027,1.0
200000,0.003713595,17.48148148148148,-0.6216881,-0.2718518221819842,-0.2718518221819842,1.0
201000,0.0037135947,16.833333333333332,-0.61206234,-0.033571400812694004,-0.033571400812694004,1.0
202000,0.0037135947,17.25,-0.7191791,-0.19321425684860774,-0.19321425684860774,1.0
203000,0.0037135947,17.048387096774192,-0.74125636,-0.19854542558843438,-0.19854542558843438,1.0
204000,0.0037135947,17.382978723404257,-0.877362,-0.19888886036696257,-0.19888886036696257,1.0
205000,0.0037135947,17.25,-0.88834566,-0.0935714031968798,-0.0935714031968798,1.0
206000,0.0037135947,17.01851851851852,-0.61628115,-0.12872724533081054,-0.12872724533081054,1.0
207000,0.0037135947,16.90909090909091,-0.61755115,-0.07272724671797319,-0.07272724671797319,1.0
208000,0.0037135947,17.363636363636363,-0.68474114,-0.2981817852367054,-0.2981817852367054,1.0
209000,0.25882706,17.654545454545456,-0.6525103,-0.14218179204247214,-0.14218179204247214,1.0
210000,0.0067877006,17.055555555555557,-0.74278396,-0.2877777439576608,-0.2877777439576608,1.0
211000,0.003713574,16.839285714285715,-0.71352535,-0.01642854724611555,-0.01642854724611555,1.0
212000,0.003713574,17.48148148148148,-0.5604851,-0.2896295962510286,-0.2896295962510286,1.0
213000,0.003713574,17.25,-0.48501635,-0.052499973348208835,-0.052499973348208835,1.0
214000,0.0037135743,16.90909090909091,-0.35772994,-0.13745451840487394,-0.13745451840487394,1.0
215000,0.003713574,16.90909090909091,-0.32976264,-0.28072723908857866,-0.28072723908857866,1.0
216000,0.003713574,17.363636363636363,-0.901163,-0.04472724957899614,-0.04472724957899614,1.0
217000,0.0037135743,17.363636363636363,-1.2875912,-0.05709088282151656,-0.05709088282151656,1.0
218000,0.003713574,17.01851851851852,-1.7091964,-0.11127269918268377,-0.11127269918268377,1.0
219000,0.04550922,16.892857142857142,-2.0906625,-0.2907142522079604,-0.2907142522079604,1.0
220000,0.003713574,17.48148148148148,-1.4534601,-0.19703700807359484,-0.19703700807359484,1.0
221000,0.0037135743,17.363636363636363,-0.6885922,-0.1549090645530007,-0.1549090645530007,1.0
222000,0.0037422637,17.01851851851852,-0.66691154,-0.25454542420127174,-0.25454542420127174,1.0
223000,0.003713574,16.70175438596491,-0.5865193,-0.14070172686325877,-0.14070172686325877,1.0
224000,0.0037135738,17.48148148148148,-0.6297486,-0.12407404625857318,-0.12407404625857318,1.0
225000,0.046543177,17.418181818181818,-0.7473858,-0.21563633571971547,-0.21563633571971547,1.0
226000,0.111662336,16.98181818181818,-0.734902,-0.10036361000754616,-0.10036361000754616,1.0
227000,0.003713574,17.25,-0.82458,-0.1382142582109996,-0.1382142582109996,1.0
228000,0.003713574,16.90909090909091,-0.84128076,-0.29851848549313015,-0.29851848549313015,1.0
229000,0.0037135743,17.48148148148148,-0.8910213,-0.2196363319050182,-0.2196363319050182,1.0
230000,0.003713574,16.833333333333332,-0.87940407,-0.1382142582109996,-0.1382142582109996,1.0
231000,0.0037135738,17.25,-0.81037104,-0.2910713957888739,-0.2910713957888739,1.0
232000,0.0037135738,17.048387096774192,-0.7762104,-0.2522221914044133,-0.2522221914044133,1.0
233000,0.0037135738,17.52173913043478,-0.88139176,-0.18111108188275937,-0.18111108188275937,1.0
234000,0.0037135743,16.90909090909091,-0.87544715,-0.03178569035870688,-0.03178569035870688,1.0
235000,0.003713574,17.140350877192983,-0.60630906,-0.15929821917885228,-0.15929821917885228,1.0
236000,0.003713574,17.01851851851852,-0.5789424,-0.22370367579989964,-0.22370367579989964,1.0
237000,0.0037135743,17.48148148148148,-0.58980566,-0.026296269010614465,-0.026296269010614465,1.0
238000,0.0037135743,16.90909090909091,-0.6681272,-0.19999997104917253,-0.19999997104917253,1.0
239000,0.003713574,17.25,-0.21644881,-0.03357140507016863,-0.03357140507016863,1.0
240000,0.003713574,16.90909090909091,-0.20090094,-0.24218179095875134,-0.24218179095875134,1.0
241000,0.0037135743,17.48148148148148,0.12562248,-0.20777774960906417,-0.20777774960906417,1.0
242000,0.024500653,17.267857142857142,0.2146382,-0.3235713967255184,-0.3235713967255184,1.0
243000,0.046938688,17.0,-0.8527188,-0.059999979626048694,-0.059999979626048694,1.0
