범죄대분류,범죄중분류,발생건수,지역
강력범죄,살인기수,67,서울
강력범죄,살인미수등,96,서울
강력범죄,강도,274,서울
강력범죄,강간,969,서울
강력범죄,유사강간,118,서울
강력범죄,강제추행,4282,서울
강력범죄,기타강간강제추행등,94,서울
강력범죄,방화,315,서울
절도범죄,절도,55280,서울
폭력범죄,상해,7174,서울
폭력범죄,폭행,36904,서울
폭력범죄,체포감금,186,서울
폭력범죄,협박,1844,서울
폭력범죄,약취유인,45,서울
폭력범죄,폭력행위등,6725,서울
폭력범죄,공갈,634,서울
폭력범죄,손괴,11735,서울
지능범죄,직무유기,106,서울
지능범죄,직권남용,98,서울
지능범죄,증수뢰,57,서울
지능범죄,통화,801,서울
지능범죄,문서인장,3336,서울
지능범죄,유가증권인지,125,서울
지능범죄,사기,53879,서울
지능범죄,횡령,13314,서울
지능범죄,배임,1135,서울
풍속범죄,성풍속범죄,5421,서울
풍속범죄,도박범죄,1320,서울
특별경제범죄,특별경제범죄,22075,서울
마약범죄,마약범죄,1360,서울
보건범죄,보건범죄,3941,서울
환경범죄,환경범죄,53,서울
교통범죄,교통범죄,74958,서울
노동범죄,노동범죄,215,서울
안보범죄,안보범죄,38,서울
선거범죄,선거범죄,24,서울
병역범죄,병역범죄,4591,서울
기타범죄,기타범죄,41752,서울
강력범죄,살인기수,20,부산
강력범죄,살인미수등,41,부산
강력범죄,강도,161,부산
강력범죄,강간,383,부산
강력범죄,유사강간,24,부산
강력범죄,강제추행,991,부산
강력범죄,기타강간강제추행등,37,부산
강력범죄,방화,117,부산
절도범죄,절도,20136,부산
폭력범죄,상해,4675,부산
폭력범죄,폭행,8852,부산
폭력범죄,체포감금,67,부산
폭력범죄,협박,682,부산
폭력범죄,약취유인,6,부산
폭력범죄,폭력행위등,2449,부산
폭력범죄,공갈,558,부산
폭력범죄,손괴,3639,부산
지능범죄,직무유기,37,부산
지능범죄,직권남용,28,부산
지능범죄,증수뢰,15,부산
지능범죄,통화,75,부산
지능범죄,문서인장,1259,부산
지능범죄,유가증권인지,5,부산
지능범죄,사기,20533,부산
지능범죄,횡령,2980,부산
지능범죄,배임,315,부산
풍속범죄,성풍속범죄,1164,부산
풍속범죄,도박범죄,921,부산
특별경제범죄,특별경제범죄,13868,부산
마약범죄,마약범죄,759,부산
보건범죄,보건범죄,1832,부산
환경범죄,환경범죄,198,부산
교통범죄,교통범죄,35841,부산
노동범죄,노동범죄,190,부산
안보범죄,안보범죄,4,부산
선거범죄,선거범죄,24,부산
병역범죄,병역범죄,959,부산
기타범죄,기타범죄,19868,부산
강력범죄,살인기수,13,대구
강력범죄,살인미수등,23,대구
강력범죄,강도,60,대구
강력범죄,강간,216,대구
강력범죄,유사강간,21,대구
강력범죄,강제추행,645,대구
강력범죄,기타강간강제추행등,20,대구
강력범죄,방화,86,대구
절도범죄,절도,12759,대구
폭력범죄,상해,2736,대구
폭력범죄,폭행,6607,대구
폭력범죄,체포감금,39,대구
폭력범죄,협박,443,대구
폭력범죄,약취유인,6,대구
폭력범죄,폭력행위등,1595,대구
폭력범죄,공갈,263,대구
폭력범죄,손괴,3019,대구
지능범죄,직무유기,25,대구
지능범죄,직권남용,14,대구
지능범죄,증수뢰,8,대구
지능범죄,통화,84,대구
지능범죄,문서인장,691,대구
지능범죄,유가증권인지,9,대구
지능범죄,사기,11507,대구
지능범죄,횡령,1725,대구
지능범죄,배임,132,대구
풍속범죄,성풍속범죄,933,대구
풍속범죄,도박범죄,485,대구
특별경제범죄,특별경제범죄,3421,대구
마약범죄,마약범죄,393,대구
보건범죄,보건범죄,417,대구
환경범죄,환경범죄,19,대구
교통범죄,교통범죄,39725,대구
노동범죄,노동범죄,31,대구
안보범죄,안보범죄,4,대구
선거범죄,선거범죄,18,대구
병역범죄,병역범죄,800,대구
기타범죄,기타범죄,9766,대구
강력범죄,살인기수,17,인천
강력범죄,살인미수등,34,인천
강력범죄,강도,103,인천
강력범죄,강간,304,인천
강력범죄,유사강간,35,인천
강력범죄,강제추행,924,인천
강력범죄,기타강간강제추행등,31,인천
강력범죄,방화,94,인천
절도범죄,절도,10679,인천
폭력범죄,상해,2179,인천
폭력범죄,폭행,9774,인천
폭력범죄,체포감금,81,인천
폭력범죄,협박,433,인천
폭력범죄,약취유인,12,인천
폭력범죄,폭력행위등,1988,인천
폭력범죄,공갈,222,인천
폭력범죄,손괴,3365,인천
지능범죄,직무유기,14,인천
지능범죄,직권남용,12,인천
지능범죄,증수뢰,11,인천
지능범죄,통화,121,인천
지능범죄,문서인장,689,인천
지능범죄,유가증권인지,14,인천
지능범죄,사기,13141,인천
지능범죄,횡령,2763,인천
지능범죄,배임,173,인천
풍속범죄,성풍속범죄,1190,인천
풍속범죄,도박범죄,390,인천
