호선,역명,심도_선로기준(m)
7,뚝섬유원지,-13.19
7,도봉산,-5.25
2,한양대,0
2,뚝 섬,0
2,성 수,0
2,건대입구,0
2,구 의,0
2,강 변,0
2,잠실나루,0
2,신대방,0
2,구로디지털,0
2,대 림,0
2,당 산,0
2,신 답,0
2,용 답,0
3,지 축,0
3,옥 수,0
4,당고개,0
4,상 계,0
4,노 원,0
4,창 동,0
4,동 작,0
7,장암,0
1,청량리,6.44
5,개화산,8.18
2,양천구청,9.37
7,건대입구,9.48
1,신설동,9.54
2,용 두,9.69
1,동묘앞,9.94
1,제기동,10.42
5,마곡,10.46
2,신 천,10.8
6,봉화산,11.04
2,잠 실,11.12
1,시 청,11.15
5,방화,11.28
3,수 서,11.29
1,동대문,11.59
2,신도림,11.94
2,종합운동장,12.28
1,종로3가,12.34
3,압구정,12.39
3,금 호,12.4
1,종로5가,12.49
3,구파발,12.52
1,종 각,12.53
4,수 유,12.66
6,DMC,12.66
2,도림천,12.68
2,을지3가,12.7
2,방 배,12.75
4,이 촌,12.86
2,신 림,12.89
1,서울역,12.95
5,발산,12.97
3,녹 번,12.98
4,삼각지,12.99
2,문 래,13.04
2,선 릉,13.05
2,봉 천,13.05
2,강 남,13.06
2,교 대,13.09
4,성신여대입구,13.11
2,홍대입구,13.26
4,신용산,13.33
2,삼 성 ,13.37
2,낙성대,13.37
2,신 당,13.39
2,서울대입구,13.41
2,왕십리,13.55
4,미 아,13.55
3,신 사,13.58
8,복정,13.61
3,잠 원,13.72
2,사 당,13.82
3,고속터미널,13.93
4,미아삼거리,13.98
4,혜 화,13.98
4,숙대입구,13.99
5,상일동,14
4,쌍 문,14.04
6,청구,14.04
2,영등포구청,14.05
3,불 광,14.07
8,장지,14.08
2,합 정,14.2
8,단대오거리,14.2
5,군자,14.34
3,대 청,14.38
8,석촌,14.44
8,가락시장,14.46
3,연신내,14.48
6,공덕,14.48
5,우장산,14.55
2,을지로입구,14.56
4,총신대입구,14.65
8,천호,14.78
6,망원,14.85
8,수진,14.86
5,목동,14.89
4,한성대입구,14.9
4,길 음,14.93
2,아 현,14.94
4,서울역,15.05
8,암사,15.08
2,동대문역사문화공원,15.1
2,신 촌,15.11
3,약 수,15.15
5,방이,15.16
2,상왕십리,15.17
3,동대입구,15.2
2,을지4가,15.33
2,서 초,15.39
5,굽은다리,15.41
8,신흥,15.42
