역번호,역명,조사일자,호선,구분,혼잡도,시간
150,서울역,평일,1호선,상선,8.2,5:30
150,서울역,평일,1호선,하선,11.8,5:30
151,시청,평일,1호선,상선,7.7,5:30
151,시청,평일,1호선,하선,9.5,5:30
152,종각,평일,1호선,상선,6.3,5:30
152,종각,평일,1호선,하선,11.1,5:30
153,종로3가,평일,1호선,상선,6.3,5:30
153,종로3가,평일,1호선,하선,12.1,5:30
154,종로5가,평일,1호선,상선,5.6,5:30
154,종로5가,평일,1호선,하선,13.4,5:30
155,동대문,평일,1호선,상선,8.5,5:30
155,동대문,평일,1호선,하선,14,5:30
156,신설동,평일,1호선,상선,7.2,5:30
156,신설동,평일,1호선,하선,17.1,5:30
157,제기동,평일,1호선,상선,6.9,5:30
157,제기동,평일,1호선,하선,16.8,5:30
158,청량리,평일,1호선,상선,6.4,5:30
158,청량리,평일,1호선,하선,17.9,5:30
159,동묘앞,평일,1호선,상선,6.9,5:30
159,동묘앞,평일,1호선,하선,13.1,5:30
201,시청,평일,2호선,내선,19.7,5:30
201,시청,평일,2호선,외선,12.5,5:30
202,을지로입구,평일,2호선,내선,15.3,5:30
202,을지로입구,평일,2호선,외선,11.3,5:30
203,을지로3가,평일,2호선,내선,14.7,5:30
203,을지로3가,평일,2호선,외선,15.8,5:30
204,을지로4가,평일,2호선,내선,14.7,5:30
204,을지로4가,평일,2호선,외선,16.6,5:30
205,동대문역사문화공원,평일,2호선,내선,23.8,5:30
205,동대문역사문화공원,평일,2호선,외선,16.6,5:30
206,신당,평일,2호선,내선,19,5:30
206,신당,평일,2호선,외선,24.2,5:30
207,상왕십리,평일,2호선,내선,21,5:30
207,상왕십리,평일,2호선,외선,21.3,5:30
208,왕십리,평일,2호선,내선,18.3,5:30
208,왕십리,평일,2호선,외선,19.4,5:30
209,한양대,평일,2호선,내선,18.2,5:30
209,한양대,평일,2호선,외선,11.9,5:30
210,뚝섬,평일,2호선,내선,17.9,5:30
210,뚝섬,평일,2호선,외선,9.6,5:30
211,성수,평일,2호선,내선,10.7,5:30
211,성수,평일,2호선,외선,8.6,5:30
212,건대입구,평일,2호선,내선,12.1,5:30
212,건대입구,평일,2호선,외선,24.5,5:30
213,구의,평일,2호선,내선,15.7,5:30
213,구의,평일,2호선,외선,21.4,5:30
214,강변,평일,2호선,내선,16.9,5:30
214,강변,평일,2호선,외선,14.9,5:30
215,잠실나루,평일,2호선,내선,17.1,5:30
215,잠실나루,평일,2호선,외선,18.3,5:30
216,잠실,평일,2호선,내선,22.4,5:30
216,잠실,평일,2호선,외선,18.9,5:30
217,신천,평일,2호선,내선,25.4,5:30
217,신천,평일,2호선,외선,16.6,5:30
218,종합운동장,평일,2호선,내선,26.1,5:30
218,종합운동장,평일,2호선,외선,12.2,5:30
219,삼성,평일,2호선,내선,19,5:30
219,삼성,평일,2호선,외선,11.3,5:30
220,선릉,평일,2호선,내선,23.6,5:30
220,선릉,평일,2호선,외선,14.6,5:30
221,역삼,평일,2호선,내선,30,5:30
221,역삼,평일,2호선,외선,37.1,5:30
222,강남,평일,2호선,내선,28.7,5:30
222,강남,평일,2호선,외선,44.4,5:30
223,교대,평일,2호선,내선,26.7,5:30
223,교대,평일,2호선,외선,63.9,5:30
224,서초,평일,2호선,내선,26,5:30
224,서초,평일,2호선,외선,74,5:30
225,방배,평일,2호선,내선,26,5:30
225,방배,평일,2호선,외선,77.7,5:30
226,사당,평일,2호선,내선,20.1,5:30
226,사당,평일,2호선,외선,79.9,5:30
227,낙성대,평일,2호선,내선,26.3,5:30
227,낙성대,평일,2호선,외선,79.3,5:30
228,서울대입구,평일,2호선,내선,19.5,5:30
228,서울대입구,평일,2호선,외선,78.2,5:30
229,봉천,평일,2호선,내선,24,5:30
229,봉천,평일,2호선,외선,73.2,5:30
230,신림,평일,2호선,내선,35.8,5:30
230,신림,평일,2호선,외선,67.3,5:30
231,신대방,평일,2호선,내선,48.1,5:30
231,신대방,평일,2호선,외선,55.4,5:30
232,구로디지털단지,평일,2호선,내선,68.8,5:30
232,구로디지털단지,평일,2호선,외선,49.1,5:30
233,대림,평일,2호선,내선,81,5:30
233,대림,평일,2호선,외선,40.4,5:30
234,신도림,평일,2호선,내선,28.9,5:30
234,신도림,평일,2호선,외선,29.2,5:30
235,문래,평일,2호선,내선,28.9,5:30
235,문래,평일,2호선,외선,30.9,5:30
236,영등포구청,평일,2호선,내선,31.5,5:30
