시도,학교급,학교수,학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_여,1학년_학생수_계,1학년_학생수_여,2학년_학생수_계,2학년_학생수_여,3학년_학생수_계,3학년_학생수_여,4학년_학생수_계,4학년_학생수_여,5학년_학생수_계,5학년_학생수_여,6학년_학생수_계,6학년_학생수_여,학급당 학생수, 다문화 학생수 ,교원수_총계_계,교원수_총계_여,교원수_정규교원_계,교원수_정규교원_여,교원수_기간제교원_계,교원수_기간제교원_여,교원1인당 학생수
서울,특수목적고,21,484,162,162,160,0,0,0,12477,7960,4244,2693,4135,2626,4098,2641,0,0,0,0,0,0,25.8,70,1212,613,1026,495,186,118,10.3
부산,특수목적고,14,332,111,111,110,0,0,0,7476,3761,2561,1253,2491,1242,2424,1266,0,0,0,0,0,0,22.5,30,762,352,609,257,153,95,9.8
대구,특수목적고,9,183,60,60,63,0,0,0,4327,1719,1433,543,1399,565,1495,611,0,0,0,0,0,0,23.6,12,533,245,470,205,63,40,8.1
인천,특수목적고,10,177,59,59,59,0,0,0,3916,1859,1322,611,1326,627,1268,621,0,0,0,0,0,0,22.1,36,542,274,495,246,47,28,7.2
광주,특수목적고,5,71,23,23,25,0,0,0,1550,633,496,203,478,181,576,249,0,0,0,0,0,0,21.8,12,238,130,203,106,35,24,6.5
대전,특수목적고,7,132,44,44,44,0,0,0,3052,1368,1011,435,1022,454,1019,479,0,0,0,0,0,0,23.1,20,380,166,349,150,31,16,8
울산,특수목적고,7,110,36,36,38,0,0,0,2171,778,760,262,717,241,694,275,0,0,0,0,0,0,19.7,22,327,135,292,113,35,22,6.6
세종,특수목적고,3,37,15,11,11,0,0,0,659,341,280,162,190,98,189,81,0,0,0,0,0,0,17.8,1,132,80,119,70,13,10,5
경기,특수목적고,20,455,151,151,153,0,0,0,12017,7948,3993,2634,4012,2679,4012,2635,0,0,0,0,0,0,26.4,73,1088,548,970,473,118,75,11
강원,특수목적고,6,72,24,24,24,0,0,0,1554,653,536,219,517,203,501,231,0,0,0,0,0,0,21.6,29,238,106,216,88,22,18,6.5
충북,특수목적고,7,106,39,35,32,0,0,0,2171,1074,779,361,707,366,685,347,0,0,0,0,0,0,20.5,54,284,144,270,134,14,10,7.6
충남,특수목적고,9,118,38,39,41,0,0,0,2502,1154,842,364,823,379,837,411,0,0,0,0,0,0,21.2,40,325,129,306,117,19,12,7.7
전북,특수목적고,8,151,48,49,54,0,0,0,3177,1064,993,333,1023,349,1161,382,0,0,0,0,0,0,21,35,412,150,377,139,35,11,7.7
전남,특수목적고,10,130,42,41,47,0,0,0,2536,1050,865,330,861,365,810,355,0,0,0,0,0,0,19.5,69,366,171,324,149,42,22,6.9
경북,특수목적고,11,180,60,59,61,0,0,0,3967,1265,1352,403,1307,414,1308,448,0,0,0,0,0,0,22,39,543,208,466,171,77,37,7.3
경남,특수목적고,8,125,42,42,41,0,0,0,2742,1089,960,368,919,363,863,358,0,0,0,0,0,0,21.9,21,351,124,307,104,44,20,7.8
제주,특수목적고,2,18,6,6,6,0,0,0,399,223,140,67,135,75,124,81,0,0,0,0,0,0,22.2,2,54,28,49,23,5,5,7.4
서울,특성화고,70,1869,607,628,634,0,0,0,43912,22798,14362,7413,14517,7509,15033,7876,0,0,0,0,0,0,23.5,618,4507,2190,3577,1573,930,617,9.7
부산,특성화고,34,830,261,275,294,0,0,0,18447,7068,5472,2142,6174,2344,6801,2582,0,0,0,0,0,0,22.2,185,1863,851,1388,577,475,274,9.9
대구,특성화고,16,543,179,179,185,0,0,0,13462,4953,4132,1510,4485,1664,4845,1779,0,0,0,0,0,0,24.8,101,1254,478,978,342,276,136,10.7
인천,특성화고,27,718,227,240,251,0,0,0,17788,8662,5414,2626,5871,2848,6503,3188,0,0,0,0,0,0,24.8,215,1696,888,1479,749,217,139,10.5
광주,특성화고,10,288,94,97,97,0,0,0,7621,3311,2366,1023,2511,1085,2744,1203,0,0,0,0,0,0,26.5,74,680,303,515,210,165,93,11.2
대전,특성화고,10,322,107,108,107,0,0,0,7815,3487,2331,1047,2634,1169,2850,1271,0,0,0,0,0,0,24.3,58,752,355,589,268,163,87,10.4
울산,특성화고,8,241,79,80,82,0,0,0,6472,2764,1895,847,2214,948,2363,969,0,0,0,0,0,0,26.9,70,558,352,461,283,97,69,11.6
세종,특성화고,1,19,6,7,6,0,0,0,401,60,123,17,141,20,137,23,0,0,0,0,0,0,21.1,4,49,23,45,21,4,2,8.2
경기,특성화고,75,2061,676,681,704,0,0,0,49227,21563,15747,6882,16365,7197,17115,7484,0,0,0,0,0,0,23.9,739,4866,2606,4014,2086,852,520,10.1
강원,특성화고,24,388,126,130,132,0,0,0,8008,2684,2491,868,2567,883,2950,933,0,0,0,0,0,0,20.6,145,1043,474,937,416,106,58,7.7
충북,특성화고,24,509,162,166,181,0,0,0,12471,5414,3899,1667,4093,1816,4479,1931,0,0,0,0,0,0,24.5,184,1139,522,1019,447,120,75,10.9
충남,특성화고,26,466,150,150,166,0,0,0,10513,4067,3068,1141,3439,1346,4006,1580,0,0,0,0,0,0,22.6,187,1112,489,946,391,166,98,9.5
전북,특성화고,28,489,157,162,170,0,0,0,10766,4339,3122,1185,3641,1495,4003,1659,0,0,0,0,0,0,22,200,1105,487,982,414,123,73,9.7
전남,특성화고,47,748,244,253,251,0,0,0,14609,6036,4420,1839,4868,1966,5321,2231,0,0,0,0,0,0,19.5,434,1699,750,1495,646,204,104,8.6
경북,특성화고,49,664,219,222,223,0,0,0,13964,4975,4215,1504,4568,1625,5181,1846,0,0,0,0,0,0,21,216,1458,632,1250,511,208,121,9.6
경남,특성화고,35,648,216,214,218,0,0,0,13184,4654,4078,1446,4363,1523,4743,1685,0,0,0,0,0,0,20.3,182,1468,597,1207,470,261,127,9
제주,특성화고,6,146,46,49,51,0,0,0,3600,1726,1126,531,1184,567,1290,628,0,0,0,0,0,0,24.7,36,370,198,304,160,66,38,9.7
서울,자율고,41,1273,417,419,437,0,0,0,37824,11919,11760,3637,12519,4004,13545,4278,0,0,0,0,0,0,29.7,106,2791,1403,2304,1048,487,355,13.6
부산,자율고,14,359,113,120,126,0,0,0,9304,4115,2689,1154,3126,1417,3489,1544,0,0,0,0,0,0,25.9,35,835,551,719,467,116,84,11.1
대구,자율고,16,486,158,157,171,0,0,0,13418,6663,3904,1940,4417,2201,5097,2522,0,0,0,0,0,0,27.6,31,1131,663,1055,616,76,47,11.9
인천,자율고,8,207,68,67,72,0,0,0,5508,2315,1724,718,1770,765,2014,832,0,0,0,0,0,0,26.6,39,468,275,403,232,65,43,11.8
광주,자율고,3,78,25,26,27,0,0,0,2355,765,731,238,797,258,827,269,0,0,0,0,0,0,30.2,8,192,109,166,90,26,19,12.3
