호선,환승역명,환승노선,환승거리(m),"환승 소요시간(분,초)"
8,복정,분당선,16,0분13초
3,충무로,4호선,17,0분14초
4,충무로,3호선,17,0분14초
5,까치산,2호선,17,0분14초
5,강동,5호선,19,0분16초
2,성수,2호선,23,0분19초
3,가락시장,8호선,35,0분29초
5,천호,8호선,35,0분29초
8,천호,5호선,35,0분29초
8,가락시장,3호선,35,0분29초
7,부평구청,인천1호선,41,0분34초
7,도봉산,1호선,44,0분37초
2,동대문역사문화공원,4호선,45,0분38초
4,동대문역사문화공원,2호선,45,0분38초
6,태릉입구,7호선,46,0분38초
7,태릉입구,6호선,46,0분38초
2,왕십리,경의중앙선,50,0분42초
6,신내,경춘선,50,0분42초
6,디지털미디어시티,경의중앙선,55,0분46초
3,오금,5호선,65,0분54초
5,오금,3호선,65,0분54초
5,여의도,9호선,68,0분57초
4,성신여대입구,우이신설선,7,0분6초
4,창동,1호선,84,1분10초
2,왕십리,5호선,86,1분12초
5,왕십리,2호선,86,1분12초
6,보문,우이신설선,87,1분13초
3,수서,국철,92,1분17초
2,종합운동장,9호선,94,1분18초
3,양재,신분당선,93,1분18초
5,올림픽공원,9호선,93,1분18초
9,종합운동장,2호선,94,1분18초
9,올림픽공원,5호선,93,1분18초
5,공덕,6호선,73,1분1초
6,공덕,5호선,73,1분1초
1,동묘앞,6호선,96,1분20초
6,동묘앞,1호선,96,1분20초
2,왕십리,분당선,99,1분23초
3,불광,6호선,100,1분23초
6,불광,3호선,100,1분23초
7,상봉,경의중앙선,100,1분23초
7,상봉,경춘선,100,1분23초
8,모란,분당선,99,1분23초
1,시청,2호선,101,1분24초
2,시청,1호선,101,1분24초
7,온수,1호선,102,1분25초
5,청구,6호선,104,1분27초
6,청구,5호선,104,1분27초
2,당산,9호선,105,1분28초
5,김포공항,9호선,106,1분28초
4,동대문역사문화공원,5호선,107,1분29초
5,동대문역사문화공원,4호선,107,1분29초
2,사당,4호선,74,1분2초
4,사당,2호선,74,1분2초
2,영등포구청,5호선,110,1분32초
5,영등포구청,2호선,110,1분32초
6,효창공원앞,경의중앙선,110,1분32초
7,가산디지털단지,1호선,110,1분32초
9,선정릉,분당선,110,1분32초
1,종로3가,3호선,118,1분38초
3,종로3가,1호선,118,1분38초
3,종로3가,5호선,117,1분38초
5,종로3가,3호선,117,1분38초
2,교대,3호선,75,1분3초
3,교대,2호선,75,1분3초
5,군자,7호선,75,1분3초
7,군자,5호선,75,1분3초
5,김포공항,공항철도,122,1분42초
6,석계,경원선,125,1분44초
7,강남구청,분당선,125,1분44초
1,신설동,우이신설선,129,1분48초
3,약수,6호선,130,1분48초
6,약수,3호선,130,1분48초
2,을지로4가,5호선,77,1분4초
2,건대입구,7호선,77,1분4초
5,을지로4가,2호선,77,1분4초
7,건대입구,2호선,77,1분4초
3,도곡,분당선,78,1분5초
4,이촌,경의중앙선,78,1분5초
2,선릉,분당선,81,1분8초
2,신도림,1호선,81,1분8초
2,신도림,2호선,81,1분8초
2,합정,6호선,82,1분8초
6,합정,2호선,82,1분8초
8,석촌,9호선,82,1분8초
9,석촌,8호선,82,1분8초
1,서울,4호선,159,2분13초
1,신설동,2호선,159,2분13초
2,신설동,1호선,159,2분13초
4,서울,1호선,159,2분13초
1,서울,경의중앙선,164,2분17초
1,청량리,경의중앙선,165,2분18초
3,고속터미널,7호선,169,2분21초
7,고속터미널,3호선,169,2분21초
4,총신대입구,7호선,171,2분23초
7,이수,4호선,171,2분23초
1,청량리,분당선,180,2분30초
3,연신내,6호선,181,2분31초
6,연신내,3호선,181,2분31초
6,디지털미디어시티,공항철도,186,2분35초
2,잠실,8호선,190,2분38초
8,잠실,2호선,190,2분38초
1,동대문,4호선,194,2분42초
4,동대문,1호선,194,2분42초
5,왕십리,경의중앙선,198,2분45초
5,김포공항,김포골드라인,200,2분47초
1,청량리,경춘선,203,2분49초
2,을지로3가,3호선,149,2분4초
3,을지로3가,2호선,149,2분4초
2,충정로,5호선,212,2분57초
5,충정로,2호선,212,2분57초
2,강남,신분당선,214,2분58초
5,공덕,경의중앙선,214,2분58초
6,공덕,경의중앙선,152,2분7초
3,옥수,경의중앙선,155,2분9초
3,고속터미널,9호선,155,2분9초
4,삼각지,6호선,155,2분9초
6,삼각지,4호선,155,2분9초
2,동대문역사문화공원,5호선,234,3분15초
5,동대문역사문화공원,2호선,234,3분15초
2,신당,6호선,242,3분22초
5,신길,1호선,242,3분22초
6,신당,2호선,242,3분22초
5,왕십리,분당선,244,3분23초
4,동작,9호선,245,3분24초
6,공덕,공항철도,265,3분41초
2,신설동,우이신설선,273,3분48초
5,공덕,공항철도,275,3분49초
2,대림,7호선,276,3분50초
7,대림,2호선,276,3분50초
4,노원,7호선,278,3분52초
7,노원,4호선,278,3분52초
4,서울,공항철도,224,3분7초
2,홍대입구,경의중앙선,305,4분14초
1,서울,공항철도,309,4분18초
1,종로3가,5호선,312,4분20초
5,종로3가,1호선,312,4분20초
7,고속터미널,9호선,314,4분22초
4,서울,경의중앙선,323,4분29초
2,홍대입구,공항철도,355,4분56초
